run_id,repeat,budget,cand,lab,true_y,m3_p,nR,nF,is_margin_pick,in_nz,acc0_R,acc0_full,FR,eR,p0R,p1R,FF,eF,p0F,p1F,V_R,V_full,V_R_direct
w85__r01_f01,1,16,19,0,0,0.02448905485312025,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,19,1,0,0.02448905485312025,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.6308,74,-1,0.3279,0.6308,0.058823529411764705,0.012345679012345678,0.05882352941176472
w85__r01_f01,1,16,25,0,0,0.022161098538731494,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,25,1,0,0.022161098538731494,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5106,19;74,-1;-1,0.3742;0.3279,0.5394;0.5106,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,38,0,0,0.02899674632578808,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,38,1,0,0.02899674632578808,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5130,19;74,-1;-1,0.3742;0.3279,0.5433;0.5130,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,40,0,0,0.03859008718166024,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,40,1,0,0.03859008718166024,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.6048,19;74,-1;-1,0.3742;0.3279,0.5019;0.6048,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,45,0,1,0.46847871731109336,17,81,0,1,0.8235294117647058,0.9382716049382716,26;27,1;1,0.5267;0.5745,0.4408;0.4387,26;27,1;1,0.5267;0.5745,0.4408;0.4387,-0.11764705882352941,-0.024691358024691357,-0.11764705882352933
w85__r01_f01,1,16,45,1,1,0.46847871731109336,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,52,0,1,0.2436357991257978,17,81,0,1,0.8235294117647058,0.9382716049382716,26,1,0.5267,0.4858,26,1,0.5267,0.4858,-0.058823529411764705,-0.012345679012345678,-0.05882352941176472
w85__r01_f01,1,16,52,1,1,0.2436357991257978,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,19,-1,0.3742,0.5385,0.0,0.012345679012345678,0.0
w85__r01_f01,1,16,57,0,1,0.21478593804260981,17,81,0,1,0.8235294117647058,0.9382716049382716,26,1,0.5267,0.4981,26,1,0.5267,0.4981,-0.058823529411764705,-0.012345679012345678,-0.05882352941176472
w85__r01_f01,1,16,57,1,1,0.21478593804260981,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5239,19;74,-1;-1,0.3742;0.3279,0.5542;0.5239,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,60,0,0,0.06486089024804187,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,60,1,0,0.06486089024804187,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.6190,19;74,-1;-1,0.3742;0.3279,0.5390;0.6190,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,64,0,0,0.05488205052665762,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,64,1,0,0.05488205052665762,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5588,19;74,-1;-1,0.3742;0.3279,0.5057;0.5588,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,71,0,0,0.025233569773376985,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,71,1,0,0.025233569773376985,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5687,74,-1,0.3279,0.5687,0.058823529411764705,0.012345679012345678,0.05882352941176472
w85__r01_f01,1,16,76,0,0,0.0780979914738964,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,76,1,0,0.0780979914738964,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5178,19;74,-1;-1,0.3742;0.3279,0.5523;0.5178,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,77,0,0,0.10342679645327735,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,77,1,0,0.10342679645327735,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.6513,19;74,-1;-1,0.3742;0.3279,0.5056;0.6513,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,79,0,0,0.025344346056726863,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,79,1,0,0.025344346056726863,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5117,19;74,-1;-1,0.3742;0.3279,0.5415;0.5117,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,80,0,1,0.40224996897674714,17,81,0,1,0.8235294117647058,0.9382716049382716,26,1,0.5267,0.4249,24;26,1;1,0.5957;0.5267,0.4955;0.4249,-0.058823529411764705,-0.024691358024691357,-0.05882352941176472
w85__r01_f01,1,16,80,1,1,0.40224996897674714,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5574,74,-1,0.3279,0.5574,0.058823529411764705,0.012345679012345678,0.05882352941176472
w85__r01_f01,1,16,81,0,0,0.06212374856590941,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,81,1,0,0.06212374856590941,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5071,19;74,-1;-1,0.3742;0.3279,0.5456;0.5071,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,84,0,1,0.3747895046789722,17,81,0,1,0.8235294117647058,0.9382716049382716,26,1,0.5267,0.4499,26,1,0.5267,0.4499,-0.058823529411764705,-0.012345679012345678,-0.05882352941176472
w85__r01_f01,1,16,84,1,1,0.3747895046789722,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5030,74,-1,0.3279,0.5030,0.058823529411764705,0.012345679012345678,0.05882352941176472
w85__r01_f01,1,16,85,0,0,0.09610045325837291,17,81,0,1,0.8235294117647058,0.9382716049382716,27,1,0.5745,0.4595,27,1,0.5745,0.4595,-0.058823529411764705,-0.012345679012345678,-0.05882352941176472
w85__r01_f01,1,16,85,1,0,0.09610045325837291,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5169,19;74,-1;-1,0.3742;0.3279,0.5524;0.5169,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,86,0,0,0.027659386510549666,17,81,0,1,0.8235294117647058,0.9382716049382716,,,,,,,,,0.0,0.0,0.0
w85__r01_f01,1,16,86,1,0,0.027659386510549666,17,81,0,1,0.8235294117647058,0.9382716049382716,74,-1,0.3279,0.5125,19;74,-1;-1,0.3742;0.3279,0.5427;0.5125,0.058823529411764705,0.024691358024691357,0.05882352941176472
w85__r01_f01,1,16,87,0,1,0.6334599075456993,17,81,0,1,0.8235294117647058,0.9382716049382716,25;26;27,1;1;1,0.6180;0.5267;0.5745,0.4829;0.2996;0.4564,22;25;26;27,1;1;1;1,0.6078;0.6180;0.5267;0.5745,0.4399;0.4829;0.2996;0.4564,-0.17647058823529413,-0.04938271604938271,-0.17647058823529405
