name,P,VX,LS,LS_micrometres,ST,observed_target,predicted_mean,predicted_std,absolute_error,residual_observed_minus_predicted,covered_95,screenshot_bug_any,initial_emptiness_frame_count,screenshot_bug_frame_count,initial_empty_like_block_timestep_width,sequence_pattern_category,first_observed_conduction_percentile,first_observed_conduction_quantile,nearest_neighbor_name,nearest_neighbor_distance_standardized,mean_5nn_distance_standardized,inverse_mean_5nn_density_proxy,sparse_region_top_decile,process_boundary_dimension_count,process_boundary_dimensions,label_sequence_rle
P-97p5646849269_VX-0p800614374072_LS-8p74302358335e-05_ST-345p052442693_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p02552334713e-06_H-b41981edcb,97.5646849269,0.800614374072,8.74302358335e-05,87.43023583349999,345.052442693,12927.0,73686.62955791852,16068.430358666385,60759.629557918524,-60759.629557918524,False,False,83,0,12596.0,no_bug,0.15546218487394958,Q1,P-78p3109819881_VX-0p819836919071_LS-8p42620704062e-05_ST-359p367913591_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88424415978e-06_H-cedd8dc36d,0.6231737549881876,0.7888142134277681,1.2677256354867932,False,0,,Initial Emptiness × 38 → Conduction × 265 → Initial Emptiness × 45
P-82p6239965333_VX-0p567384090403_LS-6p29636633496e-05_ST-368p216750002_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p50238962391e-06_H-e6df4d4a2d,82.6239965333,0.567384090403,6.29636633496e-05,62.9636633496,368.216750002,83769.0,25950.86163975382,15298.222057790992,57818.13836024618,57818.13836024618,False,True,0,38,17303.0,initial_empty_like_block_bug_only,0.9705882352941176,Q4,P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,0.536586617563283,0.8177698720156148,1.2228379085842414,False,0,,Screenshot Bug × 38 → Forming Phase × 141 → Conduction × 69
P-90p3577538021_VX-0p606625134218_LS-7p79676391387e-05_ST-345p062824899_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p95239156919e-06_H-e341aeefe6,90.3577538021,0.606625134218,7.79676391387e-05,77.9676391387,345.062824899,81413.0,26365.0009672423,15072.779160390211,55047.999032757696,55047.999032757696,False,True,0,35,16185.0,initial_empty_like_block_bug_only,0.9537815126050421,Q4,P-91p4898167395_VX-0p477122889388_LS-7p769973149e-05_ST-351p010780102_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p01108555266e-05_H-b41981edcb,0.5701086504707275,0.7335883677621029,1.3631622909306125,False,0,,Screenshot Bug × 35 → Forming Phase × 148 → Conduction × 80
P-238p319282705_VX-0p253960262605_LS-5p92121677448e-05_ST-384p128817665_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p89955725889e-05_H-452de4062d,238.319282705,0.253960262605,5.92121677448e-05,59.2121677448,384.128817665,81551.0,30050.877916884856,19450.89963476206,51500.12208311514,51500.12208311514,False,True,0,33,33436.0,initial_empty_like_block_bug_only,0.957983193277311,Q4,P-188p623199531_VX-0p253450423389_LS-5p98563054886e-05_ST-373p9812389_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90337839587e-05_H-b41981edcb,0.992865499896349,1.1028580585953975,0.9067349984028727,True,0,,Screenshot Bug × 33 → Forming Phase × 45 → Conduction × 34
P-188p623199531_VX-0p253450423389_LS-5p98563054886e-05_ST-373p9812389_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90337839587e-05_H-b41981edcb,188.623199531,0.253450423389,5.98563054886e-05,59.8563054886,373.9812389,35600.0,77851.36846919425,14348.920769647464,42251.36846919425,-42251.36846919425,False,False,34,0,34552.0,no_bug,0.6470588235294118,Q3,P-173p720948038_VX-0p230617607979_LS-6p23730108092e-05_ST-383p499521736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p09182665855e-05_H-eb41f0639c,0.4570410800739707,0.710992275821701,1.4064850407029856,False,0,,Initial Emptiness × 34 → Conduction × 78
P-171p382540224_VX-0p233605939402_LS-6p18629013601e-05_ST-355p188153249_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p06506761573e-05_H-ba17ade68b,171.382540224,0.233605939402,6.18629013601e-05,61.862901360100004,355.188153249,87522.0,46217.35147680031,17399.1396830148,41304.64852319969,41304.64852319969,False,True,0,34,37490.0,initial_empty_like_block_bug_only,0.9873949579831933,Q4,P-188p623199531_VX-0p253450423389_LS-5p98563054886e-05_ST-373p9812389_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p90337839587e-05_H-b41981edcb,0.6839334905477179,0.8183536200626964,1.221965633783309,False,0,,Screenshot Bug × 34 → Forming Phase × 43 → Conduction × 26
P-100p408926704_VX-0p564694322144_LS-6p38706769001e-05_ST-381p633419878_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p54288845105e-06_H-790e4fd6dd,100.408926704,0.564694322144,6.38706769001e-05,63.8706769001,381.633419878,17386.0,53971.59081687046,15274.281470140875,36585.59081687046,-36585.59081687046,False,False,37,0,16916.0,no_bug,0.24789915966386555,Q1,P-82p6239965333_VX-0p567384090403_LS-6p29636633496e-05_ST-368p216750002_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p50238962391e-06_H-e6df4d4a2d,0.5366570976396208,0.806255087223642,1.2403022515396247,False,0,,Initial Emptiness × 37 → Conduction × 210
P-213p87237204_VX-0p329966780459_LS-7p13970627017e-05_ST-390p008507958_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p46200190101e-05_H-765072ed36,213.87237204,0.329966780459,7.13970627017e-05,71.3970627017,390.008507958,26532.0,63077.59696890655,11356.032969392843,36545.59696890655,-36545.59696890655,False,False,33,0,25728.0,no_bug,0.4369747899159664,Q2,P-207p687789994_VX-0p40901295179_LS-7p09627718894e-05_ST-395p011679_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p17945424024e-05_H-d9444347fb,0.384015240701118,0.5114160542295353,1.955355119824263,False,0,,Initial Emptiness × 33 → Conduction × 112
P-78p3109819881_VX-0p819836919071_LS-8p42620704062e-05_ST-359p367913591_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88424415978e-06_H-cedd8dc36d,78.3109819881,0.819836919071,8.42620704062e-05,84.2620704062,359.367913591,78700.0,42425.58691109946,17141.480110353168,36274.41308890054,36274.41308890054,False,True,1,116,12948.0,multiple_separated_bug_blocks,0.9453781512605042,Q4,P-97p5646849269_VX-0p800614374072_LS-8p74302358335e-05_ST-345p052442693_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p02552334713e-06_H-b41981edcb,0.6235321720366789,0.8639177008533198,1.157517665179345,False,0,,Screenshot Bug × 40 → Initial Emptiness × 1 → Forming Phase × 201 → Conduction × 35 → Screenshot Bug × 76
P-116p693370328_VX-0p231004403842_LS-8p2871053211e-05_ST-317p198938228_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p08832408507e-05_H-d147d48e9f,116.693370328,0.231004403842,8.2871053211e-05,82.871053211,317.198938228,83909.0,48417.55386234001,19077.164491228377,35491.44613765999,35491.44613765999,True,True,0,35,39062.0,initial_empty_like_block_bug_only,0.9747899159663865,Q4,P-144p684844876_VX-0p221020126644_LS-8p32765690701e-05_ST-337p418493583_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p18266122469e-05_H-73ae961aa0,0.8176401829643869,1.041312637177906,0.9603263845036693,True,0,,Screenshot Bug × 35 → Forming Phase × 38 → Conduction × 29
