benchmark,metric,best_current_gpr_method,best_current_gpr_value,best_current_gpc_method,best_current_gpc_value,current_gpc_beats_current_gpr,best_previous_reference_family,best_previous_reference_method,best_previous_reference_value,current_gpr_beats_best_previous_reference,current_gpc_beats_best_previous_reference
branin,global_error,randomized_straddle,0.060200,gpc_bernoulli_sur_refit,0.058500,True,previous_optimized_ard_gpc,classifier_gated_diversity,0.035150,False,False
branin,near_boundary_error_q20,smallest_abs_mu,0.246750,gpc_bernoulli_sur_refit,0.221250,True,previous_optimized_ard_gpc,classifier_gated_diversity,0.163750,False,False
branin,near_boundary_error_q30,randomized_straddle,0.186500,gpc_bernoulli_sur_refit,0.156667,True,previous_optimized_ard_gpc,classifier_gated_diversity,0.114333,False,False
ackley,global_error,straddle,0.168400,classifier_uncertainty_repulsion,0.175640,False,previous_gp_regressor,straddle,0.168400,False,False
ackley,near_boundary_error_q20,randomized_straddle,0.408400,classifier_uncertainty_repulsion,0.425700,False,previous_gp_regressor,randomized_straddle,0.408400,False,False
ackley,near_boundary_error_q30,randomized_straddle,0.368200,classifier_uncertainty_repulsion,0.383200,False,previous_gp_regressor,randomized_straddle,0.368200,False,False
hartmann4,global_error,straddle,0.126340,gpc_bernoulli_sur_refit,0.112200,True,null,null,null,null,null
hartmann4,near_boundary_error_q20,expected_feasibility,0.380400,gpc_bernoulli_sur_refit,0.365500,True,null,null,null,null,null
hartmann4,near_boundary_error_q30,expected_feasibility,0.325533,gpc_bernoulli_sur_refit,0.301000,True,null,null,null,null,null
