run_id,repeat,fold,q20_mean_B1,q20_keyhole_fraction,q30_mean_B1,q20_rows,q30_rows,representative_score,selection_rule
w85__r06_f05,6,5,0.6832526896322992,0.47058823529411764,0.8062464895319973,17,25,1.1414724169575152,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r07_f01,7,1,0.6984761681261924,0.5294117647058824,0.8154173146028667,17,25,2.0046027328709295,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r07_f02,7,2,0.7049348112455883,0.35294117647058826,0.8375735250496668,17,25,1.0008058314372195,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r07_f03,7,3,0.6090923106319869,0.47058823529411764,0.7017879928116549,17,25,2.7580478102959116,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r07_f04,7,4,0.7914745703333279,0.29411764705882354,0.8758350977731572,17,25,3.1220238577542343,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r07_f05,7,5,0.7267612760337777,0.35294117647058826,0.8429001804127921,17,25,1.1843937014480166,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r08_f01,8,1,0.6143478962704846,0.47058823529411764,0.7255966333705334,17,25,2.6251516410013553,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r08_f02,8,2,0.682491471344186,0.29411764705882354,0.7579817797601196,17,25,2.079955213660427,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r08_f03,8,3,0.6658696751410448,0.35294117647058826,0.7941780333873544,17,25,1.4312064580212898,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r08_f04,8,4,0.7982432546063921,0.35294117647058826,0.905542930802682,17,25,2.768568259208399,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r08_f05,8,5,0.7984193525321747,0.35294117647058826,0.941269259703119,17,25,2.773041486652579,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r09_f01,9,1,0.782359656556679,0.47058823529411764,0.9204587348507225,17,25,2.370299650828169,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r09_f02,9,2,0.734584459759685,0.4117647058823529,0.8587717452992788,17,25,0.847741636828816,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r09_f03,9,3,0.6677899115437322,0.29411764705882354,0.7548292150513234,17,25,2.2235068698554783,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r09_f04,9,4,0.7507639082746626,0.4117647058823529,0.8510611652728245,17,25,1.2884324911188838,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r09_f05,9,5,0.6286680873220896,0.29411764705882354,0.717673833010054,17,25,2.8548355688084643,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r10_f01,10,1,0.672659363394917,0.29411764705882354,0.8139260555627525,17,25,2.168835107279203,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r10_f02,10,2,0.677956662015359,0.47058823529411764,0.7867333564900197,17,25,1.217606233682034,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r10_f03,10,3,0.7679380769693352,0.47058823529411764,0.862261994274671,17,25,2.020964857070109,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r10_f04,10,4,0.6914583821053731,0.29411764705882354,0.7657485355951549,17,25,2.0265419468869244,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r10_f05,10,5,0.7158454917599559,0.5294117647058824,0.8399429167809886,17,25,2.0282492834966748,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r11_f01,11,1,0.7088351517943512,0.47058823529411764,0.8560023464141855,17,25,1.010658200908374,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r11_f02,11,2,0.6869183096190269,0.23529411764705882,0.7909005909061197,17,25,3.033647512743346,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r11_f03,11,3,0.7074910155837916,0.47058823529411764,0.8153216056803047,17,25,1.0060076375515183,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r11_f04,11,4,0.6828315010611542,0.35294117647058826,0.8013281574155411,17,25,1.1470483389960187,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r11_f05,11,5,0.7160728826275803,0.4117647058823529,0.8109355099070672,17,25,0.34352897883544603,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r12_f01,12,1,0.7029412881577598,0.29411764705882354,0.7813074378724076,17,25,2.00005002219203,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r12_f02,12,2,0.7005153420926137,0.4117647058823529,0.8288263024858005,17,25,0.08022253671590514,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r12_f03,12,3,0.687832527445445,0.5294117647058824,0.7722169043363826,17,25,2.044797699317532,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r12_f04,12,4,0.7072987852676555,0.35294117647058826,0.8843271134049598,17,25,1.0054497493754397,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r12_f05,12,5,0.7608436372279862,0.35294117647058826,0.859427943180142,17,25,1.855507957428714,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r13_f01,13,1,0.6775084573377699,0.4117647058823529,0.7781599400352951,17,25,0.7068770044364524,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r13_f02,13,2,0.7464780238309985,0.29411764705882354,0.8643129278285226,17,25,2.317944974571697,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r13_f03,13,3,0.670302122492293,0.47058823529411764,0.7579573784584034,17,25,1.347479011652775,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r13_f04,13,4,0.6151687718895906,0.35294117647058826,0.7686733764033447,17,25,2.604492576097043,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r13_f05,13,5,0.8199491973404226,0.5294117647058824,0.91728289967019,17,25,3.7506224217921886,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r14_f01,14,1,0.6677247626468774,0.29411764705882354,0.7412776467046638,17,25,2.2242828338982505,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r14_f02,14,2,0.6729780125081195,0.47058823529411764,0.7735936409301785,17,25,1.2997530616778383,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r14_f03,14,3,0.7942705852638204,0.29411764705882354,0.9120411399612426,17,25,3.1808764104095353,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r14_f04,14,4,0.7126624028176005,0.5294117647058824,0.8369452863820128,17,25,2.015643344396395,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r14_f05,14,5,0.7039799489622536,0.47058823529411764,0.8175495094618139,17,25,1.0001000406311076,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r15_f01,15,1,0.813926675727739,0.29411764705882354,0.9400406759776944,17,25,3.6129104029643893,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r15_f02,15,2,0.6356650640987476,0.5294117647058824,0.7413662501037378,17,25,2.722115222882459,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r15_f03,15,3,0.7511450684815035,0.4117647058823529,0.818020003732748,17,25,1.2988144158809445,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r15_f04,15,4,0.6406282949329554,0.4117647058823529,0.7254320291404849,17,25,1.7114075520313687,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r15_f05,15,5,0.7521706514456191,0.23529411764705882,0.8757925510342995,17,25,3.2802839394165297,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r16_f01,16,1,0.7048522079474548,0.35294117647058826,0.7997020911895438,17,25,1.0007180868345438,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r16_f02,16,2,0.7911476410709452,0.29411764705882354,0.9163986944046683,17,25,3.115191385460429,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r16_f03,16,3,0.6345214798203679,0.4117647058823529,0.7105769688561634,17,25,1.8777431083061313,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r16_f04,16,4,0.7451401895260781,0.47058823529411764,0.8813579394554135,17,25,1.512879620002527,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r16_f05,16,5,0.702787172880515,0.47058823529411764,0.8057524378394664,17,25,1.00016822063415,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r17_f01,17,1,0.7268023305164477,0.17647058823529413,0.8601049881927044,17,25,4.050210991148611,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r17_f02,17,2,0.6881145124532918,0.5294117647058824,0.8537175080479349,17,25,2.0432126063364446,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r17_f03,17,3,0.5948306207872156,0.47058823529411764,0.6958390861755096,17,25,3.1232480230173003,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r17_f04,17,4,0.779550570009628,0.35294117647058826,0.8571998429364232,17,25,2.3011556645118914,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r17_f05,17,5,0.7501253399034769,0.29411764705882354,0.8379763528831202,17,25,2.369713286272486,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r18_f01,18,1,0.6550947498697246,0.35294117647058826,0.7442260476996683,17,25,1.6539274703199403,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r18_f02,18,2,0.7122799850711011,0.4117647058823529,0.8509238536550603,17,25,0.24021919897167726,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r18_f03,18,3,0.6308303400898058,0.29411764705882354,0.7765279313722122,17,25,2.8131115625705077,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r18_f04,18,4,0.7731472939996008,0.5294117647058824,0.8729422848705777,17,25,2.7573175136922257,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r18_f05,18,5,0.7559700507932404,0.35294117647058826,0.825489149787697,17,25,1.7451574295725896,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r19_f01,19,1,0.7464328306790622,0.47058823529411764,0.8513039110300958,17,25,1.5394758224385463,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r19_f02,19,2,0.689684744764449,0.23529411764705882,0.7706944015498423,17,25,3.0233743263810924,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r19_f03,19,3,0.7019332744938503,0.4117647058823529,0.8300965674996195,17,25,0.041601329037033855,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r19_f04,19,4,0.6404430915126125,0.4117647058823529,0.7458732083775843,17,25,1.716452065968466,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r19_f05,19,5,0.7494847542875059,0.5294117647058824,0.8794844657772833,17,25,2.360400626079691,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r20_f01,20,1,0.6395878037356318,0.29411764705882354,0.7293245563393301,17,25,2.6507967788625706,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r20_f02,20,2,0.7448232501219383,0.35294117647058826,0.8310370122837587,17,25,1.5064125046287138,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r20_f03,20,3,0.8406867197016021,0.5294117647058824,0.9566635878927079,17,25,4.239170794011127,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r20_f04,20,4,0.6860115764228522,0.29411764705882354,0.7995647006052263,17,25,2.0556952952287886,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
w85__r20_f05,20,5,0.6353934395003301,0.4117647058823529,0.7583012949774379,17,25,1.8539929380878246,minimum robust distance to median q20 mean-B1 and q20 Keyhole fraction; run_id tie-break
