draw,restricted_margin_Q,restricted_random_Q,restricted_delta_Q,restricted_ratio,mathematical_lower_bound_delta_Q
1,56.29,81.79966666666667,25.509666666666668,1.4531829217741459,
2,47.59,77.76466666666667,30.174666666666667,1.6340547734117812,
3,59.6,78.27299999999998,18.67299999999998,1.3133053691275165,
4,54.24,86.64233333333334,32.40233333333334,1.5973881514257622,
5,40.13,70.85400000000001,30.72400000000001,1.765611761774234,
6,47.93,84.79666666666667,36.86666666666667,1.7691772724111552,
7,64.85,77.51633333333334,12.666333333333341,1.1953173991261887,
8,52.27,72.26233333333333,19.992333333333328,1.3824819845673106,
9,51.96,82.32199999999999,30.361999999999988,1.5843341031562739,
10,63.97,82.07833333333333,18.108333333333334,1.2830753999270492,
11,56.49,79.413,22.922999999999995,1.4057886351566649,
12,60.37,67.741,7.371000000000002,1.1220970680801723,
13,50.65,82.84100000000001,32.19100000000001,1.6355577492596252,
14,63.13,83.104,19.973999999999997,1.316394741010613,
15,53.46,66.46633333333334,13.006333333333338,1.243290934031675,
16,47.39,68.14866666666667,20.75866666666667,1.4380389674333545,
17,53.06,65.97333333333334,12.913333333333341,1.2433722829501195,
18,52.24,82.33566666666665,30.095666666666652,1.5761038795303723,
19,47.66,77.60533333333333,29.945333333333338,1.628311651979298,
20,60.39,90.44833333333332,30.058333333333323,1.4977369321631615,
21,49.35,89.64533333333334,40.29533333333334,1.8165214454576157,
22,39.39,76.92666666666668,37.536666666666676,1.9529491410679531,
23,64.1,77.22466666666668,13.124666666666684,1.204752990119605,
24,60.53,82.01066666666665,21.48066666666665,1.3548763698441542,
25,53.69,80.94,27.25,1.5075433041534736,
26,60.24,80.85799999999999,20.617999999999988,1.3422642762284194,
27,52.05,82.80533333333332,30.755333333333326,1.5908805635606786,
28,47.45,75.78066666666668,28.330666666666673,1.5970635756937128,
29,51.62,82.47333333333334,30.853333333333346,1.5977011494252877,
30,60.35,74.79366666666665,14.443666666666651,1.2393316763325046,
31,44.32,83.11833333333334,38.79833333333334,1.8754136582430807,
32,55.01,74.98299999999999,19.972999999999992,1.3630794401017996,
33,39.29,75.67599999999999,36.38599999999999,1.9260880631203865,
34,53.92,68.093,14.173000000000002,1.2628523738872404,
35,63.96,83.06766666666667,19.107666666666667,1.298744006670836,
36,58.47,72.39166666666668,13.921666666666681,1.2380993101875608,
37,45.95,71.98066666666666,26.03066666666666,1.566499818643453,
