preprocessing,component,explained_variance_ratio,cumulative_explained_variance_ratio
standard,PC1,0.3196647110661834,0.3196647110661834
standard,PC2,0.26455635122666216,0.5842210622928455
standard,PC3,0.25037284758450656,0.834593909877352
standard,PC4,0.16540609012264781,0.9999999999999999
robust,PC1,0.47266622853922136,0.47266622853922136
robust,PC2,0.20369739579075521,0.6763636243299765
robust,PC3,0.18227144708224394,0.8586350714122205
robust,PC4,0.14136492858777955,1.0
