run_id,repeat,fold,arm,continuation_id,budget,subset,accuracy,balanced_accuracy,keyhole_recall,specificity,false_negative,false_positive,true_negative,true_positive,row_count
w85__r01_f01,1,1,binary_margin,1,40,B1_q20,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2.0,1.0,9.0,5.0,17.0
w85__r01_f01,1,1,binary_margin,1,40,B1_q30,0.88,0.8455882352941176,0.75,0.9411764705882353,2.0,1.0,16.0,6.0,25.0
w85__r01_f01,1,1,binary_margin,1,40,full81,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3.0,1.0,65.0,12.0,81.0
w85__r01_f01,1,1,binary_margin,1,80,B1_q20,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2.0,1.0,9.0,5.0,17.0
w85__r01_f01,1,1,binary_margin,1,80,B1_q30,0.88,0.8455882352941176,0.75,0.9411764705882353,2.0,1.0,16.0,6.0,25.0
w85__r01_f01,1,1,binary_margin,1,80,full81,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2.0,1.0,65.0,13.0,81.0
w85__r01_f01,1,1,binary_margin,1,160,B1_q20,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2.0,0.0,10.0,5.0,17.0
w85__r01_f01,1,1,binary_margin,1,160,B1_q30,0.92,0.875,0.75,1.0,2.0,0.0,17.0,6.0,25.0
w85__r01_f01,1,1,binary_margin,1,160,full81,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2.0,0.0,66.0,13.0,81.0
w85__r01_f01,1,1,binary_margin,1,320,B1_q20,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2.0,1.0,9.0,5.0,17.0
w85__r01_f01,1,1,binary_margin,1,320,B1_q30,0.88,0.8455882352941176,0.75,0.9411764705882353,2.0,1.0,16.0,6.0,25.0
w85__r01_f01,1,1,binary_margin,1,320,full81,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2.0,1.0,65.0,13.0,81.0
w85__r01_f01,1,1,binary_random,1,40,B1_q20,0.6470588235294118,0.5928571428571429,0.2857142857142857,0.9,5.0,1.0,9.0,2.0,17.0
w85__r01_f01,1,1,binary_random,1,40,B1_q30,0.76,0.6580882352941176,0.375,0.9411764705882353,5.0,1.0,16.0,3.0,25.0
w85__r01_f01,1,1,binary_random,1,40,full81,0.9012345679012346,0.759090909090909,0.5333333333333333,0.9848484848484849,7.0,1.0,65.0,8.0,81.0
w85__r01_f01,1,1,binary_random,1,80,B1_q20,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2.0,1.0,9.0,5.0,17.0
w85__r01_f01,1,1,binary_random,1,80,B1_q30,0.88,0.8455882352941176,0.75,0.9411764705882353,2.0,1.0,16.0,6.0,25.0
w85__r01_f01,1,1,binary_random,1,80,full81,0.9382716049382716,0.8590909090909091,0.7333333333333333,0.9848484848484849,4.0,1.0,65.0,11.0,81.0
w85__r01_f01,1,1,binary_random,1,160,B1_q20,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,2.0,0.0,10.0,5.0,17.0
w85__r01_f01,1,1,binary_random,1,160,B1_q30,0.92,0.875,0.75,1.0,2.0,0.0,17.0,6.0,25.0
w85__r01_f01,1,1,binary_random,1,160,full81,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,2.0,0.0,66.0,13.0,81.0
w85__r01_f01,1,1,binary_random,1,320,B1_q20,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2.0,1.0,9.0,5.0,17.0
w85__r01_f01,1,1,binary_random,1,320,B1_q30,0.88,0.8455882352941176,0.75,0.9411764705882353,2.0,1.0,16.0,6.0,25.0
w85__r01_f01,1,1,binary_random,1,320,full81,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2.0,1.0,65.0,13.0,81.0
w85__r01_f01,1,1,binary_random,2,40,B1_q20,0.8235294117647058,0.7857142857142857,0.5714285714285714,1.0,3.0,0.0,10.0,4.0,17.0
w85__r01_f01,1,1,binary_random,2,40,B1_q30,0.88,0.8125,0.625,1.0,3.0,0.0,17.0,5.0,25.0
w85__r01_f01,1,1,binary_random,2,40,full81,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3.0,1.0,65.0,12.0,81.0
w85__r01_f01,1,1,binary_random,2,80,B1_q20,0.8235294117647058,0.7857142857142857,0.5714285714285714,1.0,3.0,0.0,10.0,4.0,17.0
w85__r01_f01,1,1,binary_random,2,80,B1_q30,0.88,0.8125,0.625,1.0,3.0,0.0,17.0,5.0,25.0
w85__r01_f01,1,1,binary_random,2,80,full81,0.9506172839506173,0.8666666666666667,0.7333333333333333,1.0,4.0,0.0,66.0,11.0,81.0
w85__r01_f01,1,1,binary_random,2,160,B1_q20,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,1.0,0.0,10.0,6.0,17.0
w85__r01_f01,1,1,binary_random,2,160,B1_q30,0.96,0.9375,0.875,1.0,1.0,0.0,17.0,7.0,25.0
w85__r01_f01,1,1,binary_random,2,160,full81,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1.0,0.0,66.0,14.0,81.0
w85__r01_f01,1,1,binary_random,2,320,B1_q20,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2.0,1.0,9.0,5.0,17.0
w85__r01_f01,1,1,binary_random,2,320,B1_q30,0.88,0.8455882352941176,0.75,0.9411764705882353,2.0,1.0,16.0,6.0,25.0
w85__r01_f01,1,1,binary_random,2,320,full81,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,2.0,1.0,65.0,13.0,81.0
w85__r01_f01,1,1,binary_random,3,40,B1_q20,0.7647058823529411,0.7142857142857143,0.42857142857142855,1.0,4.0,0.0,10.0,3.0,17.0
w85__r01_f01,1,1,binary_random,3,40,B1_q30,0.84,0.75,0.5,1.0,4.0,0.0,17.0,4.0,25.0
