binary_budget,binary_mean_accuracy,random_equivalent_budget_display,query_saving_display,efficiency_multiplier_display,status,interpolation,extrapolation
20,0.776470588235,34.00,14.00,1.70x,matched_within_observed_curve,piecewise linear between adjacent observed integer-budget Random means,False
30,0.797058823529,70.00,40.00,2.33x,matched_within_observed_curve,piecewise linear between adjacent observed integer-budget Random means,False
40,0.811764705882,>80,>40,>2.00x,not_matched_by_80,piecewise linear between adjacent observed integer-budget Random means,False
50,0.829411764706,>80,>30,>1.60x,not_matched_by_80,piecewise linear between adjacent observed integer-budget Random means,False
60,0.835294117647,>80,>20,>1.33x,not_matched_by_80,piecewise linear between adjacent observed integer-budget Random means,False
