budget,subset,boundary_definition,quantile,run_id,prediction_count,mean_confidence,median_confidence,fraction_confidence_ge_080,fraction_confidence_ge_090,accuracy_confidence_ge_080,accuracy_confidence_ge_090,brier_score
20,all_test,all,all,primary_common__r03_f01,81,0.812031897996,0.858265719755,0.617283950617,0.333333333333,0.98,1,0.0773024422739
20,all_test,all,all,primary_common__r03_f02,81,0.75418077424,0.790109342665,0.456790123457,0,1,,0.0790856958043
20,all_test,all,all,primary_common__r03_f03,81,0.828265296158,0.866874321817,0.691358024691,0.271604938272,0.964285714286,1,0.0743921862697
20,all_test,all,all,primary_common__r03_f04,81,0.773143688067,0.786948704878,0.456790123457,0.111111111111,1,1,0.0726932243457
20,all_test,all,all,primary_common__r03_f05,81,0.835147184401,0.871590518886,0.777777777778,0.271604938272,1,1,0.0472221977511
20,all_test,all,all,primary_common__r04_f01,81,0.79581167981,0.841617784765,0.58024691358,0.20987654321,1,1,0.0623815495887
20,all_test,all,all,primary_common__r04_f02,81,0.826583590689,0.856273467323,0.740740740741,0.135802469136,0.983333333333,1,0.0660342408626
20,all_test,all,all,primary_common__r04_f03,81,0.803895450792,0.828340327986,0.592592592593,0.0617283950617,1,1,0.0610574103392
20,all_test,all,all,primary_common__r04_f04,81,0.79712496626,0.847318161504,0.567901234568,0.0740740740741,1,1,0.0538498955786
20,all_test,all,all,primary_common__r04_f05,81,0.790832650321,0.818086416201,0.567901234568,0.111111111111,1,1,0.0634393157919
30,B1_q20,B1,20,primary_common__r01_f01,17,0.702151002019,0.716427607641,0.117647058824,0,1,,0.121040426008
30,B1_q20,B1,20,primary_common__r01_f02,17,0.743574792796,0.741190564864,0.411764705882,0.117647058824,1,1,0.151208706438
30,B1_q20,B1,20,primary_common__r01_f03,17,0.69626748394,0.711026690347,0.294117647059,0,1,,0.123357948528
30,B1_q20,B1,20,primary_common__r01_f04,17,0.711366265136,0.730586689803,0.294117647059,0,1,,0.12585818106
30,B1_q20,B1,20,primary_common__r01_f05,17,0.741603691405,0.739853381211,0.411764705882,0.0588235294118,1,1,0.132608615323
30,B1_q20,B1,20,primary_common__r02_f01,17,0.779938654576,0.783715241006,0.470588235294,0.0588235294118,0.875,1,0.121846601669
30,B1_q20,B1,20,primary_common__r02_f02,17,0.703978161169,0.698318298084,0.117647058824,0,1,,0.145712162052
30,B1_q20,B1,20,primary_common__r02_f03,17,0.685157855644,0.697994268542,0.176470588235,0,1,,0.159975625086
30,B1_q20,B1,20,primary_common__r02_f04,17,0.772816673734,0.884282774526,0.588235294118,0.294117647059,1,1,0.102195975092
30,B1_q20,B1,20,primary_common__r02_f05,17,0.825730517176,0.846293036586,0.705882352941,0.294117647059,0.833333333333,1,0.146155600586
30,B1_q20,B1,20,primary_common__r03_f01,17,0.774766025162,0.773948767265,0.411764705882,0.235294117647,0.857142857143,1,0.201104083812
30,B1_q20,B1,20,primary_common__r03_f02,17,0.695722723471,0.69708100271,0.117647058824,0,1,,0.138287611383
30,B1_q20,B1,20,primary_common__r03_f03,17,0.800968015681,0.811315289336,0.529411764706,0.294117647059,0.777777777778,1,0.241599658144
30,B1_q20,B1,20,primary_common__r03_f04,17,0.7583397623,0.779048301448,0.294117647059,0.117647058824,1,1,0.0861076874992
30,B1_q20,B1,20,primary_common__r03_f05,17,0.824749054902,0.855783044072,0.647058823529,0.352941176471,1,1,0.0814448080376
30,B1_q20,B1,20,primary_common__r04_f01,17,0.733057770861,0.734115188171,0.411764705882,0.117647058824,1,1,0.141775369808
30,B1_q20,B1,20,primary_common__r04_f02,17,0.766741709278,0.803337678053,0.529411764706,0.294117647059,0.888888888889,0.8,0.147551249327
30,B1_q20,B1,20,primary_common__r04_f03,17,0.747653497277,0.762258613673,0.470588235294,0.176470588235,0.875,1,0.18966828903
30,B1_q20,B1,20,primary_common__r04_f04,17,0.743165694138,0.762919776076,0.352941176471,0.117647058824,1,1,0.0939473601334
30,B1_q20,B1,20,primary_common__r04_f05,17,0.812320283591,0.815530274871,0.588235294118,0.294117647059,1,1,0.146483433253
30,B1_q30,B1,30,primary_common__r01_f01,25,0.710122755323,0.719793676795,0.12,0,1,,0.107736128621
30,B1_q30,B1,30,primary_common__r01_f02,25,0.748770106542,0.748793135998,0.44,0.08,1,1,0.14435858745
30,B1_q30,B1,30,primary_common__r01_f03,25,0.737352126187,0.764380655574,0.44,0.04,1,1,0.0955862261697
30,B1_q30,B1,30,primary_common__r01_f04,25,0.752311972211,0.775267952164,0.44,0.12,1,1,0.0953933229119
30,B1_q30,B1,30,primary_common__r01_f05,25,0.738906258265,0.739853381211,0.4,0.08,1,1,0.127423037324
30,B1_q30,B1,30,primary_common__r02_f01,25,0.787327634244,0.81779544446,0.56,0.12,0.928571428571,1,0.0991731245604
30,B1_q30,B1,30,primary_common__r02_f02,25,0.730992230603,0.717088724338,0.28,0,1,,0.114763629097
30,B1_q30,B1,30,primary_common__r02_f03,25,0.72095671998,0.723748419642,0.32,0.04,1,1,0.125725445982
30,B1_q30,B1,30,primary_common__r02_f04,25,0.772019599233,0.861375024642,0.6,0.28,1,1,0.0931558668642
30,B1_q30,B1,30,primary_common__r02_f05,25,0.853307909445,0.874395447688,0.8,0.4,0.9,1,0.102468860371
30,B1_q30,B1,30,primary_common__r03_f01,25,0.778023281887,0.773948767265,0.44,0.24,0.909090909091,1,0.156078491447
30,B1_q30,B1,30,primary_common__r03_f02,25,0.702549908879,0.711571421889,0.12,0,1,,0.121410492253
