run_id,repeat,fold,boundary_definition,quantile,target_accuracy,target_accuracy_percent,binary_first_budget,random_first_budget,outcome,random_minus_binary_queries_jointly_reached,censoring_preserved
primary_common__r04_f03,4,3,B1,20,0.85,85,15,,binary_reached_random_not_reached,,True
primary_common__r04_f04,4,4,B1,20,0.85,85,13,50,binary_earlier,37,True
primary_common__r04_f05,4,5,B1,20,0.85,85,27,,binary_reached_random_not_reached,,True
primary_common__r01_f01,1,1,B1,30,0.75,75,15,16,binary_earlier,1,True
primary_common__r01_f02,1,2,B1,30,0.75,75,12,12,tie,0,True
primary_common__r01_f03,1,3,B1,30,0.75,75,15,27,binary_earlier,12,True
primary_common__r01_f04,1,4,B1,30,0.75,75,12,12,tie,0,True
primary_common__r01_f05,1,5,B1,30,0.75,75,13,14,binary_earlier,1,True
primary_common__r02_f01,2,1,B1,30,0.75,75,16,16,tie,0,True
primary_common__r02_f02,2,2,B1,30,0.75,75,12,12,tie,0,True
primary_common__r02_f03,2,3,B1,30,0.75,75,12,12,tie,0,True
primary_common__r02_f04,2,4,B1,30,0.75,75,12,12,tie,0,True
primary_common__r02_f05,2,5,B1,30,0.75,75,12,12,tie,0,True
primary_common__r03_f01,3,1,B1,30,0.75,75,15,29,binary_earlier,14,True
primary_common__r03_f02,3,2,B1,30,0.75,75,12,12,tie,0,True
primary_common__r03_f03,3,3,B1,30,0.75,75,12,12,tie,0,True
primary_common__r03_f04,3,4,B1,30,0.75,75,12,12,tie,0,True
primary_common__r03_f05,3,5,B1,30,0.75,75,12,12,tie,0,True
primary_common__r04_f01,4,1,B1,30,0.75,75,12,12,tie,0,True
primary_common__r04_f02,4,2,B1,30,0.75,75,12,12,tie,0,True
primary_common__r04_f03,4,3,B1,30,0.75,75,14,32,binary_earlier,18,True
primary_common__r04_f04,4,4,B1,30,0.75,75,12,12,tie,0,True
primary_common__r04_f05,4,5,B1,30,0.75,75,12,12,tie,0,True
primary_common__r01_f01,1,1,B1,30,0.8,80,16,16,tie,0,True
primary_common__r01_f02,1,2,B1,30,0.8,80,16,13,random_earlier,-3,True
primary_common__r01_f03,1,3,B1,30,0.8,80,15,27,binary_earlier,12,True
primary_common__r01_f04,1,4,B1,30,0.8,80,12,12,tie,0,True
primary_common__r01_f05,1,5,B1,30,0.8,80,19,63,binary_earlier,44,True
primary_common__r02_f01,2,1,B1,30,0.8,80,16,16,tie,0,True
primary_common__r02_f02,2,2,B1,30,0.8,80,12,12,tie,0,True
primary_common__r02_f03,2,3,B1,30,0.8,80,12,12,tie,0,True
primary_common__r02_f04,2,4,B1,30,0.8,80,12,12,tie,0,True
primary_common__r02_f05,2,5,B1,30,0.8,80,13,19,binary_earlier,6,True
primary_common__r03_f01,3,1,B1,30,0.8,80,15,29,binary_earlier,14,True
primary_common__r03_f02,3,2,B1,30,0.8,80,16,25,binary_earlier,9,True
primary_common__r03_f03,3,3,B1,30,0.8,80,17,26,binary_earlier,9,True
primary_common__r03_f04,3,4,B1,30,0.8,80,12,12,tie,0,True
primary_common__r03_f05,3,5,B1,30,0.8,80,12,12,tie,0,True
primary_common__r04_f01,4,1,B1,30,0.8,80,12,12,tie,0,True
primary_common__r04_f02,4,2,B1,30,0.8,80,18,13,random_earlier,-5,True
primary_common__r04_f03,4,3,B1,30,0.8,80,14,37,binary_earlier,23,True
