boundary_definition,quantile,budget,matched_run_count,mean_binary_minus_random_accuracy,median_binary_minus_random_accuracy,sd_binary_minus_random_accuracy,ci95_lower,ci95_upper
B1,20,43,20,0.0382352941176,0,0.095947763971,-0.00666964168456,0.0831402299199
B1,20,44,20,0.0441176470588,0,0.0951855055086,-0.000430540801576,0.0886658349192
B1,20,45,20,0.0382352941176,0,0.095947763971,-0.00666964168456,0.0831402299199
B1,20,46,20,0.0470588235294,0.0588235294118,0.0946578921927,0.00275756630189,0.0913600807569
B1,20,47,20,0.0441176470588,0.0588235294118,0.0892613203922,0.00234206317922,0.0858932309384
B1,20,48,20,0.0529411764706,0.0588235294118,0.0989840948282,0.00661519408456,0.0992671588566
B1,20,49,20,0.0588235294118,0.0588235294118,0.104532154899,0.00990097498507,0.107746083838
B1,20,50,20,0.0558823529412,0.0588235294118,0.107071070643,0.00577154936944,0.105993156513
B1,20,51,20,0.0558823529412,0.0588235294118,0.115262205731,0.00193798014342,0.109826725739
B1,20,52,20,0.05,0.0588235294118,0.108423245076,-0.000743640686444,0.100743640686
B1,20,53,20,0.0558823529412,0.0588235294118,0.10361346152,0.00738976025086,0.104374945631
B1,20,54,20,0.0470588235294,0.0588235294118,0.105572301462,-0.00235053447356,0.0964681815324
B1,20,55,20,0.0588235294118,0.0588235294118,0.111282976815,0.00674149307308,0.11090556575
B1,20,56,20,0.0558823529412,0.0294117647059,0.108758661949,0.00498173232617,0.106782973556
B1,20,57,20,0.0529411764706,0,0.106088550513,0.00329020647421,0.102592146467
B1,20,58,20,0.0558823529412,0,0.108758661949,0.00498173232617,0.106782973556
B1,20,59,20,0.0470588235294,0.0294117647059,0.102063931315,-0.000708566701685,0.0948262137605
B1,20,60,20,0.05,0.0294117647059,0.108423245076,-0.000743640686444,0.100743640686
B1,20,61,20,0.0529411764706,0.0588235294118,0.112746219764,0.000174321351747,0.105708031589
B1,20,62,20,0.0588235294118,0.0588235294118,0.107960345351,0.0082965324655,0.109350526358
B1,20,63,20,0.0441176470588,0.0294117647059,0.0912787801103,0.00139786296679,0.0868374311509
B1,20,64,20,0.0411764705882,0.0294117647059,0.089719204208,-0.000813409513635,0.0831663506901
B1,20,65,20,0.0441176470588,0.0588235294118,0.0892613203922,0.00234206317921,0.0858932309384
B1,20,66,20,0.0441176470588,0.0588235294118,0.0892613203922,0.00234206317921,0.0858932309384
B1,20,67,20,0.0441176470588,0.0588235294118,0.0892613203922,0.00234206317921,0.0858932309384
B1,20,68,20,0.0382352941176,0.0588235294118,0.0837888962183,-0.000979116410551,0.0774497046458
B1,20,69,20,0.0382352941176,0.0588235294118,0.0837888962183,-0.000979116410551,0.0774497046458
B1,20,70,20,0.0323529411765,0.0294117647059,0.0700573431125,-0.00043490467569,0.0651407870286
B1,20,71,20,0.0382352941176,0.0588235294118,0.0815864372872,5.16660987398e-05,0.0764189221366
B1,20,72,20,0.0323529411765,0.0588235294118,0.0797807047162,-0.00498557798506,0.069691460338
B1,20,73,20,0.0294117647059,0.0294117647059,0.0798377520633,-0.00795345343594,0.0667769828477
B1,20,74,20,0.0294117647059,0.0294117647059,0.0798377520633,-0.00795345343594,0.0667769828477
B1,20,75,20,0.0294117647059,0.0294117647059,0.0798377520633,-0.00795345343594,0.0667769828477
B1,20,76,20,0.0294117647059,0,0.0842765175778,-0.0100308596434,0.0688543890552
B1,20,77,20,0.0323529411765,0.0294117647059,0.0842224768428,-0.00706439133033,0.0717702736833
B1,20,78,20,0.0382352941176,0.0588235294118,0.0859349260181,-0.00198348927347,0.0784540775088
B1,20,79,20,0.0352941176471,0.0588235294118,0.0840601461872,-0.00404724177433,0.0746354770684
B1,20,80,20,0.0352941176471,0.0294117647059,0.0818649851692,-0.00301987479349,0.0736081100876
B1,30,16,20,0.04,0.04,0.0830979130779,0.00110897953613,0.0788910204639
B1,30,17,20,0.032,0.04,0.0837037382049,-0.00717455535109,0.0711745553511
B1,30,18,20,0.036,0.04,0.0888760224606,-0.00559525889687,0.0775952588969
