run_id,method,budget,keyhole_discovered,non_keyhole_discovered,keyhole_discovery_fraction_of_73,same_simulator_query_budget,candidate_pool_count,candidate_keyhole_count,candidate_keyhole_prevalence,queried_keyhole_fraction,keyhole_enrichment
primary_common__r01_f01,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r01_f02,binary_uncertainty_repulsion,16,6,10,0.0821917808219,True,324,58,0.179012345679,0.375,2.09482758621
primary_common__r01_f03,binary_uncertainty_repulsion,16,4,12,0.0547945205479,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r01_f04,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,59,0.182098765432,0.3125,1.71610169492
primary_common__r01_f05,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r02_f01,binary_uncertainty_repulsion,16,1,15,0.013698630137,True,324,58,0.179012345679,0.0625,0.349137931034
primary_common__r02_f02,binary_uncertainty_repulsion,16,7,9,0.0958904109589,True,324,59,0.182098765432,0.4375,2.40254237288
primary_common__r02_f03,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,59,0.182098765432,0.3125,1.71610169492
primary_common__r02_f04,binary_uncertainty_repulsion,16,6,10,0.0821917808219,True,324,58,0.179012345679,0.375,2.09482758621
primary_common__r02_f05,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r03_f01,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r03_f02,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,59,0.182098765432,0.3125,1.71610169492
primary_common__r03_f03,binary_uncertainty_repulsion,16,6,10,0.0821917808219,True,324,59,0.182098765432,0.375,2.0593220339
primary_common__r03_f04,binary_uncertainty_repulsion,16,6,10,0.0821917808219,True,324,58,0.179012345679,0.375,2.09482758621
primary_common__r03_f05,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r04_f01,binary_uncertainty_repulsion,16,4,12,0.0547945205479,True,324,58,0.179012345679,0.25,1.39655172414
primary_common__r04_f02,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r04_f03,binary_uncertainty_repulsion,16,5,11,0.0684931506849,True,324,59,0.182098765432,0.3125,1.71610169492
primary_common__r04_f04,binary_uncertainty_repulsion,16,7,9,0.0958904109589,True,324,58,0.179012345679,0.4375,2.44396551724
primary_common__r04_f05,binary_uncertainty_repulsion,16,6,10,0.0821917808219,True,324,59,0.182098765432,0.375,2.0593220339
primary_common__r01_f01,max_depth_straddle,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r01_f02,max_depth_straddle,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r01_f03,max_depth_straddle,16,3,13,0.041095890411,True,324,59,0.182098765432,0.1875,1.02966101695
primary_common__r01_f04,max_depth_straddle,16,4,12,0.0547945205479,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r01_f05,max_depth_straddle,16,3,13,0.041095890411,True,324,58,0.179012345679,0.1875,1.0474137931
primary_common__r02_f01,max_depth_straddle,16,1,15,0.013698630137,True,324,58,0.179012345679,0.0625,0.349137931034
primary_common__r02_f02,max_depth_straddle,16,4,12,0.0547945205479,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r02_f03,max_depth_straddle,16,5,11,0.0684931506849,True,324,59,0.182098765432,0.3125,1.71610169492
primary_common__r02_f04,max_depth_straddle,16,3,13,0.041095890411,True,324,58,0.179012345679,0.1875,1.0474137931
primary_common__r02_f05,max_depth_straddle,16,6,10,0.0821917808219,True,324,58,0.179012345679,0.375,2.09482758621
primary_common__r03_f01,max_depth_straddle,16,3,13,0.041095890411,True,324,58,0.179012345679,0.1875,1.0474137931
primary_common__r03_f02,max_depth_straddle,16,5,11,0.0684931506849,True,324,59,0.182098765432,0.3125,1.71610169492
primary_common__r03_f03,max_depth_straddle,16,7,9,0.0958904109589,True,324,59,0.182098765432,0.4375,2.40254237288
primary_common__r03_f04,max_depth_straddle,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r03_f05,max_depth_straddle,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r04_f01,max_depth_straddle,16,2,14,0.027397260274,True,324,58,0.179012345679,0.125,0.698275862069
primary_common__r04_f02,max_depth_straddle,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r04_f03,max_depth_straddle,16,4,12,0.0547945205479,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r04_f04,max_depth_straddle,16,6,10,0.0821917808219,True,324,58,0.179012345679,0.375,2.09482758621
primary_common__r04_f05,max_depth_straddle,16,4,12,0.0547945205479,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r01_f01,shared_random_binary_head,16,3,13,0.041095890411,True,324,58,0.179012345679,0.1875,1.0474137931
primary_common__r01_f02,shared_random_binary_head,16,4,12,0.0547945205479,True,324,58,0.179012345679,0.25,1.39655172414
primary_common__r01_f03,shared_random_binary_head,16,2,14,0.027397260274,True,324,59,0.182098765432,0.125,0.686440677966
primary_common__r01_f04,shared_random_binary_head,16,4,12,0.0547945205479,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r01_f05,shared_random_binary_head,16,3,13,0.041095890411,True,324,58,0.179012345679,0.1875,1.0474137931
primary_common__r02_f01,shared_random_binary_head,16,1,15,0.013698630137,True,324,58,0.179012345679,0.0625,0.349137931034
primary_common__r02_f02,shared_random_binary_head,16,4,12,0.0547945205479,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r02_f03,shared_random_binary_head,16,3,13,0.041095890411,True,324,59,0.182098765432,0.1875,1.02966101695
primary_common__r02_f04,shared_random_binary_head,16,3,13,0.041095890411,True,324,58,0.179012345679,0.1875,1.0474137931
primary_common__r02_f05,shared_random_binary_head,16,5,11,0.0684931506849,True,324,58,0.179012345679,0.3125,1.74568965517
primary_common__r03_f01,shared_random_binary_head,16,2,14,0.027397260274,True,324,58,0.179012345679,0.125,0.698275862069
primary_common__r03_f02,shared_random_binary_head,16,1,15,0.013698630137,True,324,59,0.182098765432,0.0625,0.343220338983
primary_common__r03_f03,shared_random_binary_head,16,4,12,0.0547945205479,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r03_f04,shared_random_binary_head,16,4,12,0.0547945205479,True,324,58,0.179012345679,0.25,1.39655172414
primary_common__r03_f05,shared_random_binary_head,16,3,13,0.041095890411,True,324,58,0.179012345679,0.1875,1.0474137931
primary_common__r04_f01,shared_random_binary_head,16,2,14,0.027397260274,True,324,58,0.179012345679,0.125,0.698275862069
primary_common__r04_f02,shared_random_binary_head,16,4,12,0.0547945205479,True,324,58,0.179012345679,0.25,1.39655172414
primary_common__r04_f03,shared_random_binary_head,16,1,15,0.013698630137,True,324,59,0.182098765432,0.0625,0.343220338983
primary_common__r04_f04,shared_random_binary_head,16,6,10,0.0821917808219,True,324,58,0.179012345679,0.375,2.09482758621
primary_common__r04_f05,shared_random_binary_head,16,3,13,0.041095890411,True,324,59,0.182098765432,0.1875,1.02966101695
primary_common__r01_f01,binary_uncertainty_repulsion,20,8,12,0.109589041096,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r01_f02,binary_uncertainty_repulsion,20,8,12,0.109589041096,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r01_f03,binary_uncertainty_repulsion,20,6,14,0.0821917808219,True,324,59,0.182098765432,0.3,1.64745762712
primary_common__r01_f04,binary_uncertainty_repulsion,20,5,15,0.0684931506849,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r01_f05,binary_uncertainty_repulsion,20,7,13,0.0958904109589,True,324,58,0.179012345679,0.35,1.95517241379
primary_common__r02_f01,binary_uncertainty_repulsion,20,4,16,0.0547945205479,True,324,58,0.179012345679,0.2,1.11724137931
primary_common__r02_f02,binary_uncertainty_repulsion,20,9,11,0.123287671233,True,324,59,0.182098765432,0.45,2.47118644068
primary_common__r02_f03,binary_uncertainty_repulsion,20,7,13,0.0958904109589,True,324,59,0.182098765432,0.35,1.92203389831
primary_common__r02_f04,binary_uncertainty_repulsion,20,9,11,0.123287671233,True,324,58,0.179012345679,0.45,2.51379310345
primary_common__r02_f05,binary_uncertainty_repulsion,20,8,12,0.109589041096,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r03_f01,binary_uncertainty_repulsion,20,7,13,0.0958904109589,True,324,58,0.179012345679,0.35,1.95517241379
primary_common__r03_f02,binary_uncertainty_repulsion,20,7,13,0.0958904109589,True,324,59,0.182098765432,0.35,1.92203389831
primary_common__r03_f03,binary_uncertainty_repulsion,20,7,13,0.0958904109589,True,324,59,0.182098765432,0.35,1.92203389831
primary_common__r03_f04,binary_uncertainty_repulsion,20,8,12,0.109589041096,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r03_f05,binary_uncertainty_repulsion,20,8,12,0.109589041096,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r04_f01,binary_uncertainty_repulsion,20,8,12,0.109589041096,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r04_f02,binary_uncertainty_repulsion,20,7,13,0.0958904109589,True,324,58,0.179012345679,0.35,1.95517241379
primary_common__r04_f03,binary_uncertainty_repulsion,20,7,13,0.0958904109589,True,324,59,0.182098765432,0.35,1.92203389831
primary_common__r04_f04,binary_uncertainty_repulsion,20,8,12,0.109589041096,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r04_f05,binary_uncertainty_repulsion,20,10,10,0.13698630137,True,324,59,0.182098765432,0.5,2.74576271186
primary_common__r01_f01,max_depth_straddle,20,6,14,0.0821917808219,True,324,58,0.179012345679,0.3,1.67586206897
primary_common__r01_f02,max_depth_straddle,20,7,13,0.0958904109589,True,324,58,0.179012345679,0.35,1.95517241379
primary_common__r01_f03,max_depth_straddle,20,5,15,0.0684931506849,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r01_f04,max_depth_straddle,20,5,15,0.0684931506849,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r01_f05,max_depth_straddle,20,4,16,0.0547945205479,True,324,58,0.179012345679,0.2,1.11724137931
primary_common__r02_f01,max_depth_straddle,20,3,17,0.041095890411,True,324,58,0.179012345679,0.15,0.837931034483
primary_common__r02_f02,max_depth_straddle,20,6,14,0.0821917808219,True,324,59,0.182098765432,0.3,1.64745762712
primary_common__r02_f03,max_depth_straddle,20,6,14,0.0821917808219,True,324,59,0.182098765432,0.3,1.64745762712
primary_common__r02_f04,max_depth_straddle,20,5,15,0.0684931506849,True,324,58,0.179012345679,0.25,1.39655172414
primary_common__r02_f05,max_depth_straddle,20,7,13,0.0958904109589,True,324,58,0.179012345679,0.35,1.95517241379
primary_common__r03_f01,max_depth_straddle,20,5,15,0.0684931506849,True,324,58,0.179012345679,0.25,1.39655172414
primary_common__r03_f02,max_depth_straddle,20,8,12,0.109589041096,True,324,59,0.182098765432,0.4,2.19661016949
primary_common__r03_f03,max_depth_straddle,20,7,13,0.0958904109589,True,324,59,0.182098765432,0.35,1.92203389831
primary_common__r03_f04,max_depth_straddle,20,6,14,0.0821917808219,True,324,58,0.179012345679,0.3,1.67586206897
primary_common__r03_f05,max_depth_straddle,20,7,13,0.0958904109589,True,324,58,0.179012345679,0.35,1.95517241379
primary_common__r04_f01,max_depth_straddle,20,4,16,0.0547945205479,True,324,58,0.179012345679,0.2,1.11724137931
primary_common__r04_f02,max_depth_straddle,20,7,13,0.0958904109589,True,324,58,0.179012345679,0.35,1.95517241379
primary_common__r04_f03,max_depth_straddle,20,4,16,0.0547945205479,True,324,59,0.182098765432,0.2,1.09830508475
primary_common__r04_f04,max_depth_straddle,20,6,14,0.0821917808219,True,324,58,0.179012345679,0.3,1.67586206897
primary_common__r04_f05,max_depth_straddle,20,6,14,0.0821917808219,True,324,59,0.182098765432,0.3,1.64745762712
primary_common__r01_f01,shared_random_binary_head,20,3,17,0.041095890411,True,324,58,0.179012345679,0.15,0.837931034483
primary_common__r01_f02,shared_random_binary_head,20,4,16,0.0547945205479,True,324,58,0.179012345679,0.2,1.11724137931
primary_common__r01_f03,shared_random_binary_head,20,2,18,0.027397260274,True,324,59,0.182098765432,0.1,0.549152542373
primary_common__r01_f04,shared_random_binary_head,20,4,16,0.0547945205479,True,324,59,0.182098765432,0.2,1.09830508475
primary_common__r01_f05,shared_random_binary_head,20,3,17,0.041095890411,True,324,58,0.179012345679,0.15,0.837931034483
primary_common__r02_f01,shared_random_binary_head,20,1,19,0.013698630137,True,324,58,0.179012345679,0.05,0.279310344828
primary_common__r02_f02,shared_random_binary_head,20,5,15,0.0684931506849,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r02_f03,shared_random_binary_head,20,5,15,0.0684931506849,True,324,59,0.182098765432,0.25,1.37288135593
primary_common__r02_f04,shared_random_binary_head,20,5,15,0.0684931506849,True,324,58,0.179012345679,0.25,1.39655172414
primary_common__r02_f05,shared_random_binary_head,20,7,13,0.0958904109589,True,324,58,0.179012345679,0.35,1.95517241379
primary_common__r03_f01,shared_random_binary_head,20,2,18,0.027397260274,True,324,58,0.179012345679,0.1,0.558620689655
primary_common__r03_f02,shared_random_binary_head,20,1,19,0.013698630137,True,324,59,0.182098765432,0.05,0.274576271186
primary_common__r03_f03,shared_random_binary_head,20,4,16,0.0547945205479,True,324,59,0.182098765432,0.2,1.09830508475
primary_common__r03_f04,shared_random_binary_head,20,4,16,0.0547945205479,True,324,58,0.179012345679,0.2,1.11724137931
primary_common__r03_f05,shared_random_binary_head,20,4,16,0.0547945205479,True,324,58,0.179012345679,0.2,1.11724137931
primary_common__r04_f01,shared_random_binary_head,20,2,18,0.027397260274,True,324,58,0.179012345679,0.1,0.558620689655
primary_common__r04_f02,shared_random_binary_head,20,4,16,0.0547945205479,True,324,58,0.179012345679,0.2,1.11724137931
primary_common__r04_f03,shared_random_binary_head,20,1,19,0.013698630137,True,324,59,0.182098765432,0.05,0.274576271186
primary_common__r04_f04,shared_random_binary_head,20,6,14,0.0821917808219,True,324,58,0.179012345679,0.3,1.67586206897
primary_common__r04_f05,shared_random_binary_head,20,4,16,0.0547945205479,True,324,59,0.182098765432,0.2,1.09830508475
primary_common__r01_f01,binary_uncertainty_repulsion,30,14,16,0.191780821918,True,324,58,0.179012345679,0.466666666667,2.60689655172
primary_common__r01_f02,binary_uncertainty_repulsion,30,14,16,0.191780821918,True,324,58,0.179012345679,0.466666666667,2.60689655172
primary_common__r01_f03,binary_uncertainty_repulsion,30,12,18,0.164383561644,True,324,59,0.182098765432,0.4,2.19661016949
primary_common__r01_f04,binary_uncertainty_repulsion,30,10,20,0.13698630137,True,324,59,0.182098765432,0.333333333333,1.83050847458
primary_common__r01_f05,binary_uncertainty_repulsion,30,10,20,0.13698630137,True,324,58,0.179012345679,0.333333333333,1.86206896552
primary_common__r02_f01,binary_uncertainty_repulsion,30,11,19,0.150684931507,True,324,58,0.179012345679,0.366666666667,2.04827586207
primary_common__r02_f02,binary_uncertainty_repulsion,30,13,17,0.178082191781,True,324,59,0.182098765432,0.433333333333,2.37966101695
primary_common__r02_f03,binary_uncertainty_repulsion,30,11,19,0.150684931507,True,324,59,0.182098765432,0.366666666667,2.01355932203
primary_common__r02_f04,binary_uncertainty_repulsion,30,13,17,0.178082191781,True,324,58,0.179012345679,0.433333333333,2.42068965517
primary_common__r02_f05,binary_uncertainty_repulsion,30,13,17,0.178082191781,True,324,58,0.179012345679,0.433333333333,2.42068965517
primary_common__r03_f01,binary_uncertainty_repulsion,30,12,18,0.164383561644,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r03_f02,binary_uncertainty_repulsion,30,14,16,0.191780821918,True,324,59,0.182098765432,0.466666666667,2.56271186441
primary_common__r03_f03,binary_uncertainty_repulsion,30,13,17,0.178082191781,True,324,59,0.182098765432,0.433333333333,2.37966101695
primary_common__r03_f04,binary_uncertainty_repulsion,30,11,19,0.150684931507,True,324,58,0.179012345679,0.366666666667,2.04827586207
primary_common__r03_f05,binary_uncertainty_repulsion,30,13,17,0.178082191781,True,324,58,0.179012345679,0.433333333333,2.42068965517
primary_common__r04_f01,binary_uncertainty_repulsion,30,12,18,0.164383561644,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r04_f02,binary_uncertainty_repulsion,30,12,18,0.164383561644,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r04_f03,binary_uncertainty_repulsion,30,12,18,0.164383561644,True,324,59,0.182098765432,0.4,2.19661016949
primary_common__r04_f04,binary_uncertainty_repulsion,30,12,18,0.164383561644,True,324,58,0.179012345679,0.4,2.23448275862
primary_common__r04_f05,binary_uncertainty_repulsion,30,12,18,0.164383561644,True,324,59,0.182098765432,0.4,2.19661016949
primary_common__r01_f01,max_depth_straddle,30,10,20,0.13698630137,True,324,58,0.179012345679,0.333333333333,1.86206896552
primary_common__r01_f02,max_depth_straddle,30,9,21,0.123287671233,True,324,58,0.179012345679,0.3,1.67586206897
