run_id,repeat,model,q20_acc,q30_acc,full_acc,q20_kh_recall
w85__r01_f01,1,M3,0.8823529411764706,0.92,0.9629629629629629,0.7142857142857143
w85__r01_f01,1,H_logistic_logh,0.8823529411764706,0.92,0.9753086419753086,0.7142857142857143
w85__r01_f01,1,logistic_u4|u4,0.8823529411764706,0.92,0.9753086419753086,0.7142857142857143
w85__r01_f01,1,kNN5|u4,0.8235294117647058,0.88,0.9382716049382716,0.7142857142857143
w85__r01_f01,1,kNN1|u4,0.8823529411764706,0.92,0.9629629629629629,0.8571428571428571
w85__r01_f01,1,RF500|u4,0.8823529411764706,0.92,0.9753086419753086,0.7142857142857143
w85__r01_f01,1,GBM|u4,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f01,1,SVC_rbf|u4,0.8235294117647058,0.88,0.9506172839506173,0.7142857142857143
w85__r01_f01,1,GPC_ARD_wide|u4,0.8235294117647058,0.88,0.9506172839506173,0.7142857142857143
w85__r01_f01,1,logistic_u4|u4+cfg+TE,0.8823529411764706,0.92,0.9753086419753086,0.7142857142857143
w85__r01_f01,1,kNN5|u4+cfg+TE,0.8235294117647058,0.88,0.9382716049382716,0.7142857142857143
w85__r01_f01,1,kNN1|u4+cfg+TE,0.8823529411764706,0.92,0.9629629629629629,0.8571428571428571
w85__r01_f01,1,RF500|u4+cfg+TE,0.8823529411764706,0.92,0.9753086419753086,0.7142857142857143
w85__r01_f01,1,GBM|u4+cfg+TE,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f01,1,SVC_rbf|u4+cfg+TE,0.8235294117647058,0.88,0.9506172839506173,0.7142857142857143
w85__r01_f01,1,GPC_ARD_wide|u4+cfg+TE,0.8235294117647058,0.88,0.9506172839506173,0.7142857142857143
w85__r01_f02,1,M3,0.7647058823529411,0.84,0.9506172839506173,0.6
w85__r01_f02,1,H_logistic_logh,0.7058823529411765,0.76,0.9259259259259259,0.6
w85__r01_f02,1,logistic_u4|u4,0.7647058823529411,0.8,0.9382716049382716,0.8
w85__r01_f02,1,kNN5|u4,0.7647058823529411,0.84,0.9506172839506173,0.6
w85__r01_f02,1,kNN1|u4,0.6470588235294118,0.76,0.9259259259259259,0.6
w85__r01_f02,1,RF500|u4,0.7647058823529411,0.8,0.9382716049382716,0.8
w85__r01_f02,1,GBM|u4,0.7058823529411765,0.76,0.9259259259259259,0.6
w85__r01_f02,1,SVC_rbf|u4,0.7647058823529411,0.84,0.9506172839506173,0.8
w85__r01_f02,1,GPC_ARD_wide|u4,0.7647058823529411,0.84,0.9506172839506173,0.8
w85__r01_f02,1,logistic_u4|u4+cfg+TE,0.7647058823529411,0.8,0.9382716049382716,0.8
w85__r01_f02,1,kNN5|u4+cfg+TE,0.7058823529411765,0.8,0.9382716049382716,0.4
w85__r01_f02,1,kNN1|u4+cfg+TE,0.6470588235294118,0.76,0.9259259259259259,0.6
w85__r01_f02,1,RF500|u4+cfg+TE,0.7647058823529411,0.84,0.9506172839506173,0.8
w85__r01_f02,1,GBM|u4+cfg+TE,0.7058823529411765,0.76,0.9259259259259259,0.6
w85__r01_f02,1,SVC_rbf|u4+cfg+TE,0.7647058823529411,0.84,0.9506172839506173,0.8
w85__r01_f02,1,GPC_ARD_wide|u4+cfg+TE,0.7647058823529411,0.84,0.9506172839506173,0.8
w85__r01_f03,1,M3,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f03,1,H_logistic_logh,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f03,1,logistic_u4|u4,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f03,1,kNN5|u4,0.8235294117647058,0.88,0.9629629629629629,0.5714285714285714
w85__r01_f03,1,kNN1|u4,0.8235294117647058,0.88,0.9629629629629629,0.7142857142857143
w85__r01_f03,1,RF500|u4,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f03,1,GBM|u4,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f03,1,SVC_rbf|u4,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f03,1,GPC_ARD_wide|u4,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f03,1,logistic_u4|u4+cfg+TE,0.8235294117647058,0.88,0.9629629629629629,0.7142857142857143
w85__r01_f03,1,kNN5|u4+cfg+TE,0.8235294117647058,0.88,0.9629629629629629,0.5714285714285714
w85__r01_f03,1,kNN1|u4+cfg+TE,0.8235294117647058,0.88,0.9629629629629629,0.7142857142857143
w85__r01_f03,1,RF500|u4+cfg+TE,0.8823529411764706,0.92,0.9753086419753086,0.7142857142857143
w85__r01_f03,1,GBM|u4+cfg+TE,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f03,1,SVC_rbf|u4+cfg+TE,0.9411764705882353,0.96,0.9876543209876543,0.8571428571428571
w85__r01_f03,1,GPC_ARD_wide|u4+cfg+TE,1.0,1.0,1.0,1.0
w85__r01_f04,1,M3,0.8823529411764706,0.92,0.9753086419753086,0.6666666666666666
w85__r01_f04,1,H_logistic_logh,0.8235294117647058,0.88,0.9629629629629629,0.6666666666666666
w85__r01_f04,1,logistic_u4|u4,0.8823529411764706,0.92,0.9753086419753086,0.6666666666666666
w85__r01_f04,1,kNN5|u4,0.7647058823529411,0.8,0.9382716049382716,0.5
w85__r01_f04,1,kNN1|u4,0.5882352941176471,0.68,0.9012345679012346,0.5
w85__r01_f04,1,RF500|u4,0.7647058823529411,0.84,0.9506172839506173,0.6666666666666666
w85__r01_f04,1,GBM|u4,0.7647058823529411,0.84,0.9382716049382716,0.8333333333333334
w85__r01_f04,1,SVC_rbf|u4,0.7058823529411765,0.76,0.9259259259259259,0.5
w85__r01_f04,1,GPC_ARD_wide|u4,0.8235294117647058,0.84,0.9506172839506173,0.5
w85__r01_f04,1,logistic_u4|u4+cfg+TE,0.8823529411764706,0.92,0.9753086419753086,0.6666666666666666
w85__r01_f04,1,kNN5|u4+cfg+TE,0.7647058823529411,0.8,0.9382716049382716,0.5
w85__r01_f04,1,kNN1|u4+cfg+TE,0.5882352941176471,0.68,0.9012345679012346,0.5
w85__r01_f04,1,RF500|u4+cfg+TE,0.8235294117647058,0.88,0.9629629629629629,0.6666666666666666
w85__r01_f04,1,GBM|u4+cfg+TE,0.7647058823529411,0.84,0.9382716049382716,0.8333333333333334
w85__r01_f04,1,SVC_rbf|u4+cfg+TE,0.7647058823529411,0.8,0.9382716049382716,0.6666666666666666
w85__r01_f04,1,GPC_ARD_wide|u4+cfg+TE,0.8823529411764706,0.92,0.9753086419753086,0.6666666666666666
w85__r01_f05,1,M3,0.8235294117647058,0.84,0.9506172839506173,0.7142857142857143
w85__r01_f05,1,H_logistic_logh,0.8235294117647058,0.84,0.9506172839506173,0.7142857142857143
w85__r01_f05,1,logistic_u4|u4,0.8235294117647058,0.84,0.9506172839506173,0.7142857142857143
w85__r01_f05,1,kNN5|u4,0.7058823529411765,0.8,0.9382716049382716,0.42857142857142855
w85__r01_f05,1,kNN1|u4,0.6470588235294118,0.76,0.9135802469135802,0.42857142857142855
w85__r01_f05,1,RF500|u4,0.8235294117647058,0.84,0.9506172839506173,0.7142857142857143
w85__r01_f05,1,GBM|u4,0.7647058823529411,0.8,0.9382716049382716,0.7142857142857143
w85__r01_f05,1,SVC_rbf|u4,0.7647058823529411,0.8,0.9382716049382716,0.5714285714285714
w85__r01_f05,1,GPC_ARD_wide|u4,0.7647058823529411,0.8,0.9382716049382716,0.7142857142857143
w85__r01_f05,1,logistic_u4|u4+cfg+TE,0.8235294117647058,0.84,0.9506172839506173,0.7142857142857143
w85__r01_f05,1,kNN5|u4+cfg+TE,0.7058823529411765,0.8,0.9382716049382716,0.42857142857142855
w85__r01_f05,1,kNN1|u4+cfg+TE,0.6470588235294118,0.76,0.9135802469135802,0.42857142857142855
w85__r01_f05,1,RF500|u4+cfg+TE,0.8235294117647058,0.84,0.9506172839506173,0.7142857142857143
w85__r01_f05,1,GBM|u4+cfg+TE,0.7647058823529411,0.8,0.9382716049382716,0.7142857142857143
w85__r01_f05,1,SVC_rbf|u4+cfg+TE,0.7647058823529411,0.8,0.9382716049382716,0.5714285714285714
w85__r01_f05,1,GPC_ARD_wide|u4+cfg+TE,0.7647058823529411,0.8,0.9382716049382716,0.7142857142857143
w85__r02_f01,2,M3,0.9411764705882353,0.96,0.9876543209876543,1.0
w85__r02_f01,2,H_logistic_logh,0.8823529411764706,0.92,0.9753086419753086,0.8571428571428571
w85__r02_f01,2,logistic_u4|u4,0.8235294117647058,0.88,0.9506172839506173,0.8571428571428571
w85__r02_f01,2,kNN5|u4,0.7647058823529411,0.84,0.9506172839506173,0.7142857142857143
w85__r02_f01,2,kNN1|u4,0.8823529411764706,0.92,0.9753086419753086,1.0
w85__r02_f01,2,RF500|u4,0.8235294117647058,0.88,0.9629629629629629,0.8571428571428571
w85__r02_f01,2,GBM|u4,0.8235294117647058,0.88,0.9506172839506173,0.8571428571428571
w85__r02_f01,2,SVC_rbf|u4,0.8235294117647058,0.88,0.9629629629629629,0.8571428571428571
w85__r02_f01,2,GPC_ARD_wide|u4,0.8823529411764706,0.92,0.9753086419753086,1.0
w85__r02_f01,2,logistic_u4|u4+cfg+TE,0.8235294117647058,0.88,0.9629629629629629,0.8571428571428571
w85__r02_f01,2,kNN5|u4+cfg+TE,0.7647058823529411,0.84,0.9506172839506173,0.7142857142857143
w85__r02_f01,2,kNN1|u4+cfg+TE,0.8823529411764706,0.92,0.9753086419753086,1.0
