population_row_index,experiment_name,manual_has_keyhole,h_SI,log_h_SI_reference,delta_T_liquidus_minus_ST_K,h_over_deltaT,log_h_over_deltaT
0,P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,335650480.83050686,19.63158094088341,1614.776212872,207861.91805087804,12.244629282709182
1,P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,0,160403506.72886804,18.893203115557135,1629.195568835,98455.64878596428,11.497361459627603
2,P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,0,476109909.4594024,19.981159287767515,1587.088246282,299989.5630093434,12.611502963064298
3,P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,0,187633264.74656546,19.04999989622992,1604.1219209380001,116969.4536914302,11.669668100132267
4,P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,0,329596647.09086704,19.613380183286644,1624.735526361,202861.72225770238,12.22027985477713
5,P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,0,397865284.858045,19.801624025695173,1533.995757939,259365.3097141526,12.465992809130986
6,P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,0,330589983.3593429,19.6163894445236,1537.578797622,215006.85614983062,12.278425195670334
7,P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,0,234553773.74820733,19.27319543192164,1540.125288894,152295.25509359429,11.933576383398545
8,P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,0,203534087.61266732,19.1313440555154,1534.3270076,132653.656361714,11.795496923164249
9,P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,0,320294172.8204733,19.5847504215337,1573.481181657,203557.67616056153,12.22370466464508
10,P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,0,369698792.6435203,19.728199158127982,1562.61037066,236590.51519501343,12.374086141789716
11,P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,0,430761130.38541204,19.881064272586734,1548.649294912,278152.79534278903,12.535925865220293
12,P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,0,906032199.39234,20.62458540354386,1584.043611813,571974.276866879,13.256849298838281
13,P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,0,413687298.6708918,19.84062092917375,1563.490286277,264592.17706812144,12.485944965101679
