benchmark,display_name,surrogate_variant,acquisition_rule,method,final_budget,seed_count,mean_final_global_error,std_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,mean_final_uncertainty_region_fraction,std_final_uncertainty_region_fraction,mean_final_uncertainty_region_fraction_q20,std_final_uncertainty_region_fraction_q20,mean_final_uncertainty_region_fraction_q30,std_final_uncertainty_region_fraction_q30,mean_final_integrated_bernoulli_uncertainty,std_final_integrated_bernoulli_uncertainty,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,mean_acquisition_time_seconds,rank_global_error,rank_near_boundary_error_q20,rank_near_boundary_error_q30,rank_median_query_distance,rank_integrated_bernoulli_uncertainty
ackley,Thresholded 4D Ackley,gpc_fixed_iso,classifier_entropy,classifier_entropy,16,1,0.427500,0.000000,0.462500,0.000000,0.450000,0.000000,0.500000,0.000000,0.978750,0.000000,0.975000,0.000000,0.983333,0.000000,0.247965,0.000000,1.210819,1.005201,0.546248,1.669772,0.000000,0.250000,0.250000,0.002752,4,2,4,4,10
ackley,Thresholded 4D Ackley,gpc_fixed_iso,classifier_margin,classifier_margin,16,1,0.427500,0.000000,0.462500,0.000000,0.450000,0.000000,0.500000,0.000000,0.978750,0.000000,0.975000,0.000000,0.983333,0.000000,0.247965,0.000000,1.210819,1.005201,0.546248,1.669772,0.000000,0.250000,0.250000,0.002868,5,3,5,5,11
ackley,Thresholded 4D Ackley,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,16,1,0.427500,0.000000,0.462500,0.000000,0.450000,0.000000,0.500000,0.000000,0.978750,0.000000,0.975000,0.000000,0.983333,0.000000,0.247965,0.000000,1.210819,1.005201,0.546248,1.669772,0.000000,0.250000,0.250000,0.003652,6,4,6,6,12
ackley,Thresholded 4D Ackley,gpc_fixed_iso,gpc_bernoulli_sur_refit,gpc_bernoulli_sur_refit,16,1,0.427500,0.000000,0.475000,0.000000,0.487500,0.000000,0.512500,0.000000,0.976250,0.000000,0.981250,0.000000,0.987500,0.000000,0.247794,0.000000,0.623121,0.537778,0.459110,0.701789,0.000000,0.000000,0.500000,0.243577,7,9,9,1,9
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,16,1,0.452500,0.000000,0.475000,0.000000,0.481250,0.000000,0.508333,0.000000,0.807500,0.000000,0.781250,0.000000,0.800000,0.000000,0.124584,0.000000,2.094336,2.235013,1.875116,2.454232,0.000000,0.000000,0.000000,0.002583,9,7,7,11,3
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,16,1,0.452500,0.000000,0.475000,0.000000,0.481250,0.000000,0.508333,0.000000,0.807500,0.000000,0.781250,0.000000,0.800000,0.000000,0.124584,0.000000,2.094336,2.235013,1.875116,2.454232,0.000000,0.000000,0.000000,0.004363,10,8,8,12,4
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,16,1,0.426250,0.000000,0.412500,0.000000,0.443750,0.000000,0.470833,0.000000,0.782500,0.000000,0.831250,0.000000,0.825000,0.000000,0.117461,0.000000,2.083690,2.220599,2.032969,2.271321,0.000000,0.000000,0.000000,0.022445,3,1,1,10,2
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,gpr_boundary_weighted_ivr,gpr_boundary_weighted_ivr,16,1,0.435000,0.000000,0.525000,0.000000,0.512500,0.000000,0.529167,0.000000,0.947500,0.000000,0.962500,0.000000,0.966667,0.000000,0.174841,0.000000,1.191301,0.935960,0.594020,1.533241,0.000000,0.000000,0.250000,0.017338,8,12,12,3,8
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,random,random,16,1,0.420000,0.000000,0.450000,0.000000,0.450000,0.000000,0.475000,0.000000,0.716250,0.000000,0.700000,0.000000,0.729167,0.000000,0.112392,0.000000,1.886979,1.956834,1.579973,2.263840,0.000000,0.000000,0.000000,0.000074,2,5,2,7,1
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,16,1,0.453750,0.000000,0.500000,0.000000,0.493750,0.000000,0.516667,0.000000,0.833750,0.000000,0.818750,0.000000,0.845833,0.000000,0.130002,0.000000,1.813017,2.010710,1.574833,2.248895,0.000000,0.000000,0.000000,0.002470,11,10,10,8,5
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,16,1,0.413750,0.000000,0.500000,0.000000,0.450000,0.000000,0.479167,0.000000,0.943750,0.000000,0.962500,0.000000,0.950000,0.000000,0.172522,0.000000,0.802271,0.664983,0.454757,1.012496,0.000000,0.250000,0.500000,0.002220,1,6,3,2,7
ackley,Thresholded 4D Ackley,gpr_fixed_or_existing,straddle,straddle,16,1,0.453750,0.000000,0.500000,0.000000,0.493750,0.000000,0.516667,0.000000,0.833750,0.000000,0.818750,0.000000,0.845833,0.000000,0.130002,0.000000,1.813017,2.010710,1.574833,2.248895,0.000000,0.000000,0.000000,0.002120,12,11,11,9,6
