experiment_name,population_row_index,has_keyhole,active_sample_count,active_duration_ms,first_active_time_s,last_active_time_s,median_dt_us,dt_cv,dt_p99_p01_ratio,sampling_effectively_uniform,derivative_method,duplicate_timestamp_count,nonpositive_dt_count_raw,missing_width_count,invalid_or_sentinel_row_count,obvious_jump_count,largest_jump_um,jump_threshold_um,oscillation_mad_delta_um,nonmonotonic_fraction,monotonic_nondecreasing,significant_negative_step_fraction,quality_flag,bounds_known_sentinel_rows_excluded,cooling_rows_in_primary
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,0,94121,1.7095633,0.0003198857,0.002029449,0.018000000000066574,0.015779876686438637,1.055555555574964,True,centered_finite_difference,0,0,0,17594,165,7.807400000000143,5.0,0.010229955307396182,0.9419995750106247,False,0.0035061623459413513,ok,0,0
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,0,69886,1.2691665,0.0008308365,0.002100003,0.018000000000066574,0.018856389406333565,1.05555555558768,True,centered_finite_difference,0,0,0,45714,2,5.3528,5.0,0.006968230426912684,0.4525148458181298,False,0.0017027974529584316,ok,0,0
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,13,0,88191,1.601904,0.000298076,0.00189998,0.018099999999992254,0.015255053847991364,1.055555555574964,True,centered_finite_difference,0,0,0,16395,175,7.845300000000037,5.0,0.009636914420311359,0.9508220886721851,False,0.0036285293117133462,ok,0,0
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,14,0,94299,1.7126874,0.0003873156,0.002100003,0.018000000000066574,0.01628529683650429,1.05555555558768,True,centered_finite_difference,0,0,0,21301,26,7.414299999999987,5.0,0.008747353089125795,0.9185242529003796,False,0.002937496023245456,ok,0,0
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,15,0,94901,1.7236376999999998,0.0003763653,0.002100003,0.018000000000066574,0.016234386550342046,1.05555555558768,True,centered_finite_difference,0,0,0,20699,146,7.928100000000057,5.0,0.009192133754618498,0.9533403582718651,False,0.0026870389884088514,ok,0,0
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,16,0,63245,1.1489713000000001,0.0002192427,0.001368214,0.018199999999917935,0.011637291993160406,1.0555555555629175,True,centered_finite_difference,0,0,0,25272,28,5.627199999999974,5.0,0.01200907796995693,0.9388400480678009,False,0.00433242679147429,ok,0,0
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,17,0,92460,1.6794269000000002,0.0003019141,0.001981341,0.018099999999992254,0.015549895637659213,1.055555555574964,True,centered_finite_difference,0,0,0,16606,75,7.202899999999943,5.0,0.008450832645467502,0.9589115175375031,False,0.0031473409835710963,ok,0,0
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,18,0,53117,0.9650709000000001,0.0001802021,0.001145273,0.018199999999972145,0.008183835352458799,1.0555555555629175,True,centered_finite_difference,0,0,0,31372,61,6.429000000000087,5.0,0.010822996195070938,0.9422584531967768,False,0.0032758490850214625,ok,0,0
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,19,0,93152,1.6918236,0.0004081794,0.002100003,0.018000000000066574,0.016383657059435272,1.05555555558768,True,centered_finite_difference,0,0,0,22448,2,5.548400000000023,5.0,0.020311650393568952,0.7746347328531095,False,0.0035104293029597105,ok,0,0
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,20,0,75253,1.3670156,0.0002509824,0.001617998,0.018099999999992254,0.013728558756473361,1.0555555555629175,True,centered_finite_difference,0,0,0,13806,179,7.88799999999992,5.0,0.009933434863938046,0.9461143889863393,False,0.003534789773029288,ok,0,0
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,21,0,94581,1.7178168999999999,0.0003821861,0.002100003,0.018000000000066574,0.016261389574912626,1.05555555558768,True,centered_finite_difference,0,0,0,21019,119,8.148999999999994,5.0,0.009043873532720879,0.9459928103193064,False,0.0028758722774370905,ok,0,0
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,22,0,55370,1.0059840000000002,0.000183619,0.001189603,0.018199999999972145,0.009068919044581413,1.0555555555629175,True,centered_finite_difference,0,0,0,26157,96,7.706800000000012,5.0,0.009785174642208978,0.9568169914573137,False,0.00372049341689393,ok,0,0
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,23,0,58523,1.0632325,0.0001996315,0.001262864,0.018199999999917935,0.010292561565404678,1.0555555555629175,True,centered_finite_difference,0,0,0,27497,179,5.814199999999971,5.0,0.012750379079150064,0.9302997163459895,False,0.004442773657769727,ok,0,0
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,24,0,71281,1.2949017,0.0002322563,0.001527158,0.018100000000019358,0.013051820502745528,1.0555555555629175,True,centered_finite_difference,0,0,0,12776,85,7.46570000000014,5.0,0.010081695085919943,0.9586560044893379,False,0.003605499438832772,ok,0,0
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,25,0,86634,1.5736400000000001,0.000290418,0.001864058,0.018099999999992254,0.015085735708550596,1.055555555574964,True,centered_finite_difference,0,0,0,15974,152,7.366600000000062,5.0,0.013046899522776751,0.8949822815786133,False,0.003924601479805617,ok,0,0
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,26,0,54788,0.9954156999999999,0.0001813653,0.001176781,0.018199999999972145,0.008822895364396498,1.0555555555629175,True,centered_finite_difference,0,0,0,27871,172,7.117199999999997,5.0,0.010526475751359973,0.9534378593461953,False,0.003833026082829868,ok,0,0
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,27,0,69464,1.2619027999999999,0.0002327652,0.001494668,0.018100000000100674,0.012816320201060874,1.0555555555629175,True,centered_finite_difference,0,0,0,12804,179,6.737500000000011,5.0,0.012305598413625756,0.918345018211134,False,0.004333242157695464,ok,0,0
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,28,0,97898,1.7781528000000002,0.0003218502,0.002100003,0.018000000000066574,0.015987945402816398,1.05555555558768,True,centered_finite_difference,0,0,0,17702,73,6.256800000000055,5.0,0.008747353089094191,0.9174949181282368,False,0.0031461638252449,ok,0,0
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,29,0,58445,1.0618184000000002,0.0001960146,0.001257833,0.018199999999917935,0.010205054053733158,1.0555555555629175,True,centered_finite_difference,0,0,0,25115,191,6.279100000000028,5.0,0.012009077969914793,0.94302238039833,False,0.004192047087810554,ok,0,0
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,30,0,96009,1.7437921,0.0003562109,0.002100003,0.018000000000066574,0.016141935664130903,1.05555555558768,True,centered_finite_difference,0,0,0,19591,118,8.177900000000008,5.0,0.009340393976558257,0.9000395800349971,False,0.003103908007666028,ok,0,0
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,31,0,98210,1.7838281,0.0003161749,0.002100003,0.018000000000066574,0.015962936987890728,1.05555555558768,True,centered_finite_difference,0,0,0,17390,149,7.656599999999855,5.0,0.009340393976516119,0.9426325489517254,False,0.003268539543219053,ok,0,0
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,32,0,77102,1.4006044,0.0002447796,0.001645384,0.018099999999992254,0.0138549635198221,1.0555555555629175,True,centered_finite_difference,0,0,0,13465,88,6.8127000000000635,5.0,0.010526475751359973,0.954734698642041,False,0.003203590096107703,ok,0,0
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,33,0,85493,1.5526019000000002,0.0005474011,0.002100003,0.018000000000066574,0.017087213620463348,1.05555555558768,True,centered_finite_difference,0,0,0,30107,1,5.120500000000013,5.0,0.007116490648726027,0.4824661956674309,False,0.0026201281991297433,ok,0,0
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,34,0,58744,1.0672522,0.0001911618,0.001258414,0.018199999999917935,0.010191019497127154,1.0555555555629175,True,centered_finite_difference,0,0,0,19500,49,6.866199999999935,5.0,0.009636914420142806,0.9460361234530071,False,0.0037791736887799396,ok,0,0
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,35,0,75500,1.3715165,0.0002383995,0.001609916,0.018099999999992254,0.013619004605909485,1.0555555555629175,True,centered_finite_difference,0,0,0,13114,89,6.751100000000122,5.0,0.00978517464237753,0.9538801838434946,False,0.003258321302268904,ok,0,0
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,36,0,80079,1.4546604,0.0002505276,0.001705188,0.018099999999992254,0.014200122593315895,1.0555555555629175,True,centered_finite_difference,0,0,0,13781,102,6.754499999999837,5.0,0.01022995530764901,0.9497240190813956,False,0.003234346512150653,ok,0,0
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,37,0,94618,1.71849,0.000381513,0.002100003,0.018000000000066574,0.016258257964917783,1.05555555558768,True,centered_finite_difference,0,0,0,20982,102,7.961400000000015,5.0,0.011564297304390484,0.8470253759895157,False,0.0028958855174017356,ok,0,0
P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,38,0,61166,1.1112265,0.0002058475,0.001317074,0.018199999999917935,0.011013237351193564,1.0555555555629175,True,centered_finite_difference,0,0,0,20755,162,5.956600000000037,5.0,0.013491680188553888,0.8956919807079212,False,0.004708575165535846,ok,0,0
P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,39,0,80694,1.4658343,0.0002470897,0.001712924,0.018099999999992254,0.014221933252118046,1.0555555555629175,True,centered_finite_difference,0,0,0,13592,129,6.472899999999925,5.0,0.009340393976600395,0.9360911107531013,False,0.0034079783872207007,ok,0,0
