experiment_name,population_row_index,has_keyhole,P,VX,LS,ST,log_h,prefix_tau,current_width_um,width_gain_so_far_um,median_positive_dWdt_so_far_um_per_ms,max_positive_dWdt_so_far_um_per_ms,normalized_slope_so_far_um_per_tau,latest_source_tau
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,2,0,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,19.981159287767515,1.0,270.06359999999995,270.06359999999995,634.737570880216,110178.65324022123,222.57686161370813,1.0
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,0,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,19.04999989622992,0.2,178.35332769230772,178.35332769230772,616.3687960382712,1385.378794351867,861.5083612631217,0.2
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,0,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,19.04999989622992,0.4,264.0601026519335,264.0601026519335,548.7996290974494,46881.77977375938,641.8025248775405,0.4
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,0,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,19.04999989622992,0.6,292.4206991111112,292.4206991111112,616.3687960382712,46881.77977375938,450.2592303184092,0.6
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,0,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,19.04999989622992,0.8,304.8062426666667,304.8062426666667,1385.378794351867,46881.77977375938,328.54850402273945,0.8
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,0,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,19.04999989622992,1.0,273.48779999999994,273.48779999999994,1822.4899214435131,46881.77977375938,229.84486783060947,1.0
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,19.613380183286644,0.2,171.63036795580115,171.63036795580115,6305.070643696397,33529.724671029435,828.5349817194837,0.2
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,19.613380183286644,0.4,262.88486165745877,262.88486165745877,15622.425682511743,33529.724671029435,642.7844762643654,0.4
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,19.613380183286644,0.6,291.3983773333334,291.3983773333334,21701.723588905406,119747.44412848564,455.4640845401696,0.6
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,19.613380183286644,0.8,304.5362186666715,304.5362186666715,21701.723588905406,119747.44412848564,331.7989351174028,0.8
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,19.613380183286644,1.0,282.5462000000001,282.5462000000001,18082.794195633713,174150.39090061391,236.98776423417993,1.0
