subset,prefix_tau,contrast,metric,mean_difference,ci_low,ci_high,repeat_blocks
full,0.6,h_plus_width_history - h_only,accuracy,-0.004714285714285699,-0.006571428571428561,-0.0028571428571428415,20
full,0.6,h_plus_width_history - h_only,balanced_accuracy,-0.01874999999999994,-0.022142857142857086,-0.015357142857142797,20
full,0.6,h_plus_width_history - h_only,keyhole_recall,-0.04214285714285711,-0.04928571428571422,-0.03499999999999999,20
full,0.6,h_plus_width_history - h_only,conduction_recall,0.004642857142857176,0.0030357142857143026,0.00625000000000005,20
full,0.6,h_plus_width_history - h_only,false_negative,2.95,2.45,3.4,20
full,0.6,h_plus_width_history - h_only,false_positive,-1.3,-1.7512499999999995,-0.85,20
full,0.6,h_plus_width_history - h_only,brier_score,0.002156589720733712,0.001366839590908655,0.0030071259012350417,20
full,0.8,h_plus_width_history - h_only,roc_auc,-0.0008520408163265325,-0.0017985331632653177,-3.82653061224425e-05,20
full,0.8,h_plus_width_history - h_only,pr_auc,0.004385897628014801,0.0015109207012455475,0.007382708649911556,20
full,0.8,h_plus_width_history - h_only,accuracy,-0.0010000000000000065,-0.0021428571428571573,0.00028571428571427804,20
full,0.8,h_plus_width_history - h_only,balanced_accuracy,-0.006785714285714267,-0.008928571428571407,-0.004553571428571407,20
full,0.8,h_plus_width_history - h_only,keyhole_recall,-0.01642857142857146,-0.02071428571428575,-0.01214285714285716,20
full,0.8,h_plus_width_history - h_only,conduction_recall,0.0028571428571428858,0.0016071428571428682,0.0042857142857143146,20
full,0.8,h_plus_width_history - h_only,false_negative,1.15,0.85,1.45,20
full,0.8,h_plus_width_history - h_only,false_positive,-0.8,-1.2,-0.45,20
full,0.8,h_plus_width_history - h_only,brier_score,0.0016006512936197932,0.0010958684606762956,0.0021551789091487773,20
full,1.0,h_plus_width_history - h_only,roc_auc,-0.001520408163265302,-0.002459247448979638,-0.00067346938775511,20
full,1.0,h_plus_width_history - h_only,pr_auc,0.0015490671775746923,-0.0013546790561079886,0.004647085944615593,20
full,1.0,h_plus_width_history - h_only,accuracy,-0.0012857142857142846,-0.0027142857142857025,0.0001428571428571279,20
full,1.0,h_plus_width_history - h_only,balanced_accuracy,-0.008839285714285688,-0.011874999999999969,-0.005892857142857122,20
full,1.0,h_plus_width_history - h_only,keyhole_recall,-0.021428571428571453,-0.027857142857142865,-0.015714285714285747,20
