model,subset,metric,mean,sd_across_repeats,repeat_blocks
h_only,full,roc_auc,0.9894005102040817,0.0009624910128306247,20
h_only,full,pr_auc,0.9534599676197875,0.007421439985962795,20
h_only,full,accuracy,0.9618571428571429,0.003502339252029287,20
h_only,full,balanced_accuracy,0.9292857142857143,0.005129891760425776,20
h_only,full,keyhole_recall,0.875,0.009123805337978635,20
h_only,full,conduction_recall,0.9835714285714285,0.0033583024712973753,20
h_only,full,false_negative,8.75,0.6386663736585051,20
h_only,full,false_positive,4.6,0.9403246919632545,20
h_only,full,brier_score,0.030483150088317618,0.0011431059276543558,20
h_only,q20,roc_auc,0.9059722124656769,0.005724951843192222,20
h_only,q20,pr_auc,0.8068738440677692,0.012210961621316047,20
h_only,q20,accuracy,0.8404932549669393,0.012001856236518834,20
h_only,q20,balanced_accuracy,0.8210206257647782,0.01339537507348094,20
h_only,q20,keyhole_recall,0.7305362108692196,0.024752666940398956,20
h_only,q20,conduction_recall,0.9115050406603368,0.012502341522014782,20
h_only,q20,false_negative,8.1,0.7181848464596079,20
h_only,q20,false_positive,4.1,0.5525062514530825,20
h_only,q20,brier_score,0.12155078443587823,0.005191681304161628,20
h_only,q30,roc_auc,0.9376700604159149,0.003172261137770497,20
h_only,q30,pr_auc,0.8379134467313708,0.016886307880538513,20
h_only,q30,accuracy,0.8811649591436674,0.010334994863331835,20
h_only,q30,balanced_accuracy,0.8530396947332781,0.012698665481784924,20
h_only,q30,keyhole_recall,0.7674867174867175,0.021283456468225027,20
h_only,q30,conduction_recall,0.9385926719798385,0.01166145304936366,20
h_only,q30,false_negative,8.7,0.7326950970650463,20
h_only,q30,false_positive,4.55,0.8870412083230169,20
h_only,q30,brier_score,0.09207419605533554,0.0029166989928679607,20
h_plus_width_dynamics,full,roc_auc,0.9899693877551021,0.003100155244102969,20
h_plus_width_dynamics,full,pr_auc,0.9625650324177186,0.0062846369106658,20
h_plus_width_dynamics,full,accuracy,0.9578571428571427,0.004623295981847579,20
h_plus_width_dynamics,full,balanced_accuracy,0.910982142857143,0.01099682297153318,20
h_plus_width_dynamics,full,keyhole_recall,0.832857142857143,0.021788949593369203,20
h_plus_width_dynamics,full,conduction_recall,0.989107142857143,0.001407265938665017,20
h_plus_width_dynamics,full,false_negative,11.7,1.5252264715358452,20
h_plus_width_dynamics,full,false_positive,3.05,0.39403446282620613,20
h_plus_width_dynamics,full,brier_score,0.03114783056092733,0.0017232838654159433,20
h_plus_width_dynamics,q20,roc_auc,0.9075931899336472,0.018476142564130046,20
h_plus_width_dynamics,q20,pr_auc,0.8270427706147334,0.018684866733904345,20
h_plus_width_dynamics,q20,accuracy,0.8294192412613466,0.018593656674126175,20
