experiment_name,has_keyhole,onset_available,first_keyhole_monitor_row_index,first_keyhole_time_s,first_keyhole_tau,peak_dWdt_tau,peak_minus_first_keyhole_ms,peak_precedes_first_observed_keyhole,robust_peak_dWdt_tau,robust_peak_minus_first_keyhole_ms,robust_peak_precedes_first_observed_keyhole,result_type,warning_threshold_fitted
P-358p08766286_VX-0p398145183006_LS-4p39068251559e-05_ST-301p093308231_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p21164861687e-05_H-3d091b92d3,1,True,36660.0,0.0006664087,0.1529706470311373,0.67,0.8750704220000001,False,0.0,-0.2589023,True,descriptive_peak_timing_not_learned_warning,False
P-360p567405001_VX-0p20359066256_LS-4p0817768449e-05_ST-337p353350673_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p36951957538e-05_H-a3855470b8,1,True,63898.0,0.001161072,0.2771010035714912,0.125,-0.1975550499999998,True,0.02,-0.33393337599999984,True,descriptive_peak_timing_not_learned_warning,False
P-363p673556898_VX-0p448546579177_LS-4p04529881073e-05_ST-391p93586396_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07550047798e-05_H-f55fc58583,1,True,31353.0,0.0005700294,0.1173319704242262,0.395,0.4812961844999999,False,0.0,-0.20337749999999996,True,descriptive_peak_timing_not_learned_warning,False
P-367p938083726_VX-0p695829187084_LS-4p35800266683e-05_ST-364p389584597_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p93290924348e-06_H-c87ffcf9e3,1,True,26688.0,0.0004853046,0.1878949370250485,0.185,-0.0038581644999999,True,0.005,-0.24374925849999995,True,descriptive_peak_timing_not_learned_warning,False
P-369p066732517_VX-0p471239257303_LS-5p48020687799e-05_ST-388p757421411_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p02370940626e-05_H-1553ff852f,1,True,38297.0,0.000696138,0.2072242370112461,0.595,0.6866819685000002,False,0.0,-0.36695729999999993,True,descriptive_peak_timing_not_learned_warning,False
P-370p938359136_VX-0p662619902131_LS-4p40125404953e-05_ST-395p513826563_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p28037384253e-06_H-3273b99318,1,True,26825.0,0.0004877966,0.1727439941108736,0.47,0.416240332,False,0.005,-0.234887822,True,descriptive_peak_timing_not_learned_warning,False
P-372p630059968_VX-0p727703112845_LS-4p39975555357e-05_ST-362p949632289_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p62924277478e-06_H-54d2aec398,1,True,25520.0,0.0004640588,0.1881348046081898,0.6950000000000001,0.6461077045,False,0.005,-0.2334443344999999,True,descriptive_peak_timing_not_learned_warning,False
P-373p935133861_VX-0p314504521571_LS-4p29297292387e-05_ST-349p298273812_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p53387956997e-05_H-c87ffcf9e3,1,True,42196.0,0.0007669469,0.1589169880955483,0.89,1.158714009,False,0.0,-0.251872,True,descriptive_peak_timing_not_learned_warning,False
P-374p135097027_VX-0p852003077267_LS-4p24872306812e-05_ST-324p485874926_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p66209293338e-06_H-c87ffcf9e3,1,True,21175.0,0.0003850237,0.1765314323968771,0.925,0.8137016450000001,False,0.005,-0.18648132299999987,True,descriptive_peak_timing_not_learned_warning,False
P-375p190327887_VX-0p471971299611_LS-7p58652830639e-05_ST-330p289975384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p02212160082e-05_H-1553ff852f,1,True,49494.0,0.0008994843,0.3314096833203488,0.745,0.7426414905000001,False,0.005,-0.5861002155,True,descriptive_peak_timing_not_learned_warning,False
