experiment_name,population_row_index,has_keyhole,profile_PC1,profile_PC2,PC1_explained_variance,PC2_explained_variance
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,8.51863759336705,3.1416644370531115,0.6432403823677133,0.28175850797184776
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,6.080533950964587,4.091711587582596,0.6432403823677133,0.28175850797184776
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,2,0,9.52675304270112,1.1900763659653826,0.6432403823677133,0.28175850797184776
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,0,8.37196904574283,-0.053345321660575575,0.6432403823677133,0.28175850797184776
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,8.429733286738392,2.544203191879286,0.6432403823677133,0.28175850797184776
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,0.6827827760118887,-12.990232688596668,0.6432403823677133,0.28175850797184776
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,5.572826918021677,3.6379183710442105,0.6432403823677133,0.28175850797184776
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,4.538641064960629,3.7457243953965116,0.6432403823677133,0.28175850797184776
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,0.9380424139415137,-0.7890327152467295,0.6432403823677133,0.28175850797184776
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,8.31267363046495,2.5882623105243936,0.6432403823677133,0.28175850797184776
