model,subset,prefix_tau,metric,mean,sd_across_repeats,repeat_blocks
h_only,full,0.2,roc_auc,0.9894005102040817,0.0009624910128306247,20
h_only,full,0.2,pr_auc,0.9534599676197875,0.007421439985962795,20
h_only,full,0.2,accuracy,0.9618571428571429,0.003502339252029287,20
h_only,full,0.2,balanced_accuracy,0.9292857142857143,0.005129891760425776,20
h_only,full,0.2,keyhole_recall,0.875,0.009123805337978635,20
h_only,full,0.2,conduction_recall,0.9835714285714285,0.0033583024712973753,20
h_only,full,0.2,false_negative,8.75,0.6386663736585051,20
h_only,full,0.2,false_positive,4.6,0.9403246919632545,20
h_only,full,0.2,brier_score,0.030483150088317618,0.0011431059276543554,20
h_only,full,0.4,roc_auc,0.9894005102040817,0.0009624910128306247,20
h_only,full,0.4,pr_auc,0.9534599676197875,0.007421439985962795,20
h_only,full,0.4,accuracy,0.9618571428571429,0.003502339252029287,20
h_only,full,0.4,balanced_accuracy,0.9292857142857143,0.005129891760425776,20
h_only,full,0.4,keyhole_recall,0.875,0.009123805337978635,20
h_only,full,0.4,conduction_recall,0.9835714285714285,0.0033583024712973753,20
h_only,full,0.4,false_negative,8.75,0.6386663736585051,20
h_only,full,0.4,false_positive,4.6,0.9403246919632545,20
h_only,full,0.4,brier_score,0.030483150088317618,0.0011431059276543554,20
h_only,full,0.6,roc_auc,0.9894005102040817,0.0009624910128306247,20
h_only,full,0.6,pr_auc,0.9534599676197875,0.007421439985962795,20
h_only,full,0.6,accuracy,0.9618571428571429,0.003502339252029287,20
h_only,full,0.6,balanced_accuracy,0.9292857142857143,0.005129891760425776,20
h_only,full,0.6,keyhole_recall,0.875,0.009123805337978635,20
h_only,full,0.6,conduction_recall,0.9835714285714285,0.0033583024712973753,20
h_only,full,0.6,false_negative,8.75,0.6386663736585051,20
h_only,full,0.6,false_positive,4.6,0.9403246919632545,20
h_only,full,0.6,brier_score,0.030483150088317618,0.0011431059276543554,20
h_only,full,0.8,roc_auc,0.9894005102040817,0.0009624910128306247,20
h_only,full,0.8,pr_auc,0.9534599676197875,0.007421439985962795,20
h_only,full,0.8,accuracy,0.9618571428571429,0.003502339252029287,20
h_only,full,0.8,balanced_accuracy,0.9292857142857143,0.005129891760425776,20
h_only,full,0.8,keyhole_recall,0.875,0.009123805337978635,20
h_only,full,0.8,conduction_recall,0.9835714285714285,0.0033583024712973753,20
h_only,full,0.8,false_negative,8.75,0.6386663736585051,20
h_only,full,0.8,false_positive,4.6,0.9403246919632545,20
h_only,full,0.8,brier_score,0.030483150088317618,0.0011431059276543554,20
h_only,full,1.0,roc_auc,0.9894005102040817,0.0009624910128306247,20
h_only,full,1.0,pr_auc,0.9534599676197875,0.007421439985962795,20
h_only,full,1.0,accuracy,0.9618571428571429,0.003502339252029287,20
h_only,full,1.0,balanced_accuracy,0.9292857142857143,0.005129891760425776,20
h_only,full,1.0,keyhole_recall,0.875,0.009123805337978635,20
h_only,full,1.0,conduction_recall,0.9835714285714285,0.0033583024712973753,20
h_only,full,1.0,false_negative,8.75,0.6386663736585051,20
h_only,full,1.0,false_positive,4.6,0.9403246919632545,20
h_only,full,1.0,brier_score,0.030483150088317618,0.0011431059276543554,20
h_only,q20,0.2,roc_auc,0.9059722124656769,0.005724951843192222,20
h_only,q20,0.2,pr_auc,0.8068738440677692,0.012210961621316047,20
h_only,q20,0.2,accuracy,0.8404932549669393,0.012001856236518834,20
h_only,q20,0.2,balanced_accuracy,0.8210206257647782,0.01339537507348094,20
h_only,q20,0.2,keyhole_recall,0.7305362108692196,0.024752666940398956,20
h_only,q20,0.2,conduction_recall,0.9115050406603368,0.012502341522014782,20
h_only,q20,0.2,false_negative,8.1,0.7181848464596079,20
h_only,q20,0.2,false_positive,4.1,0.5525062514530825,20
h_only,q20,0.2,brier_score,0.12155078443587823,0.005191681304161625,20
h_only,q20,0.4,roc_auc,0.9059722124656769,0.005724951843192222,20
h_only,q20,0.4,pr_auc,0.8068738440677692,0.012210961621316047,20
h_only,q20,0.4,accuracy,0.8404932549669393,0.012001856236518834,20
h_only,q20,0.4,balanced_accuracy,0.8210206257647782,0.01339537507348094,20
h_only,q20,0.4,keyhole_recall,0.7305362108692196,0.024752666940398956,20
h_only,q20,0.4,conduction_recall,0.9115050406603368,0.012502341522014782,20
h_only,q20,0.4,false_negative,8.1,0.7181848464596079,20
h_only,q20,0.4,false_positive,4.1,0.5525062514530825,20
h_only,q20,0.4,brier_score,0.12155078443587823,0.005191681304161625,20
h_only,q20,0.6,roc_auc,0.9059722124656769,0.005724951843192222,20
h_only,q20,0.6,pr_auc,0.8068738440677692,0.012210961621316047,20
h_only,q20,0.6,accuracy,0.8404932549669393,0.012001856236518834,20
h_only,q20,0.6,balanced_accuracy,0.8210206257647782,0.01339537507348094,20
h_only,q20,0.6,keyhole_recall,0.7305362108692196,0.024752666940398956,20
h_only,q20,0.6,conduction_recall,0.9115050406603368,0.012502341522014782,20
h_only,q20,0.6,false_negative,8.1,0.7181848464596079,20
h_only,q20,0.6,false_positive,4.1,0.5525062514530825,20
h_only,q20,0.6,brier_score,0.12155078443587823,0.005191681304161625,20
h_only,q20,0.8,roc_auc,0.9059722124656769,0.005724951843192222,20
h_only,q20,0.8,pr_auc,0.8068738440677692,0.012210961621316047,20
h_only,q20,0.8,accuracy,0.8404932549669393,0.012001856236518834,20
h_only,q20,0.8,balanced_accuracy,0.8210206257647782,0.01339537507348094,20
h_only,q20,0.8,keyhole_recall,0.7305362108692196,0.024752666940398956,20
h_only,q20,0.8,conduction_recall,0.9115050406603368,0.012502341522014782,20
h_only,q20,0.8,false_negative,8.1,0.7181848464596079,20
h_only,q20,0.8,false_positive,4.1,0.5525062514530825,20
h_only,q20,0.8,brier_score,0.12155078443587823,0.005191681304161625,20
h_only,q20,1.0,roc_auc,0.9059722124656769,0.005724951843192222,20
h_only,q20,1.0,pr_auc,0.8068738440677692,0.012210961621316047,20
h_only,q20,1.0,accuracy,0.8404932549669393,0.012001856236518834,20
h_only,q20,1.0,balanced_accuracy,0.8210206257647782,0.01339537507348094,20
h_only,q20,1.0,keyhole_recall,0.7305362108692196,0.024752666940398956,20
h_only,q20,1.0,conduction_recall,0.9115050406603368,0.012502341522014782,20
h_only,q20,1.0,false_negative,8.1,0.7181848464596079,20
h_only,q20,1.0,false_positive,4.1,0.5525062514530825,20
h_only,q20,1.0,brier_score,0.12155078443587823,0.005191681304161625,20
h_only,q30,0.2,roc_auc,0.9376700604159149,0.003172261137770497,20
h_only,q30,0.2,pr_auc,0.8379134467313708,0.016886307880538513,20
h_only,q30,0.2,accuracy,0.8811649591436674,0.010334994863331835,20
h_only,q30,0.2,balanced_accuracy,0.8530396947332781,0.012698665481784924,20
h_only,q30,0.2,keyhole_recall,0.7674867174867175,0.021283456468225027,20
h_only,q30,0.2,conduction_recall,0.9385926719798385,0.01166145304936366,20
h_only,q30,0.2,false_negative,8.7,0.7326950970650463,20
h_only,q30,0.2,false_positive,4.55,0.8870412083230169,20
h_only,q30,0.2,brier_score,0.09207419605533555,0.002916698992867961,20
h_only,q30,0.4,roc_auc,0.9376700604159149,0.003172261137770497,20
h_only,q30,0.4,pr_auc,0.8379134467313708,0.016886307880538513,20
h_only,q30,0.4,accuracy,0.8811649591436674,0.010334994863331835,20
h_only,q30,0.4,balanced_accuracy,0.8530396947332781,0.012698665481784924,20
h_only,q30,0.4,keyhole_recall,0.7674867174867175,0.021283456468225027,20
h_only,q30,0.4,conduction_recall,0.9385926719798385,0.01166145304936366,20
h_only,q30,0.4,false_negative,8.7,0.7326950970650463,20
h_only,q30,0.4,false_positive,4.55,0.8870412083230169,20
h_only,q30,0.4,brier_score,0.09207419605533555,0.002916698992867961,20
h_only,q30,0.6,roc_auc,0.9376700604159149,0.003172261137770497,20
h_only,q30,0.6,pr_auc,0.8379134467313708,0.016886307880538513,20
h_only,q30,0.6,accuracy,0.8811649591436674,0.010334994863331835,20
h_only,q30,0.6,balanced_accuracy,0.8530396947332781,0.012698665481784924,20
h_only,q30,0.6,keyhole_recall,0.7674867174867175,0.021283456468225027,20
h_only,q30,0.6,conduction_recall,0.9385926719798385,0.01166145304936366,20
h_only,q30,0.6,false_negative,8.7,0.7326950970650463,20
h_only,q30,0.6,false_positive,4.55,0.8870412083230169,20
h_only,q30,0.6,brier_score,0.09207419605533555,0.002916698992867961,20
h_only,q30,0.8,roc_auc,0.9376700604159149,0.003172261137770497,20
h_only,q30,0.8,pr_auc,0.8379134467313708,0.016886307880538513,20
h_only,q30,0.8,accuracy,0.8811649591436674,0.010334994863331835,20
h_only,q30,0.8,balanced_accuracy,0.8530396947332781,0.012698665481784924,20
h_only,q30,0.8,keyhole_recall,0.7674867174867175,0.021283456468225027,20
h_only,q30,0.8,conduction_recall,0.9385926719798385,0.01166145304936366,20
h_only,q30,0.8,false_negative,8.7,0.7326950970650463,20
h_only,q30,0.8,false_positive,4.55,0.8870412083230169,20
h_only,q30,0.8,brier_score,0.09207419605533555,0.002916698992867961,20
h_only,q30,1.0,roc_auc,0.9376700604159149,0.003172261137770497,20
h_only,q30,1.0,pr_auc,0.8379134467313708,0.016886307880538513,20
h_only,q30,1.0,accuracy,0.8811649591436674,0.010334994863331835,20
h_only,q30,1.0,balanced_accuracy,0.8530396947332781,0.012698665481784924,20
h_only,q30,1.0,keyhole_recall,0.7674867174867175,0.021283456468225027,20
h_only,q30,1.0,conduction_recall,0.9385926719798385,0.01166145304936366,20
h_only,q30,1.0,false_negative,8.7,0.7326950970650463,20
h_only,q30,1.0,false_positive,4.55,0.8870412083230169,20
h_only,q30,1.0,brier_score,0.09207419605533555,0.002916698992867961,20
h_plus_width_history,full,0.2,roc_auc,0.9912372448979591,0.001030545110595382,20
h_plus_width_history,full,0.2,pr_auc,0.9617269574281522,0.004094191199458591,20
h_plus_width_history,full,0.2,accuracy,0.958142857142857,0.002322079145392121,20
h_plus_width_history,full,0.2,balanced_accuracy,0.9210714285714288,0.004472736362595116,20
h_plus_width_history,full,0.2,keyhole_recall,0.8592857142857143,0.008387756408748582,20
h_plus_width_history,full,0.2,conduction_recall,0.9828571428571429,0.001465683360121689,20
h_plus_width_history,full,0.2,false_negative,9.85,0.5871429486123998,20
h_plus_width_history,full,0.2,false_positive,4.8,0.41039134083406165,20
h_plus_width_history,full,0.2,brier_score,0.03059293077101896,0.0011216254584069311,20
h_plus_width_history,full,0.4,roc_auc,0.9910127551020409,0.0008364325448017597,20
h_plus_width_history,full,0.4,pr_auc,0.9625998357352479,0.003244071205634298,20
h_plus_width_history,full,0.4,accuracy,0.9570000000000001,0.002358794135662553,20
h_plus_width_history,full,0.4,balanced_accuracy,0.9158035714285715,0.004346182133862888,20
h_plus_width_history,full,0.4,keyhole_recall,0.8471428571428572,0.008160579579678248,20
h_plus_width_history,full,0.4,conduction_recall,0.9844642857142858,0.001747716017605737,20
h_plus_width_history,full,0.4,false_negative,10.7,0.5712405705774795,20
h_plus_width_history,full,0.4,false_positive,4.35,0.4893604849295929,20
h_plus_width_history,full,0.4,brier_score,0.0310426482976738,0.0009796813091939953,20
h_plus_width_history,full,0.6,roc_auc,0.9906887755102041,0.000811360431495903,20
h_plus_width_history,full,0.6,pr_auc,0.9604342860307729,0.003014981544318381,20
h_plus_width_history,full,0.6,accuracy,0.9532857142857143,0.0019166296949998426,20
h_plus_width_history,full,0.6,balanced_accuracy,0.9089285714285713,0.003754696307413189,20
h_plus_width_history,full,0.6,keyhole_recall,0.8350000000000002,0.007291682650486266,20
h_plus_width_history,full,0.6,conduction_recall,0.9828571428571429,0.001465683360121689,20
h_plus_width_history,full,0.6,false_negative,11.55,0.5104177855340405,20
h_plus_width_history,full,0.6,false_positive,4.8,0.41039134083406165,20
h_plus_width_history,full,0.6,brier_score,0.031887530199185894,0.0009919519115400963,20
h_plus_width_history,full,0.8,roc_auc,0.9905816326530612,0.000786825974328492,20
h_plus_width_history,full,0.8,pr_auc,0.9603955529448756,0.002799328371504838,20
h_plus_width_history,full,0.8,accuracy,0.9505714285714288,0.0022894705976743584,20
h_plus_width_history,full,0.8,balanced_accuracy,0.9026785714285713,0.005000671276098926,20
h_plus_width_history,full,0.8,keyhole_recall,0.822857142857143,0.009722243533981741,20
h_plus_width_history,full,0.8,conduction_recall,0.9825000000000002,0.0010992625200912667,20
h_plus_width_history,full,0.8,false_negative,12.4,0.6805570473787206,20
h_plus_width_history,full,0.8,false_positive,4.9,0.30779350562554625,20
h_plus_width_history,full,0.8,brier_score,0.03229257658322401,0.0009317198143834487,20
h_plus_width_history,full,1.0,roc_auc,0.9909744897959186,0.0006808782655666793,20
h_plus_width_history,full,1.0,pr_auc,0.9621267132497111,0.0022881341523012695,20
h_plus_width_history,full,1.0,accuracy,0.9525714285714286,0.0021541058140715813,20
h_plus_width_history,full,1.0,balanced_accuracy,0.9068750000000001,0.0043073934764179134,20
h_plus_width_history,full,1.0,keyhole_recall,0.8307142857142858,0.008387756408748562,20
h_plus_width_history,full,1.0,conduction_recall,0.9830357142857142,0.0015866487797118983,20
h_plus_width_history,full,1.0,false_negative,11.85,0.5871429486123998,20
h_plus_width_history,full,1.0,false_positive,4.75,0.4442616583193193,20
h_plus_width_history,full,1.0,brier_score,0.031687912508924054,0.0008126813313220635,20
h_plus_width_history,q20,0.2,roc_auc,0.9199272047763992,0.006128783493281865,20
h_plus_width_history,q20,0.2,pr_auc,0.8218174687683459,0.010814958018317906,20
h_plus_width_history,q20,0.2,accuracy,0.8346484418852841,0.01402248014644094,20
h_plus_width_history,q20,0.2,balanced_accuracy,0.8149183731158169,0.014809981736415994,20
h_plus_width_history,q20,0.2,keyhole_recall,0.723800552200858,0.026314516865431146,20
h_plus_width_history,q20,0.2,conduction_recall,0.906036194030776,0.01552315211763361,20
h_plus_width_history,q20,0.2,false_negative,8.3,0.7326950970650465,20
h_plus_width_history,q20,0.2,false_positive,4.35,0.670820393249937,20
h_plus_width_history,q20,0.2,brier_score,0.11524178974058943,0.005160320139519775,20
h_plus_width_history,q20,0.4,roc_auc,0.9183802123595056,0.0059769762657339515,20
h_plus_width_history,q20,0.4,pr_auc,0.8264211337305006,0.013480431221320758,20
h_plus_width_history,q20,0.4,accuracy,0.830735942578048,0.014039250482448919,20
h_plus_width_history,q20,0.4,balanced_accuracy,0.8073133630127056,0.014067743708696411,20
h_plus_width_history,q20,0.4,keyhole_recall,0.6989791732877799,0.026121826636387447,20
h_plus_width_history,q20,0.4,conduction_recall,0.9156475527376313,0.015322179825089387,20
h_plus_width_history,q20,0.4,false_negative,9.05,0.7591546545162482,20
h_plus_width_history,q20,0.4,false_positive,3.9,0.6407232755171874,20
h_plus_width_history,q20,0.4,brier_score,0.11740031913982563,0.004815210581485306,20
h_plus_width_history,q20,0.6,roc_auc,0.9134181113401736,0.006701165675686243,20
h_plus_width_history,q20,0.6,pr_auc,0.8175886173454334,0.011753083787654127,20
h_plus_width_history,q20,0.6,accuracy,0.8163807446702183,0.012950956901360241,20
h_plus_width_history,q20,0.6,balanced_accuracy,0.7915773951552963,0.015633725992237293,20
h_plus_width_history,q20,0.6,keyhole_recall,0.6770491518353727,0.030473766713346742,20
h_plus_width_history,q20,0.6,conduction_recall,0.9061056384752202,0.011442950758287194,20
h_plus_width_history,q20,0.6,false_negative,9.7,0.8013147091860318,20
h_plus_width_history,q20,0.6,false_positive,4.35,0.4893604849295929,20
h_plus_width_history,q20,0.6,brier_score,0.12045663180113128,0.005345043314900875,20
h_plus_width_history,q20,0.8,roc_auc,0.91282315531442,0.007011977039718889,20
h_plus_width_history,q20,0.8,pr_auc,0.8220954116324017,0.014037273122265397,20
h_plus_width_history,q20,0.8,accuracy,0.8052372118161593,0.014903804320233699,20
h_plus_width_history,q20,0.8,balanced_accuracy,0.7781232892349463,0.016589759420594243,20
h_plus_width_history,q20,0.8,keyhole_recall,0.6523390076275227,0.03037881308496625,20
h_plus_width_history,q20,0.8,conduction_recall,0.9039075708423701,0.012212068204297823,20
h_plus_width_history,q20,0.8,false_negative,10.45,0.8870412083230168,20
h_plus_width_history,q20,0.8,false_positive,4.45,0.5104177855340405,20
h_plus_width_history,q20,0.8,brier_score,0.12206552648366306,0.00548386208868375,20
h_plus_width_history,q20,1.0,roc_auc,0.9145772471925888,0.0065625609871580145,20
h_plus_width_history,q20,1.0,pr_auc,0.8253238581786301,0.015784334806569187,20
h_plus_width_history,q20,1.0,accuracy,0.8104493242651138,0.01366432044854004,20
h_plus_width_history,q20,1.0,balanced_accuracy,0.7838788086526568,0.013837107065698066,20
h_plus_width_history,q20,1.0,keyhole_recall,0.6606797566078711,0.024331839041910587,20
h_plus_width_history,q20,1.0,conduction_recall,0.9070778606974423,0.013803936110510005,20
h_plus_width_history,q20,1.0,false_negative,10.2,0.6958523739384593,20
h_plus_width_history,q20,1.0,false_positive,4.3,0.5712405705774795,20
h_plus_width_history,q20,1.0,brier_score,0.12087061289460177,0.005242627772018605,20
h_plus_width_history,q30,0.2,roc_auc,0.9497754155006319,0.0047000966096113475,20
h_plus_width_history,q30,0.2,pr_auc,0.8563266426084267,0.015084840126487944,20
h_plus_width_history,q30,0.2,accuracy,0.878003760291097,0.007644337954769449,20
h_plus_width_history,q30,0.2,balanced_accuracy,0.8500547513641422,0.00887100431707038,20
h_plus_width_history,q30,0.2,keyhole_recall,0.7649975380238538,0.015565171840726326,20
h_plus_width_history,q30,0.2,conduction_recall,0.9351119647044305,0.006130778641844428,20
h_plus_width_history,q30,0.2,false_negative,8.8,0.6155870112510925,20
h_plus_width_history,q30,0.2,false_positive,4.8,0.41039134083406165,20
h_plus_width_history,q30,0.2,brier_score,0.08699708845744009,0.003245311140524692,20
h_plus_width_history,q30,0.4,roc_auc,0.9477454218888068,0.003946861229070658,20
h_plus_width_history,q30,0.4,pr_auc,0.8604651337228951,0.013860582605987081,20
h_plus_width_history,q30,0.4,accuracy,0.8744444051934716,0.008068134417244,20
h_plus_width_history,q30,0.4,balanced_accuracy,0.8417034559724718,0.010745508596229567,20
h_plus_width_history,q30,0.4,keyhole_recall,0.7421570862360336,0.01924900424143762,20
h_plus_width_history,q30,0.4,conduction_recall,0.9412498257089101,0.006564143979033369,20
h_plus_width_history,q30,0.4,false_negative,9.65,0.6708203932499369,20
h_plus_width_history,q30,0.4,false_positive,4.35,0.4893604849295929,20
h_plus_width_history,q30,0.4,brier_score,0.08910002055972058,0.0025414120259158466,20
h_plus_width_history,q30,0.6,roc_auc,0.9442222945173558,0.0034414742784083124,20
h_plus_width_history,q30,0.6,pr_auc,0.8511714652534291,0.012004170317061398,20
h_plus_width_history,q30,0.6,accuracy,0.8627639216282456,0.006776908330456472,20
h_plus_width_history,q30,0.6,balanced_accuracy,0.8272890159931435,0.009100392344434015,20
h_plus_width_history,q30,0.6,keyhole_recall,0.7194570582728478,0.017649315948580522,20
h_plus_width_history,q30,0.6,conduction_recall,0.9351209737134394,0.006043650489601421,20
h_plus_width_history,q30,0.6,false_negative,10.5,0.6069769786668839,20
h_plus_width_history,q30,0.6,false_positive,4.8,0.41039134083406165,20
h_plus_width_history,q30,0.6,brier_score,0.09168905975435124,0.0025951345555717434,20
h_plus_width_history,q30,0.8,roc_auc,0.9435400139546678,0.003565513197698681,20
h_plus_width_history,q30,0.8,pr_auc,0.8535589577901035,0.012908944600753638,20
