experiment_name,population_row_index,has_keyhole,P,VX,LS,ST,log_h,W_initial_um,W_max_um,W_T0_um,max_positive_dWdt_um_per_ms,median_positive_dWdt_um_per_ms,time_of_max_dWdt_tau,early_dWdt_20_um_per_ms,early_dWdt_40_um_per_ms,width_gain_20_um,width_gain_40_um,time_to_50pct_max_width_tau,robust_max_positive_dWdt_um_per_ms,robust_median_positive_dWdt_um_per_ms,robust_early_dWdt_20_um_per_ms,robust_early_dWdt_40_um_per_ms,robust_time_of_max_dWdt_tau,L_initial_um,L_max_um,L_T0_um,L_max_positive_dWdt_um_per_ms,L_median_positive_dWdt_um_per_ms,L_time_of_max_dWdt_tau,L_early_dWdt_20_um_per_ms,L_early_dWdt_40_um_per_ms,L_gain_20_um,L_gain_40_um,L_time_to_50pct_max_tau,L_robust_max_positive_dWdt_um_per_ms,L_robust_median_positive_dWdt_um_per_ms,L_robust_early_dWdt_20_um_per_ms,L_robust_early_dWdt_40_um_per_ms,L_robust_time_of_max_dWdt_tau
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,10,0,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,19.728199158127982,4.0,119.12147010989011,111.56248662894733,122995.83956988598,205.59862173177726,0.04,0.0,3.0381152069611828,115.12147010989011,107.37638010989014,0.025,3582.9958003719616,23.66978986206458,297.1826115569303,11.581793024641366,0.0,0.0,314.66087257894736,310.4591554166666,82516.97183287443,25706.06959890073,0.23500000000000001,-1465.972439402017,-1669.1620430787218,167.31668461538462,265.5572131868133,0.18,1758.733833388363,327.4985732486698,815.8447921380676,652.7760842122043,0.0
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,0,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,19.881064272586734,4.0,144.82739125833334,143.99594770888876,2020.1327134454152,192.09663227233114,0.055,-75.52397890872804,-42.44274627792689,139.2736037912088,139.19099160000002,0.035,1991.8645834424951,10.695107094988742,254.41737966136438,8.602979250274892,0.005,0.0,318.8423192,308.63668640000003,140905.06334214407,2338.32776714673,0.47500000000000003,-482.8086696487978,-865.0269034495577,173.35891571428576,272.23478522222206,0.17500000000000002,959.0271370780744,236.96727747726032,471.3120299564557,389.30553740293334,0.0
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,0,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,20.62458540354386,0.0,175.0673049527778,172.06932038421047,456452.90520001756,214.16286651271963,0.04,-746.484832762782,-103.95473137595813,114.11695233333334,152.49436605555556,0.13,1257.5035895436795,95.2987233186273,381.58988650780054,228.60072102447143,0.02,0.0,204.6148543472223,192.62236119444447,80222.49249240401,306.9444444463144,0.84,78.54196301539885,84.16017883262316,74.65893666666666,124.20427555555554,0.305,590.5847458857439,150.02858386989521,284.80425916460393,226.87410420760347,0.015
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,13,0,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,19.84062092917375,4.0,148.42980054143646,144.0928276888889,209492.7759324065,199.67930529936473,0.01,-67.3757488885248,26.98728861988118,139.06172725274723,138.732600989011,0.04,2353.3332538947643,13.168521126574651,227.3491340634295,10.405757151100733,0.0,0.0,331.41344547368413,320.6183000000001,184818.61110977418,5333.887547331111,0.5750000000000001,-679.9178843147815,-1124.2270923961973,173.94249505494506,278.52270659340655,0.185,1176.7609662633336,254.52180424311732,502.4108991072844,431.51268397200266,0.0
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,14,0,131.192514944,0.432823544687,6.72236683266e-05,324.578264519,19.706606147998375,4.0,176.3777791863158,175.83549440000004,936.7966731618778,156.3995416465279,0.36,-309.3029707864335,-169.47523055904244,162.77073193370165,170.4563904888889,0.05,1979.3510601150294,22.758523075508556,322.37638471966926,76.29431111056587,0.005,0.0,338.63106475,332.56077663157885,58066.01396456553,741.2716050500237,0.62,-237.9619844429016,-756.2160493861114,157.08264419889505,252.04591644444432,0.225,809.9107538556013,219.43168629983097,453.63809304171565,357.0146531689633,0.005
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,15,0,132.334528879,0.441351904611,8.05471929698e-05,380.80221881,19.43429034824653,4.0,191.44158416277781,190.60433283083333,39924.317718992366,154.25129129073554,0.075,-205.39259685473843,-152.58641576029623,175.47235096132596,180.86577703333336,0.05,2747.4218497755764,24.95783732599444,371.5615014429261,93.72450981605016,0.0,0.0,355.16225529166684,348.6754334166666,54607.1076968122,11723.31670531034,0.625,-836.1310144718095,-912.5399165538782,165.2987459668508,267.62627933333334,0.23,857.0015032741494,218.98981077408897,459.8668844113828,375.5271200784752,0.0
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,16,0,132.644034819,0.797235702485,4.6520297442e-05,303.62522115,19.96440431836706,4.0,119.82830796813187,114.67432876666673,14181.935832064775,202.40814758134977,0.05,13.502365999996606,44.399461115653814,115.37051909890111,106.99287914285712,0.025,3309.2447696952427,28.521264559538555,191.15237434919982,13.648707742317393,0.0,0.0,315.7956369249998,311.83150258888867,131224.15617964833,7090.443879979877,0.655,-1126.613524684338,-1504.2741143594885,167.19444912087897,270.55335714285707,0.185,1127.8495208886247,329.53419322525764,715.0584169040216,576.7622141075358,0.0
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,17,0,140.236446589,0.550532928497,7.91865165046e-05,370.758962256,19.407320936404485,4.0,179.09745981236264,175.7649959431579,828.6977949023056,146.955371819539,0.8200000000000001,-129.88763417243007,-46.44792307880543,170.62068076923077,170.81837474033154,0.035,2846.9566551424273,18.244308802262225,276.79839300577424,34.00285397541121,0.0,0.0,364.51654654999976,348.69862546666644,79661.59223136307,1991.7490459334583,0.305,-1145.7490037438902,-1172.500743092039,185.6129507692307,299.638391270718,0.195,1145.6990159579423,285.87293967650123,543.3983144180628,433.32518287557804,0.0
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,18,0,143.707582907,0.952433280409,8.80948922839e-05,329.530804101,18.997792175902806,4.0,151.41723906730772,134.38886645138888,211601.29417556216,246.91301601799557,0.125,-1323.558311194884,-241.09681801693654,142.3544824640884,139.09827548066298,0.025,4804.369476155283,43.35699667393423,437.4841722583645,31.40695423877815,0.0,0.0,385.7216023999997,377.4608451999996,141622.11431750527,8584.85094928843,0.8,-1099.6830847728554,-1228.3407046252769,185.08230740331487,296.82583823204413,0.215,1936.1592147624206,368.3039409932579,930.1964477087311,718.9870481976044,0.0
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,19,0,144.087720513,0.415546267467,5.02923295381e-05,327.07537462,20.255989923062774,4.0,166.98377405000002,165.45049808444443,18431.990518066745,163.59061728543492,0.295,-116.25810776531735,-13.548028641587932,148.315155,155.1225712444444,0.055,2037.0174431637208,18.12814387839776,333.37881449927175,56.4248616175379,0.0,0.0,314.31533719999993,310.4411574222223,103291.53180402142,532.7966525374642,0.425,-120.7467085059105,-298.33927061958053,145.45086615384614,233.05164044444442,0.225,810.3197842289787,210.96824016147406,424.545701389367,322.3277123321768,0.005
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,20,0,148.299467422,0.674162518859,5.7557139752e-05,331.520012414,19.8404742466899,4.0,149.42541493626373,140.8895668888889,41405.2606570613,210.39114377525073,0.09,-16.379422774678492,2.0738854314380912,143.98647030769231,139.31997251648352,0.03,3495.209695413204,24.147984635912273,266.06610733823464,13.182864431349103,0.0,0.0,363.8839702315788,356.99762326666695,74152.22901189126,928.976320009537,0.73,-919.7910880328782,-1122.8418070708171,178.6669323076923,292.1493305494506,0.21,1245.3295438811185,325.2504324344398,626.4911072873477,503.0077256705012,0.005
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,21,0,150.071418192,0.423845414489,8.67749479825e-05,322.128190627,19.468593434919327,4.0,206.08098622222218,204.73160458333325,70059.12362597123,151.78881173007485,0.06,-190.78010989345762,-135.79889453039078,185.34942094505493,196.59493777777777,0.045,2703.856996415844,32.266964900811,365.888537466912,134.81667950155796,0.0,0.0,381.14801945263173,377.13136915000007,6988.634644933051,560.3861920077507,0.725,-590.8770971207583,-762.2141862847313,163.28158747252746,269.09339144444436,0.255,825.8335857679484,244.54226192051237,464.69415426566155,367.0904136135411,0.005
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,22,0,155.252053768,0.916931554055,7.35634948929e-05,366.816583574,19.364453647708604,4.0,151.78435114285716,143.0747274666666,709.8552776551101,150.4707258126623,0.375,-311.3115647855694,-74.08284023601686,147.40011857142855,139.17870005494507,0.025,4685.984468937878,18.880276859365416,425.3342980221911,15.298861502976106,0.0,0.0,394.14888155555536,391.255908444444,150426.43243965306,2222.537047722575,0.005,-1202.5793548251738,-1459.7321479812647,185.3305714285713,306.9393472527471,0.22,1546.8107416647365,386.6374519495511,868.3420055573407,733.3137778258869,0.0
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,23,0,155.610380822,0.863747905944,4.82199969556e-05,303.817651114,20.030197610973932,4.0,126.38790939560438,119.32717569444446,110827.93337368795,222.3207626721777,0.01,-77.21284449670252,4.18518782374771,118.6799321978022,114.88469736263735,0.02,3756.377149736651,14.972761189480268,253.78721761903927,1.8807641504051336,0.0,0.0,346.5563133333333,341.9800639473684,152455.83520718614,12182.892435818087,0.135,-775.0149261123353,-1447.6639529105041,174.15918736263734,285.10767142857156,0.2,1470.176216975687,393.2375733308672,833.1318939426844,670.0939672799005,0.0
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,24,0,157.183722649,0.714259673467,7.38607203139e-05,347.368293375,19.49566377060797,4.0,167.50338935497237,159.48487430000003,51593.46867309793,176.03894397372397,0.005,-216.3000033606564,-146.4632067976964,160.02525240883975,154.98685182417583,0.03,3146.37421469951,20.284722266687837,404.0039193963479,25.48808534570346,0.0,0.0,390.3106230833333,384.31884181666646,90751.44181658594,10855.209967986057,0.555,-881.8681318674718,-1022.1073844964451,183.9132763535911,311.04529395604385,0.21,1142.265590041007,346.8869310001202,735.4786938568617,563.6713509245858,0.0
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,25,0,160.605564338,0.585171267024,4.89218084001e-05,323.833105745,20.234807725350827,4.0,144.12147309392265,142.03561077777772,3051.3313609457546,190.7391975305831,0.095,-154.83389036833825,-19.870242407882905,139.25769879120875,138.6637230769231,0.025,3026.6495073645974,20.885234679947374,221.96815792412067,11.530717550917492,0.0,0.0,359.20947222222236,351.76802210526296,34316.20706413852,260.4101908459617,0.23500000000000001,-509.40721759399173,-1279.6829823480928,175.48114615384603,287.446873076923,0.215,1086.328756650429,272.7553958780378,547.6045075713844,449.6905857990673,0.0
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,26,0,162.142815649,0.926926325143,6.49234891537e-05,377.454931887,19.589869728553882,4.0,150.430288,135.20079181777777,55157.65373363674,143.08537037005797,0.09,-157.21379513413683,-39.72477596326254,143.16897263736263,134.945263010989,0.025,4452.121100684946,21.710679438867025,410.38221425625215,0.9276858152482744,0.0,0.0,403.33222271944476,399.2139311805554,60670.992860437604,7687.5775872632585,0.095,-1138.3983667423558,-1556.6438642580106,180.7737006593407,304.4033964835165,0.23,1960.867593771664,441.26888706613965,898.7035063030148,759.1393457313402,0.0
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,27,0,163.562272254,0.729793018519,5.10150522361e-05,318.261957537,20.07977568889144,4.0,137.99341268397788,132.56066993333332,4655.822460226012,213.99408284007373,0.41500000000000004,-207.25866441234413,-49.46944901708721,133.61863717127073,128.66732509890113,0.025,3670.1539287501964,24.46444730089339,310.72257058635944,5.740227510501314,0.0,0.0,367.2577247999999,362.1547353333334,106689.28821338862,1689.1475308713573,0.62,-1060.6760860103277,-1194.9966401773722,178.47164375690613,296.86769494505506,0.215,1342.831239536755,327.1620724503715,690.1044833513561,567.3685717989076,0.0
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,28,0,164.187091551,0.507792014735,6.92164167976e-05,301.020288893,19.807256977046084,4.0,182.23401504000023,181.31082523333333,29135.910518054985,172.20277777813914,0.035,-76.96321391616397,-101.60213534984408,176.58075039779007,173.4479893263158,0.035,2554.6780803979495,23.29601770505826,287.18718565136976,46.51795989105635,0.0,0.0,385.5292643555552,379.899084133333,148927.17162348228,548.9806546600225,0.2,-306.547518415377,-727.671778770568,185.1869445304084,305.4658069473683,0.21,1046.784352544127,266.04267308895425,510.41781006888726,395.02880460349314,0.0
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,29,0,164.607131174,0.867199563125,5.32762751968e-05,314.058214573,19.934833853824976,4.0,135.72964942857143,127.20670200888884,228515.75247976882,163.73157407385486,0.04,-20.047941069906432,-20.047941069906432,130.99254769230768,123.13584543646405,0.025,4288.560850160229,23.099642772519847,304.0764119781115,3.4062828956108624,0.0,0.0,373.19547253333315,368.38735439999994,158707.50044351115,2807.5649435875057,0.655,-788.3011025322608,-1433.6303285296578,178.6024948351648,301.312720552486,0.215,1638.1831290651842,394.75835647341756,823.4638800352013,698.2886458818458,0.0
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,30,0,166.111836501,0.454755470987,7.13150844087e-05,303.391516497,19.82926302640283,4.0,192.47446227666666,191.67893936000002,1663.8951172691054,153.92524201034828,0.12,-121.20548178931236,-78.25699116830143,180.09693975824175,183.20065645555556,0.045,2743.10005617787,25.909782014088822,318.57958310015084,71.6541254820502,0.0,0.0,385.20443136111066,380.75946515555535,134096.98816522787,405.625211473057,0.5650000000000001,-189.7130479409742,-775.000000002152,171.47632648351643,280.6243874444443,0.24,1068.9252072355027,256.0100115543029,449.9365062794883,372.9053610044516,0.0
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,31,0,167.350234557,0.509305540745,7.79284260895e-05,367.465417979,19.647022062424472,4.0,194.70817420521973,191.02397701527775,3772.7040242664552,186.04497787899436,0.08,-105.2826276340728,-25.57859418375325,186.9801006077348,186.51957192222224,0.04,3003.702665392155,20.87946455341076,409.1991734542146,49.97017939190772,0.0,0.0,404.93324618611103,399.93036152105276,188838.23418834407,9400.245532309113,0.785,-670.3384084532596,-931.1436094449722,186.06186342541437,314.22259622222214,0.22,950.0702730268679,276.2654403153271,527.6978918581783,407.00782837773903,0.0
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,32,0,168.279672268,0.662944494492,8.51138696034e-05,361.222757169,19.388440150090464,4.0,185.4381850065934,178.95799869666672,8726.136940006623,187.65386731182426,0.06,-189.2372703467001,-80.8005756180147,178.56204681767954,178.9599454945055,0.03,3812.5456328506575,28.659561068090028,400.32132229341255,23.824485241504185,0.0,0.0,412.4718032333332,409.76863729999945,128971.85256610702,8558.468486263007,0.20500000000000002,-1361.7697138021915,-1125.468844343865,189.05426165745857,321.6722479120879,0.22,1433.5170689780123,361.4286236930147,652.5637208346025,556.5542972401379,0.0
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,33,0,172.471893954,0.300060565388,5.45268436948e-05,394.546009672,20.47734590867905,4.0,197.51620999999997,194.31081330666666,163919.456148404,161.3762713699063,0.065,-205.44179711151241,-38.65604052189486,158.41653345856355,184.3125103,0.09,1705.7584932283457,77.32162175277863,362.00576562522855,221.24415368268401,0.0,0.0,307.2209262421053,296.639976725,12420.652083069393,264.55058024240213,0.505,149.47680646845808,132.17579674640712,117.13590408839781,185.4780770000001,0.3,710.6924696416527,183.50107066299023,353.4076221469759,278.70205603316003,0.005
