experiment_name,population_row_index,has_keyhole,P,VX,LS,ST,log_h,W_initial_um,W_max_um,W_T0_um,max_positive_dWdt_um_per_ms,median_positive_dWdt_um_per_ms,time_of_max_dWdt_tau,early_dWdt_20_um_per_ms,early_dWdt_40_um_per_ms,width_gain_20_um,width_gain_40_um,time_to_50pct_max_width_tau,robust_max_positive_dWdt_um_per_ms,robust_median_positive_dWdt_um_per_ms,robust_early_dWdt_20_um_per_ms,robust_early_dWdt_40_um_per_ms,robust_time_of_max_dWdt_tau,L_initial_um,L_max_um,L_T0_um,L_max_positive_dWdt_um_per_ms,L_median_positive_dWdt_um_per_ms,L_time_of_max_dWdt_tau,L_early_dWdt_20_um_per_ms,L_early_dWdt_40_um_per_ms,L_gain_20_um,L_gain_40_um,L_time_to_50pct_max_tau,L_robust_max_positive_dWdt_um_per_ms,L_robust_median_positive_dWdt_um_per_ms,L_robust_early_dWdt_20_um_per_ms,L_robust_early_dWdt_40_um_per_ms,L_robust_time_of_max_dWdt_tau
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,0,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,19.63158094088341,4.0,127.6442749033149,125.15305000000008,3090.6480950225973,184.12581018506538,0.065,-13.485315538242604,-1.1677333655905646,122.5873535164835,121.08492109890109,0.025,2449.375901115041,17.685216005343335,213.89914505452285,10.707764261063392,0.0,0.0,281.4328516249996,267.53239413888883,61394.71684979691,5316.621377145679,0.105,-1071.6783902907598,-1479.6573080211467,168.37520769230764,248.4014725274723,0.155,1298.4948586593118,250.22017955131597,580.7023910022073,413.1714694539309,0.0
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,1,0,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,18.893203115557135,4.0,127.36079337692307,121.1178697911111,3332.4852976720167,316.68600507540236,0.035,-1904.221522431629,-331.17611536178094,121.54873515384614,119.3730317679558,0.025,4783.81232003684,57.62690043512947,267.76242663914434,40.63756140519306,0.0,0.0,295.73939573333337,289.56522462222244,48468.06424346427,3376.0113512935486,0.23500000000000001,-1161.7220142485,-1176.1160403306355,172.44080010989012,256.64128740331495,0.165,1977.7199390535459,343.6964601501808,817.0410354807618,623.7550559255136,0.0
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,2,0,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,19.981159287767515,4.0,137.07059117473685,136.07552922777776,58356.62299221839,212.41833333261923,0.05,-129.93720227808512,-58.588849121244664,130.74465346961327,130.9189655111111,0.04,2263.1531963686675,12.88218383087602,208.2008565613908,15.610511003162904,0.0,0.0,287.2739996631577,275.6297254166668,110178.65324022123,634.737570880216,0.745,-184.71964165110015,-873.5406619176039,157.93584232044194,245.60213111111116,0.17,940.7859789368532,221.0900556204882,430.79281442035426,358.15453961920275,0.0
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,3,0,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,19.04999989622992,4.0,158.66218971578948,155.32676493333332,4033.1956310909727,189.73462962987853,0.38,-1259.8924423964659,-297.4645908030488,146.93954885714285,150.48961886187834,0.025,3330.899740278273,29.889576093219045,283.68736746456625,62.02176306783668,0.0,0.0,307.1612931333332,294.2502322222224,46881.77977375938,1822.4899214435131,0.24,-1278.8086001910453,-1244.1095736657344,178.35332769230772,264.0601026519335,0.165,1393.772845655985,217.0647164189818,582.5459133171788,460.22768523802154,0.0
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,19.613380183286644,4.0,137.967162767033,135.67265756000003,83462.52296143687,218.21469135839746,0.015,-191.5258182060324,-50.813457261442515,133.3888502430939,130.74497212154694,0.025,2665.047132196746,13.769340834258314,287.2531617125547,13.960069036826667,0.0,0.0,308.86330888888904,297.8423143999998,174150.39090061391,18082.794195633713,0.855,-1168.9433643286209,-1318.844311449115,171.63036795580115,262.88486165745877,0.17500000000000002,1162.406131778955,254.88748934905567,560.8972005013618,449.9158444224727,0.005
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,19.801624025695173,4.0,196.27519912833336,195.04054221222225,34502.606440924385,110.36163466189892,0.09,-426.28230634268164,-112.38555555613942,147.24980900000003,173.7673682105263,0.095,1492.4823086858748,89.75026416275817,362.3661779449653,214.28094762595023,0.005,0.0,283.29909999999995,273.24187931666654,94841.47969807869,271.47064169529966,0.395,0.0,-35.940705871318514,114.73795153846156,185.1414789473684,0.27,724.4756172359743,182.8513937528458,365.8058796980427,280.4313822117861,0.0
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,19.6163894445236,4.0,132.21170185082875,127.58016966052632,752.6424950760207,233.32950622162215,0.425,-146.52633442238155,-66.23601411150916,124.96027512707184,122.98493062983425,0.03,2546.040349533782,16.44331573200313,289.2686602806971,18.731546693544846,0.005,0.0,319.49872128333345,312.32134655263155,155856.17787426774,9201.790173602301,0.735,-1207.6476270984617,-1403.5167686817535,173.25758287292825,271.9276151381216,0.18,1286.904980986977,334.50133790724954,687.7882332780019,505.37973300317174,0.0
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,19.27319543192164,4.0,135.438063239011,127.55761144210526,50345.717901663666,219.9932036823772,0.005,-277.7080062797448,-85.15337500273506,129.69475571428572,122.95957659340658,0.025,4096.297967627071,37.083297217409594,317.58603991709236,11.50499642665035,0.0,0.0,332.2091799999996,323.8253522222225,141465.62499924796,19564.196041714094,0.875,-1377.8121603684494,-1618.7311315053796,178.73679780219783,274.834731868132,0.19,1437.5012070960931,344.51507577496966,794.2985189651278,649.0447267245418,0.0
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,19.1313440555154,4.0,173.8798784038461,165.4275110333334,35743.11782708204,195.68607957728688,0.28,-990.7959520790162,-506.59831240117825,157.97954474725276,157.6521845303868,0.03,3025.1256156980185,34.83989005206905,306.20342576369137,75.6049248571784,0.0,0.0,328.85819570526303,318.97115955555546,89560.34105007871,3389.6566065668667,0.65,-1027.8565872849758,-1014.5160608611156,180.80180637362636,286.6320039779006,0.17500000000000002,1870.286693778392,315.27133308843327,568.0797622426819,468.1497428741027,0.315
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,19.5847504215337,4.0,142.72780917222218,138.07562624166667,11548.851436900615,236.8032310895723,0.03,-233.74845278403384,-128.24477720038294,135.57137745856355,134.17141626373626,0.03,3313.6013991496,26.898110962707573,289.73465475199265,21.313366355466627,0.0,0.0,322.26288055559996,310.83888631944427,194940.37422744257,12577.281668414207,0.75,-1117.939878637002,-1285.080511167545,178.99939005524865,273.7443417582418,0.18,994.3599928521369,273.19625968977516,620.3727544511243,461.87632250633925,0.005
