tau,has_keyhole,metric,median,q25,q75,n
0.15,0,dWdt_robust_um_per_ms,513.607656581024,363.2534346938212,684.1083312625979,280
0.15,1,width_um,143.9350167307693,124.8563404207395,147.47827576923078,70
0.15,1,dWdt_um_per_ms,240.47175330601294,-325.92115988410467,749.6558386678801,70
0.15,1,dWdt_robust_um_per_ms,378.5640539212425,308.6283350553507,533.6754118809853,70
0.155,0,width_um,145.75301650137362,129.0459549900583,153.90742015796707,280
0.155,0,dWdt_um_per_ms,-734.8092624956147,-1413.4090732645545,39.557039837194694,280
0.155,0,dWdt_robust_um_per_ms,487.08824745056813,366.2929347658037,667.0197105850216,280
0.155,1,width_um,147.04012505631863,125.04169966895603,151.4803664684066,70
0.155,1,dWdt_um_per_ms,137.95431482520024,-304.40764249538273,638.9912235997368,70
0.155,1,dWdt_robust_um_per_ms,394.12999288344724,297.0500792706935,550.8714381013026,70
0.16,0,width_um,150.38236841758243,132.6129082032967,157.71758035714285,280
0.16,0,dWdt_um_per_ms,-724.522642241131,-1455.223090047944,155.9734633524933,280
0.16,0,dWdt_robust_um_per_ms,476.032505282359,352.5374294152845,662.6964515800215,280
0.16,1,width_um,150.77001727472526,127.2070490855443,154.2395122637363,70
0.16,1,dWdt_um_per_ms,171.43285716192378,-443.36330482879976,513.5674149934285,70
0.16,1,dWdt_robust_um_per_ms,379.67141268414116,292.655891543812,504.940640193369,70
0.165,0,width_um,154.23609923763735,135.87142817019307,161.95596871497253,280
0.165,0,dWdt_um_per_ms,-844.3318495579299,-1473.888627212236,-111.59942955176436,280
0.165,0,dWdt_robust_um_per_ms,514.5561857776222,346.33761125225357,672.3884053995723,280
0.165,1,width_um,155.09724111008103,127.13568525971023,157.2560070995906,70
0.165,1,dWdt_um_per_ms,223.97516844671895,-144.32034728691622,644.2202346002528,70
0.165,1,dWdt_robust_um_per_ms,414.3671745546309,301.29780261760766,528.5183133693935,70
0.17,0,width_um,157.62073485714282,139.04353748091341,165.55396168269226,280
0.17,0,dWdt_um_per_ms,-760.6239022346689,-1447.493811132415,-46.3890065242382,280
0.17,0,dWdt_robust_um_per_ms,487.8029754388522,340.0355152048262,695.3039502487079,280
0.17,1,width_um,158.29854949789012,130.7775519530842,160.19193661890597,70
0.17,1,dWdt_um_per_ms,235.25180482586953,-355.3977884104428,460.010159536523,70
0.17,1,dWdt_robust_um_per_ms,402.0958142850769,297.9614933947421,561.5948031211303,70
0.17500000000000002,0,width_um,161.35944239010982,141.6134931911959,169.6098441449176,280
0.17500000000000002,0,dWdt_um_per_ms,-837.7694729305024,-1497.8740709044666,-41.96548985723422,280
0.17500000000000002,0,dWdt_robust_um_per_ms,491.08127185018964,343.5317935277026,679.4309618272948,280
0.17500000000000002,1,width_um,162.07308745192307,133.7367192135989,165.00397092298587,70
