repeat,model,subset,row_count,keyhole_count,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,brier_score
1,h_only,full,350,70,0.9895408163265307,0.9547314444871036,0.96,0.9267857142857143,0.8714285714285714,0.9821428571428571,9,5,0.030683833398934744
1,h_only,q30,110,37,0.938171047760089,0.8364802998650065,0.8727272727272727,0.8441318030359126,0.7567567567567568,0.9315068493150684,9,5,0.09328603452651882
1,h_only,q20,77,29,0.9094827586206896,0.8046203827314236,0.8441558441558441,0.8204022988505747,0.7241379310344828,0.9166666666666666,8,4,0.11953223744454558
1,h_plus_width_dynamics,full,350,70,0.9862755102040817,0.951930286651057,0.9485714285714286,0.8875,0.7857142857142857,0.9892857142857143,15,3,0.0355168470698831
1,h_plus_width_dynamics,q30,110,37,0.928544983339504,0.8309665000715674,0.8545454545454545,0.8037763791188448,0.6486486486486487,0.958904109589041,13,3,0.09912391833430081
1,h_plus_width_dynamics,q20,77,29,0.8922413793103449,0.7968536235659112,0.8181818181818182,0.7790948275862069,0.6206896551724138,0.9375,11,3,0.12487532970612279
1,h_plus_width_shape_only,full,350,70,0.9923979591836735,0.9663768247069036,0.9628571428571429,0.9232142857142858,0.8571428571428571,0.9892857142857143,10,3,0.030043743219141317
1,h_plus_width_shape_only,q30,110,37,0.9522399111440207,0.8541127855044426,0.8909090909090909,0.857830433172899,0.7567567567567568,0.958904109589041,9,3,0.08664974549786975
1,h_plus_width_shape_only,q20,77,29,0.9209770114942528,0.8157568444478007,0.8571428571428571,0.8308189655172413,0.7241379310344828,0.9375,8,3,0.11276424177969413
1,static_width,full,350,70,0.6233673469387755,0.24594052098068986,0.7914285714285715,0.5,0.014285714285714285,0.9857142857142858,69,4,0.16002927373575368
1,static_width,q30,110,37,0.6045908922621253,0.45427760441661197,0.6727272727272727,0.5135135135135135,0.02702702702702703,1.0,36,0,0.23164631010119313
1,static_width,q20,77,29,0.4992816091954023,0.43557871600702025,0.6363636363636364,0.5172413793103449,0.034482758620689655,1.0,28,0,0.25695038401205655
1,width_dynamics,full,350,70,0.6271428571428571,0.2939901324150412,0.8028571428571428,0.5071428571428571,0.014285714285714285,1.0,69,0,0.15594181576924737
1,width_dynamics,q30,110,37,0.48685671973343214,0.38192194664367785,0.6727272727272727,0.5135135135135135,0.02702702702702703,1.0,36,0,0.24457059594014804
1,width_dynamics,q20,77,29,0.47126436781609204,0.43258895721808654,0.6363636363636364,0.5172413793103449,0.034482758620689655,1.0,28,0,0.2679848168667137
2,h_only,full,350,70,0.9889795918367348,0.9469064681239537,0.96,0.9267857142857143,0.8714285714285714,0.9821428571428571,9,5,0.030170048112257087
2,h_only,q30,112,36,0.9375,0.8175222015184209,0.875,0.8421052631578947,0.75,0.9342105263157895,9,5,0.09105623664457976
2,h_only,q20,77,29,0.9022988505747126,0.7863572788749951,0.8311688311688312,0.8099856321839081,0.7241379310344828,0.8958333333333334,8,5,0.12023873634131005
2,h_plus_width_dynamics,full,350,70,0.992295918367347,0.9657598481950163,0.96,0.9160714285714286,0.8428571428571429,0.9892857142857143,11,3,0.030566748870455292
2,h_plus_width_dynamics,q30,112,36,0.9510233918128654,0.8432825142381992,0.875,0.827485380116959,0.6944444444444444,0.9605263157894737,11,3,0.08884500346452932
2,h_plus_width_dynamics,q20,77,29,0.9188218390804597,0.8072307892206152,0.8311688311688312,0.7963362068965517,0.6551724137931034,0.9375,10,3,0.12021656465821354
2,h_plus_width_shape_only,full,350,70,0.9929081632653061,0.9682298800445096,0.96,0.9214285714285715,0.8571428571428571,0.9857142857142858,10,4,0.028763323659433314
2,h_plus_width_shape_only,q30,112,36,0.9557748538011696,0.8526174696803488,0.875,0.8347953216374269,0.7222222222222222,0.9473684210526315,10,4,0.08366533426767374
2,h_plus_width_shape_only,q20,77,29,0.930316091954023,0.827981177699928,0.8311688311688312,0.8031609195402298,0.6896551724137931,0.9166666666666666,9,4,0.11024902142319905
2,static_width,full,350,70,0.6051530612244899,0.2347822900937339,0.7885714285714286,0.4928571428571429,0.0,0.9857142857142858,70,4,0.1644117585929655
2,static_width,q30,112,36,0.5445906432748538,0.4003637304012988,0.6785714285714286,0.5,0.0,1.0,36,0,0.22808468842164092
2,static_width,q20,77,29,0.5459770114942528,0.462954926040911,0.6233766233766234,0.5,0.0,1.0,29,0,0.2586575664479556
2,width_dynamics,full,350,70,0.6416836734693877,0.29661412892437267,0.7942857142857143,0.49642857142857144,0.0,0.9928571428571429,70,2,0.15582831323214016
2,width_dynamics,q30,112,36,0.5127923976608187,0.3658892347415763,0.6785714285714286,0.5,0.0,1.0,36,0,0.23393702016672582
2,width_dynamics,q20,77,29,0.5158045977011494,0.4036940558377265,0.6233766233766234,0.5,0.0,1.0,29,0,0.2651494332276384
3,h_only,full,350,70,0.9885204081632653,0.9438713600672977,0.96,0.9321428571428572,0.8857142857142857,0.9785714285714285,8,6,0.03042045608769858
3,h_only,q30,113,38,0.9343859649122808,0.8168114784828511,0.8761061946902655,0.8547368421052632,0.7894736842105263,0.92,8,6,0.09146272785916996
3,h_only,q20,76,28,0.9099702380952381,0.7839045553765797,0.8552631578947368,0.8333333333333333,0.75,0.9166666666666666,7,4,0.11162042233908573
3,h_plus_width_dynamics,full,350,70,0.9928061224489795,0.9688108124624675,0.9657142857142857,0.925,0.8571428571428571,0.9928571428571429,10,2,0.029251906841115647
3,h_plus_width_dynamics,q30,113,38,0.9561403508771931,0.8744914206353699,0.9026548672566371,0.8682456140350878,0.7631578947368421,0.9733333333333334,9,2,0.08433387097262611
3,h_plus_width_dynamics,q20,76,28,0.9308035714285714,0.8397871604139089,0.881578947368421,0.8541666666666667,0.75,0.9583333333333334,7,2,0.104707577103477
3,h_plus_width_shape_only,full,350,70,0.9920918367346938,0.9647027726012409,0.96,0.9214285714285715,0.8571428571428571,0.9857142857142858,10,4,0.02878878690668206
3,h_plus_width_shape_only,q30,113,38,0.9519298245614036,0.862902550458612,0.8849557522123894,0.8549122807017544,0.7631578947368421,0.9466666666666667,9,4,0.0827310391056399
3,h_plus_width_shape_only,q20,76,28,0.9278273809523809,0.8292585355682677,0.868421052631579,0.84375,0.75,0.9375,7,3,0.10326818823287004
3,static_width,full,350,70,0.6355102040816326,0.24884404229822424,0.7914285714285715,0.5,0.014285714285714285,0.9857142857142858,69,4,0.1597422266016942
3,static_width,q30,113,38,0.6171929824561404,0.5078515964152909,0.672566371681416,0.5131578947368421,0.02631578947368421,1.0,37,0,0.23158921084310602
3,static_width,q20,76,28,0.5505952380952381,0.4704059850311605,0.631578947368421,0.5,0.0,1.0,28,0,0.2558505118235656
3,width_dynamics,full,350,70,0.6409693877551021,0.3360852335838051,0.7971428571428572,0.4982142857142857,0.0,0.9964285714285714,70,1,0.1537294394235002
3,width_dynamics,q30,113,38,0.5385964912280702,0.42758875680423714,0.6637168141592921,0.5,0.0,1.0,38,0,0.23771370061342229
3,width_dynamics,q20,76,28,0.5096726190476191,0.4614944012738601,0.631578947368421,0.5,0.0,1.0,28,0,0.2581675418893951
4,h_only,full,350,70,0.9886224489795918,0.9447309369568957,0.9628571428571429,0.9285714285714286,0.8714285714285714,0.9857142857142858,9,4,0.030901683082485094
4,h_only,q30,111,39,0.9348290598290598,0.8420608996046808,0.8828828828828829,0.8568376068376069,0.7692307692307693,0.9444444444444444,9,4,0.0943363528791454
4,h_only,q20,77,31,0.8997194950911641,0.8077099387631507,0.8311688311688312,0.8113604488078541,0.7096774193548387,0.9130434782608695,9,4,0.1278514227168982
4,h_plus_width_dynamics,full,350,70,0.991938775510204,0.9674335098412215,0.96,0.9160714285714286,0.8428571428571429,0.9892857142857143,11,3,0.030831393084743527
4,h_plus_width_dynamics,q30,111,39,0.9497863247863247,0.8900600948988131,0.8828828828828829,0.8509615384615385,0.7435897435897436,0.9583333333333334,10,3,0.09022900868646995
4,h_plus_width_dynamics,q20,77,31,0.9123422159887797,0.8323316995097237,0.8311688311688312,0.8061009817671809,0.6774193548387096,0.9347826086956522,10,3,0.1243410311865061
4,h_plus_width_shape_only,full,350,70,0.9927551020408163,0.9675660763319314,0.9657142857142857,0.9303571428571429,0.8714285714285714,0.9892857142857143,9,3,0.028444496025428246
4,h_plus_width_shape_only,q30,111,39,0.954059829059829,0.8754835290667027,0.8918918918918919,0.8637820512820513,0.7692307692307693,0.9583333333333334,9,3,0.08383095111886847
4,h_plus_width_shape_only,q20,77,31,0.9193548387096775,0.8240109429059119,0.8441558441558441,0.8222300140252454,0.7096774193548387,0.9347826086956522,9,3,0.11638383179218693
4,static_width,full,350,70,0.6265306122448979,0.2492171092414639,0.7942857142857143,0.5071428571428571,0.02857142857142857,0.9857142857142858,68,4,0.1593369515479322
4,static_width,q30,111,39,0.5911680911680912,0.463283592328581,0.6666666666666666,0.5256410256410257,0.05128205128205128,1.0,37,0,0.23965368452212094
4,static_width,q20,77,31,0.5806451612903225,0.5452037490677477,0.6233766233766234,0.532258064516129,0.06451612903225806,1.0,29,0,0.2664763579593914
4,width_dynamics,full,350,70,0.648469387755102,0.31719531394303335,0.8,0.5053571428571428,0.014285714285714285,0.9964285714285714,69,1,0.1535899429543439
4,width_dynamics,q30,111,39,0.5566239316239316,0.42114543114687364,0.6396396396396397,0.4930555555555556,0.0,0.9861111111111112,39,1,0.24571411502581034
4,width_dynamics,q20,77,31,0.5133239831697054,0.4654472719178022,0.5974025974025974,0.5,0.0,1.0,31,0,0.2791495899945314
5,h_only,full,350,70,0.9898979591836734,0.959202854816771,0.9657142857142857,0.9303571428571429,0.8714285714285714,0.9892857142857143,9,3,0.029889006798821355
5,h_only,q30,113,37,0.9384779516358465,0.8359969468436881,0.8938053097345132,0.8586415362731152,0.7567567567567568,0.9605263157894737,9,3,0.09010452171964264
5,h_only,q20,76,31,0.8946236559139785,0.8057791333230125,0.8421052631578947,0.821505376344086,0.7096774193548387,0.9333333333333333,9,3,0.12973238640072715
5,h_plus_width_dynamics,full,350,70,0.9933163265306122,0.9720765120969239,0.9514285714285714,0.8946428571428572,0.8,0.9892857142857143,14,3,0.029114257345500535
5,h_plus_width_dynamics,q30,113,37,0.9601706970128023,0.8803344238511652,0.8584070796460177,0.8045874822190612,0.6486486486486487,0.9605263157894737,13,3,0.0825760652609446
5,h_plus_width_dynamics,q20,76,31,0.9275985663082438,0.8548981241734297,0.7894736842105263,0.756989247311828,0.5806451612903226,0.9333333333333333,13,3,0.11883396152606396
5,h_plus_width_shape_only,full,350,70,0.9920918367346938,0.9663250056998245,0.9628571428571429,0.9232142857142858,0.8571428571428571,0.9892857142857143,10,3,0.029325522110851026
5,h_plus_width_shape_only,q30,113,37,0.9516358463726885,0.8701496534693196,0.8938053097345132,0.8586415362731152,0.7567567567567568,0.9605263157894737,9,3,0.08336677580676062
5,h_plus_width_shape_only,q20,76,31,0.9103942652329748,0.8416299987168655,0.8421052631578947,0.821505376344086,0.7096774193548387,0.9333333333333333,9,3,0.12024456332705757
5,static_width,full,350,70,0.6104591836734694,0.25290913994696984,0.7885714285714286,0.4928571428571429,0.0,0.9857142857142858,70,4,0.16592326144160957
5,static_width,q30,113,37,0.5291607396870555,0.4289412500142517,0.672566371681416,0.5,0.0,1.0,37,0,0.2296184350043504
5,static_width,q20,76,31,0.4982078853046595,0.5046564107887129,0.5921052631578947,0.5,0.0,1.0,31,0,0.2750504696413896
5,width_dynamics,full,350,70,0.6491326530612246,0.31926450971203885,0.8,0.5053571428571428,0.014285714285714285,0.9964285714285714,69,1,0.15354548736304136
5,width_dynamics,q30,113,37,0.5512091038406829,0.4130223963749938,0.672566371681416,0.5,0.0,1.0,37,0,0.23320341731746566
5,width_dynamics,q20,76,31,0.5275985663082438,0.4572923650135559,0.5921052631578947,0.5,0.0,1.0,31,0,0.2792679813040218
6,h_only,full,350,70,0.9901530612244898,0.9592416715972818,0.9657142857142857,0.9357142857142857,0.8857142857142857,0.9857142857142858,8,4,0.02950536187094337
6,h_only,q30,111,38,0.9387166546503245,0.8395559194318128,0.8918918918918919,0.8673395818312906,0.7894736842105263,0.9452054794520548,8,4,0.09040022561652825
6,h_only,q20,76,31,0.9132616487455197,0.8227616381637772,0.8552631578947368,0.842652329749104,0.7741935483870968,0.9111111111111111,7,4,0.11579124684959136
6,h_plus_width_dynamics,full,350,70,0.9924489795918366,0.9688437025355314,0.9571428571428572,0.9089285714285715,0.8285714285714286,0.9892857142857143,12,3,0.02954943724739188
6,h_plus_width_dynamics,q30,111,38,0.9545782263878875,0.8843920039003659,0.8738738738738738,0.8347152126892574,0.7105263157894737,0.958904109589041,11,3,0.08479450668157945
6,h_plus_width_dynamics,q20,76,31,0.9247311827956989,0.8608029643930026,0.8289473684210527,0.8053763440860215,0.6774193548387096,0.9333333333333333,10,3,0.11374207155982828
6,h_plus_width_shape_only,full,350,70,0.9929081632653061,0.9685336920793188,0.96,0.9214285714285715,0.8571428571428571,0.9857142857142858,10,4,0.02858262440128374
6,h_plus_width_shape_only,q30,111,38,0.9549387166546504,0.8608808091404042,0.8828828828828829,0.8541816870944485,0.7631578947368421,0.9452054794520548,9,4,0.08283224209191158
6,h_plus_width_shape_only,q20,76,31,0.9283154121863799,0.8383646337106663,0.8421052631578947,0.8265232974910395,0.7419354838709677,0.9111111111111111,8,4,0.10815215690260574
6,static_width,full,350,70,0.6312755102040817,0.26951540040532096,0.7914285714285715,0.5,0.014285714285714285,0.9857142857142858,69,4,0.15807384087124787
6,static_width,q30,111,38,0.5832732516222062,0.46732017423132466,0.6666666666666666,0.5131578947368421,0.02631578947368421,1.0,37,0,0.23483434069702036
