protocol_id,schema_version,protocol_sha256,source_hashes_json,run_id,repeat,fold,arm,continuation_id,horizon,B1_q20_AULC_16_80,B1_q20_AULC_16_40,B1_q30_AULC_16_80,budget40_B1_q20_accuracy,budget40_B1_q20_recall,budget40_B1_q20_balanced_accuracy,budget40_B1_q20_false_negative,budget40_B1_q20_false_positive,budget40_B1_q20_true_negative,budget40_B1_q20_true_positive,budget40_B1_q20_row_count,budget40_B1_q30_accuracy,budget40_B1_q30_recall,budget40_B1_q30_balanced_accuracy,budget40_B1_q30_false_negative,budget40_B1_q30_false_positive,budget40_B1_q30_true_negative,budget40_B1_q30_true_positive,budget40_B1_q30_row_count,terminal_B1_q20_accuracy,terminal_B1_q20_recall,terminal_B1_q20_balanced_accuracy,terminal_B1_q20_false_negative,terminal_B1_q20_false_positive,terminal_B1_q20_true_negative,terminal_B1_q20_true_positive,terminal_B1_q20_row_count,terminal_B1_q30_accuracy,terminal_B1_q30_recall,terminal_B1_q30_balanced_accuracy,terminal_B1_q30_false_negative,terminal_B1_q30_false_positive,terminal_B1_q30_true_negative,terminal_B1_q30_true_positive,terminal_B1_q30_row_count,crossing_0.75,crossing_0.75_observed,restricted_crossing_0.75,crossing_0.80,crossing_0.80_observed,restricted_crossing_0.80,crossing_0.85,crossing_0.85_observed,restricted_crossing_0.85
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,10,160,0.8501838235294117,0.7769607843137254,0.8890625,0.8235294117647058,0.5714285714285714,0.7857142857142857,3,0,10,4,17,0.88,0.625,0.8125,3,0,17,5,25,0.8235294117647058,0.7142857142857143,0.8071428571428572,2,1,9,5,17,0.88,0.75,0.8455882352941176,2,1,16,6,25,21.0,True,21.0,21.0,True,21.0,50.0,True,50.0
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,11,160,0.8060661764705881,0.7769607843137254,0.8596874999999999,0.8235294117647058,0.5714285714285714,0.7857142857142857,3,0,10,4,17,0.88,0.625,0.8125,3,0,17,5,25,0.7647058823529411,0.5714285714285714,0.7357142857142858,3,1,9,4,17,0.84,0.625,0.7830882352941176,3,1,16,5,25,23.0,True,23.0,29.0,True,29.0,120.0,True,120.0
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,12,160,0.7803308823529411,0.7132352941176471,0.8284374999999999,0.8235294117647058,0.5714285714285714,0.7857142857142857,3,0,10,4,17,0.84,0.5,0.75,4,0,17,4,25,0.9411764705882353,0.8571428571428571,0.9285714285714286,1,0,10,6,17,0.96,0.875,0.9375,1,0,17,7,25,39.0,True,39.0,39.0,True,39.0,118.0,True,118.0
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,13,160,0.793658088235294,0.738970588235294,0.833125,0.7647058823529411,0.42857142857142855,0.7142857142857143,4,0,10,3,17,0.8,0.375,0.6875,5,0,17,3,25,0.8235294117647058,0.7142857142857143,0.8071428571428572,2,1,9,5,17,0.88,0.75,0.8455882352941176,2,1,16,6,25,27.0,True,27.0,51.0,True,51.0,69.0,True,69.0
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,14,160,0.7844669117647058,0.7928921568627451,0.830625,0.7647058823529411,0.42857142857142855,0.7142857142857143,4,0,10,3,17,0.8,0.375,0.6875,5,0,17,3,25,0.8235294117647058,0.7142857142857143,0.8071428571428572,2,1,9,5,17,0.88,0.75,0.8455882352941176,2,1,16,6,25,21.0,True,21.0,22.0,True,22.0,116.0,True,116.0
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,15,160,0.7904411764705882,0.7916666666666666,0.8515625,0.8235294117647058,0.5714285714285714,0.7857142857142857,3,0,10,4,17,0.88,0.625,0.8125,3,0,17,5,25,0.8823529411764706,0.7142857142857143,0.8571428571428572,2,0,10,5,17,0.92,0.75,0.875,2,0,17,6,25,20.0,True,20.0,26.0,True,26.0,84.0,True,84.0
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,16,160,0.893841911764706,0.8578431372549019,0.92375,0.9411764705882353,0.8571428571428571,0.9285714285714286,1,0,10,6,17,0.96,0.875,0.9375,1,0,17,7,25,0.8823529411764706,0.7142857142857143,0.8571428571428572,2,0,10,5,17,0.92,0.75,0.875,2,0,17,6,25,18.0,True,18.0,22.0,True,22.0,26.0,True,26.0
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,17,160,0.8189338235294117,0.8590686274509803,0.8646874999999999,0.8823529411764706,0.7142857142857143,0.8571428571428572,2,0,10,5,17,0.92,0.75,0.875,2,0,17,6,25,0.8823529411764706,0.7142857142857143,0.8571428571428572,2,0,10,5,17,0.92,0.75,0.875,2,0,17,6,25,18.0,True,18.0,18.0,True,18.0,19.0,True,19.0
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,18,160,0.7477022058823529,0.7193627450980392,0.815,0.7647058823529411,0.42857142857142855,0.7142857142857143,4,0,10,3,17,0.84,0.5,0.75,4,0,17,4,25,0.7647058823529411,0.42857142857142855,0.7142857142857143,4,0,10,3,17,0.84,0.5,0.75,4,0,17,4,25,39.0,True,39.0,140.0,True,140.0,,False,160.0
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",w85__r01_f01,1,1,binary_random,19,160,0.7651654411764706,0.7659313725490197,0.8003125,0.7647058823529411,0.42857142857142855,0.7142857142857143,4,0,10,3,17,0.8,0.375,0.6875,5,0,17,3,25,0.8823529411764706,0.7142857142857143,0.8571428571428572,2,0,10,5,17,0.92,0.75,0.875,2,0,17,6,25,18.0,True,18.0,,False,160.0,,False,160.0
