protocol_id,schema_version,protocol_sha256,source_hashes_json,repeat,arm,fold_count,continuation_count,macro_mean__horizon,macro_mean__B1_q20_AULC_16_80,macro_mean__B1_q20_AULC_16_40,macro_mean__B1_q30_AULC_16_80,macro_mean__budget40_B1_q20_accuracy,macro_mean__budget40_B1_q20_recall,macro_mean__budget40_B1_q20_balanced_accuracy,macro_mean__budget40_B1_q20_false_negative,macro_mean__budget40_B1_q20_false_positive,macro_mean__budget40_B1_q20_true_negative,macro_mean__budget40_B1_q20_true_positive,macro_mean__budget40_B1_q20_row_count,macro_mean__budget40_B1_q30_accuracy,macro_mean__budget40_B1_q30_recall,macro_mean__budget40_B1_q30_balanced_accuracy,macro_mean__budget40_B1_q30_false_negative,macro_mean__budget40_B1_q30_false_positive,macro_mean__budget40_B1_q30_true_negative,macro_mean__budget40_B1_q30_true_positive,macro_mean__budget40_B1_q30_row_count,macro_mean__terminal_B1_q20_accuracy,macro_mean__terminal_B1_q20_recall,macro_mean__terminal_B1_q20_balanced_accuracy,macro_mean__terminal_B1_q20_false_negative,macro_mean__terminal_B1_q20_false_positive,macro_mean__terminal_B1_q20_true_negative,macro_mean__terminal_B1_q20_true_positive,macro_mean__terminal_B1_q20_row_count,macro_mean__terminal_B1_q30_accuracy,macro_mean__terminal_B1_q30_recall,macro_mean__terminal_B1_q30_balanced_accuracy,macro_mean__terminal_B1_q30_false_negative,macro_mean__terminal_B1_q30_false_positive,macro_mean__terminal_B1_q30_true_negative,macro_mean__terminal_B1_q30_true_positive,macro_mean__terminal_B1_q30_row_count,macro_mean__crossing_0.75,macro_mean__crossing_0.75_observed,macro_mean__restricted_crossing_0.75,macro_mean__crossing_0.80,macro_mean__crossing_0.80_observed,macro_mean__restricted_crossing_0.80,macro_mean__crossing_0.85,macro_mean__crossing_0.85_observed,macro_mean__restricted_crossing_0.85,pooled__budget40_B1_q20_accuracy,pooled__budget40_B1_q30_accuracy,pooled__terminal_B1_q20_accuracy,pooled__terminal_B1_q30_accuracy
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",1,binary_margin,5,1,160.0,0.8095588235294116,0.7872549019607844,0.8539999999999999,0.8235294117647058,0.6933333333333332,0.8016666666666665,2.0,1.0,9.6,4.4,17.0,0.8720000000000001,0.7264069264069265,0.8343887794352189,2.2,1.0,16.0,5.8,25.0,0.8352941176470587,0.6838095238095239,0.806904761904762,2.0,0.8,9.8,4.4,17.0,0.8639999999999999,0.6903679653679654,0.8222516518569151,2.6,0.8,16.2,5.4,25.0,19.0,1.0,19.0,31.25,0.8,57.0,34.333333333333336,0.6,84.6,0.8235294117647058,0.872,0.8352941176470589,0.864
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",1,binary_random,5,30,160.0,0.790750612745098,0.7656699346405228,0.83395625,0.7905882352941176,0.6099682539682538,0.7593275613275613,2.546666666666667,1.0133333333333334,9.586666666666666,3.8533333333333335,17.0,0.8333333333333333,0.643517316017316,0.790227133118,3.06,1.1066666666666667,15.893333333333333,4.94,25.0,0.8227450980392157,0.7097460317460317,0.8005346320346319,1.8333333333333333,1.18,9.42,4.566666666666666,17.0,0.8621333333333331,0.7310028860028859,0.8297140169198993,2.2466666666666666,1.2,15.8,5.753333333333333,25.0,25.472972972972972,0.9866666666666667,27.266666666666666,31.402877697841728,0.9266666666666666,40.833333333333336,51.57303370786517,0.5933333333333334,95.66666666666667,0.7905882352941176,0.8333333333333334,0.8227450980392157,0.8621333333333333
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",1,binary_uncertainty_repulsion,5,1,160.0,0.8124999999999998,0.7872549019607843,0.8558749999999999,0.8235294117647058,0.6647619047619047,0.7973809523809523,2.2,0.8,9.8,4.2,17.0,0.8720000000000001,0.7082251082251083,0.8311802232854865,2.4,0.8,16.2,5.6,25.0,0.8352941176470587,0.6838095238095239,0.806904761904762,2.0,0.8,9.8,4.4,17.0,0.8639999999999999,0.6903679653679654,0.8222516518569151,2.6,0.8,16.2,5.4,25.0,19.0,1.0,19.0,29.25,0.8,55.4,34.333333333333336,0.6,84.6,0.8235294117647058,0.872,0.8352941176470589,0.864
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",2,binary_margin,5,1,160.0,0.8175551470588236,0.7928921568627452,0.8712499999999999,0.8470588235294118,0.7114285714285714,0.8064285714285713,1.6,1.0,9.6,4.8,17.0,0.8959999999999999,0.7882467532467532,0.8637779051014345,1.6,1.0,16.2,6.2,25.0,0.8588235294117647,0.7200000000000001,0.8233333333333333,1.6,0.8,9.8,4.8,17.0,0.8959999999999999,0.7736363636363637,0.8639423648247178,1.8,0.8,16.4,6.0,25.0,19.4,1.0,19.4,29.2,1.0,29.2,32.0,0.6,83.2,0.8470588235294118,0.896,0.8588235294117647,0.896
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",2,binary_random,5,30,160.0,0.794031862745098,0.7806699346405228,0.8407791666666666,0.7905882352941177,0.6274285714285714,0.7584206349206349,2.34,1.22,9.38,4.06,17.0,0.8386666666666666,0.6683376623376623,0.7987785417197182,2.7733333333333334,1.26,15.94,5.026666666666666,25.0,0.8309803921568627,0.6806666666666666,0.7939523809523811,1.86,1.0133333333333334,9.586666666666666,4.54,17.0,0.8690666666666664,0.7203030303030303,0.8296603853662677,2.2066666666666666,1.0666666666666667,16.133333333333333,5.593333333333334,25.0,33.054054054054056,0.9866666666666667,34.74666666666667,39.744360902255636,0.8866666666666667,53.373333333333335,43.121212121212125,0.66,82.86,0.7905882352941176,0.8386666666666667,0.8309803921568627,0.8690666666666667
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",2,binary_uncertainty_repulsion,5,1,160.0,0.8193933823529411,0.7921568627450981,0.8721874999999999,0.8352941176470589,0.6714285714285714,0.7864285714285714,1.8,1.0,9.6,4.6,17.0,0.8879999999999999,0.7632467532467533,0.8512779051014345,1.8,1.0,16.2,6.0,25.0,0.8588235294117647,0.7200000000000001,0.8233333333333333,1.6,0.8,9.8,4.8,17.0,0.8959999999999999,0.7736363636363637,0.8639423648247178,1.8,0.8,16.4,6.0,25.0,19.4,1.0,19.4,29.2,1.0,29.2,30.75,0.8,56.6,0.8352941176470589,0.888,0.8588235294117647,0.896
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",3,binary_margin,5,1,160.0,0.8238051470588236,0.7781862745098039,0.8634375000000001,0.8,0.6011904761904762,0.7548376623376624,2.4,1.0,9.8,3.8,17.0,0.8560000000000001,0.6717460317460316,0.8063043024227234,2.6,1.0,15.8,5.6,25.0,0.8588235294117647,0.6911904761904762,0.8172619047619047,1.8,0.6,10.2,4.4,17.0,0.8960000000000001,0.7339682539682539,0.8482341269841269,2.0,0.6,16.2,6.2,25.0,20.6,1.0,20.6,34.2,1.0,34.2,41.333333333333336,0.6,88.8,0.8,0.856,0.8588235294117647,0.896
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",3,binary_random,5,30,160.0,0.7597334558823529,0.7361192810457515,0.7814187499999999,0.747843137254902,0.4607063492063492,0.6783195045695045,3.2066666666666666,1.08,9.72,2.993333333333333,17.0,0.7695999999999998,0.4766137566137566,0.6936031746031746,4.306666666666667,1.4533333333333334,15.346666666666666,3.8933333333333335,25.0,0.8321568627450979,0.6859920634920634,0.7981189273689273,1.8866666666666667,0.9666666666666667,9.833333333333334,4.3133333333333335,17.0,0.8645333333333334,0.7203068783068783,0.8260503689780007,2.26,1.1266666666666667,15.673333333333334,5.94,25.0,30.246666666666666,1.0,30.246666666666666,57.865671641791046,0.8933333333333333,68.76,81.4054054054054,0.49333333333333335,121.22666666666667,0.7478431372549019,0.7696,0.832156862745098,0.8645333333333334
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",3,binary_uncertainty_repulsion,5,1,160.0,0.8234375,0.7791666666666667,0.8625625000000001,0.8,0.6411904761904762,0.766504329004329,2.2,1.2,9.6,4.0,17.0,0.8560000000000001,0.693968253968254,0.8121522556390977,2.4,1.2,15.6,5.8,25.0,0.8588235294117647,0.6911904761904762,0.8172619047619047,1.8,0.6,10.2,4.4,17.0,0.8960000000000001,0.7339682539682539,0.8482341269841269,2.0,0.6,16.2,6.2,25.0,20.6,1.0,20.6,39.0,1.0,39.0,38.666666666666664,0.6,87.2,0.8,0.856,0.8588235294117647,0.896
week8_5_frozen_confirmation_protocol/v1.0.0,1.0.0,bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66,"{""phase6_source.py"": ""23797dcbc706f891cf1cd0f560299c64ed903d82f146248d13708d051d841479"", ""phase7_source.py"": ""d5a331c60bab373adfc63344cc5eb3b88e1ca7ce41e4ffd0717196edeb2c00df"", ""primary_common_population.csv"": ""c15658cac87a8616a1984185ec1afc8126a1db811f0d5819e62cfb621a7486c7"", ""protocol.json"": ""bb16865a06d8fbdeea00f8c41f0929bfb7fbaf2f7b3e4ebade9cb2ffc59b1c66""}",4,binary_margin,5,1,160.0,0.778033088235294,0.7291666666666667,0.8463125,0.7764705882352942,0.5623015873015873,0.7164285714285714,2.6,1.2,9.0,4.2,17.0,0.8400000000000001,0.6146464646464647,0.7691404592139885,2.8,1.2,15.4,5.6,25.0,0.776470588235294,0.6297619047619047,0.7524664224664225,2.6,1.2,9.0,4.2,17.0,0.8480000000000001,0.7107575757575757,0.8180783677107206,2.6,1.2,15.4,5.8,25.0,22.0,0.8,49.6,32.5,0.8,58.0,33.333333333333336,0.6,84.0,0.7764705882352941,0.84,0.7764705882352941,0.848
