population,record_type,candidate_id,unit,fold_n,majority_direction,majority_direction_fraction,threshold_minimum,threshold_q25,threshold_median,threshold_q75,threshold_maximum,threshold_iqr,candidate_value_iqr,threshold_iqr_over_candidate_iqr,threshold_unique_count,stability_class,stability_rule
new-data,within_population_loo,T0_depth,um,164,higher,1.0,77.778445,82.41506749999999,82.41506749999999,82.41506749999999,92.527355,0.0,41.98339875,0.0,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
new-data,within_population_loo,max_depth,um,164,higher,1.0,108.14150000000001,108.601,108.601,108.601,111.9012,0.0,208.86628749999997,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
new-data,within_population_loo,G3,um,164,higher,1.0,100.85673,100.9587625,100.9587625,100.9587625,102.2617125,0.0,135.22771875,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
new-data,within_population_loo,R3,dimensionless,164,higher,1.0,0.5759476539134093,0.5782153663226665,0.5782153663226665,0.5782153663226665,0.5848338566678534,0.0,0.8257971374220114,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
new-data,within_population_loo,T0_width,um,164,lower,1.0,158.926175,159.2590775,159.2590775,159.2590775,165.209975,0.0,48.41070124999996,0.0,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
new-data,within_population_loo,T0_total_height,um,164,higher,1.0,107.55897000000002,112.91155499999999,126.053505,126.053505,126.053505,13.141950000000008,37.40602749999999,0.3513324156113613,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
new-data,within_population_loo,T0_kinetic_energy,nJ,164,higher,1.0,3.32420925,3.3667689999999997,3.3667689999999997,3.3667689999999997,3.3743299999999996,0.0,2.3638735,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
new-data,within_population_loo,R0,dimensionless,164,higher,1.0,0.5144084439493,0.5185328763247001,0.5185328763247001,0.5185328763247001,0.5274117127471352,0.0,0.32312720286109126,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-local,within_population_loo,T0_depth,um,178,higher,1.0,70.15818,70.17236750000001,70.17236750000001,70.17236750000001,78.59645499999999,0.0,19.945563749999998,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-local,within_population_loo,max_depth,um,178,higher,1.0,105.286115,107.08127999999999,107.08127999999999,107.08127999999999,107.23028,0.0,20.423797500000006,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-local,within_population_loo,G3,um,177,higher,1.0,76.388205,76.412915,76.412915,76.412915,76.61022249999999,0.0,20.67474,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-local,within_population_loo,R3,dimensionless,177,higher,1.0,0.42886608308540397,0.431491418489115,0.431491418489115,0.431491418489115,0.4475782908885235,0.0,0.10543394528800898,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-local,within_population_loo,T0_width,um,178,higher,1.0,145.14277500000003,145.19675999999998,145.19675999999998,145.19675999999998,167.0400975,0.0,47.29482875000001,0.0,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-local,within_population_loo,T0_total_height,um,178,higher,1.0,92.55726000000001,92.59128,92.59128,92.59128,97.047355,0.0,23.36486624999999,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-local,within_population_loo,T0_kinetic_energy,nJ,178,higher,1.0,1.46395475,1.4730165,1.4730165,1.4730165,1.4740455,0.0,1.2013886375,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-local,within_population_loo,R0,dimensionless,178,higher,1.0,0.453557135402738,0.4559295168357515,0.4559295168357515,0.4559295168357515,0.4582681013454347,0.0,0.10714488703579839,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-remote-clean,within_population_loo,T0_depth,um,63,higher,1.0,80.680305,80.68371,80.68371,80.68371,90.5700975,0.0,27.998187499999993,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-remote-clean,within_population_loo,max_depth,um,63,higher,1.0,121.433085,123.209585,123.209585,123.209585,164.910935,0.0,31.476525000000002,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-remote-clean,within_population_loo,G3,um,63,higher,1.0,118.205535,118.326565,118.326565,118.326565,160.66884,0.0,29.916052499999992,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-remote-clean,within_population_loo,R3,dimensionless,63,higher,1.0,0.741645873503884,0.7624954501869492,0.7624954501869492,0.7624954501869492,0.8897392549541966,0.0,0.08874109894492582,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-remote-clean,within_population_loo,T0_width,um,63,higher,0.9841269841269841,147.4826,151.60846750000002,151.60846750000002,151.60846750000002,189.493705,0.0,56.8425125,0.0,4,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-remote-clean,within_population_loo,T0_total_height,um,63,higher,1.0,105.62797,106.7644,106.7644,106.7644,114.2346675,0.0,24.886732500000008,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
old-data-remote-clean,within_population_loo,T0_kinetic_energy,nJ,63,higher,1.0,2.82895625,2.83404825,2.83404825,2.83404825,2.9483785,0.0,1.3264169999999997,0.0,3,stable,stable: direction>=0.95 and threshold IQR/value IQR<=0.50; moderate: direction>=0.90 and ratio<=1.00
