budget,snapshots,perfect_h_separation_N,perfect_h_separation_fraction,coefficient_median,coefficient_q10,coefficient_q90,coefficient_max,max_abs_pool_logit_median,median_abs_pool_logit_median,fraction_pool_abs_gt10_mean,pool_abs_lt1_median_N
16,100,55,0.55,20.977568225360248,2.9037174070931084,80.25194697002767,577.8252527632131,48.456201970186996,14.952875033143773,0.47172077922077926,11.0
20,100,39,0.39,38.58490621140824,3.1194613973475813,371.81881022290634,731.7820179221496,118.01429668981656,39.59801134273371,0.5473026315789474,2.0
24,100,9,0.09,8.58617739375957,2.907133128745237,160.45300116681355,745.0502748143011,25.58348614341383,8.78163401083448,0.4655,9.5
32,100,2,0.02,6.055485589392056,2.6749360684330443,14.415347199743893,225.1865563199745,21.692656739290562,7.364249211566978,0.32910958904109583,7.0
40,100,1,0.01,4.431329263852125,2.376464426390762,7.661348797535711,203.86532224978734,15.820334426397942,5.705309063444696,0.1815845070422535,3.0
60,100,1,0.01,3.766328925306435,2.509709976830541,5.183794078055563,192.66291029950042,16.155108032728275,6.080199524858582,0.16916666666666663,0.0
80,100,0,0.0,3.9657903553501663,3.160081768306963,4.724549590344958,5.829412700059454,18.232340852326004,6.960808515245903,0.2195081967213115,0.0
