simulation_id,population_row_index,P_W,VX_m_per_s,LS_m,ST_K,has_keyhole,partition,XI_m,XF_m,XL_m,TE_s,DT_s,material,folder_hash,domain_max_x_m,observation_duration_s,max_depth_um,first_keyhole_timestep,keyhole_frame_count,configuration_group,domain_mapping_expected_m,domain_mapping_absolute_error_m,t_90pct_domain_s,observation_completion_ratio,observation_ends_before_90pct_domain_from_TE,observation_ends_before_90pct_domain,TE_vs_time_dat_flag_mismatch
P-122p181848607_VX-0p882188233955_LS-4p98408399334e-05_ST-370p38962934_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p46835745177e-06_H-2afbe2208b,10,122.181848607,0.882188233955,4.98408399334e-05,370.38962934,False,new-data,0.0002,0.0014,0.0012,0.0021,5.46835745177e-06,TI64,2afbe2208b,0.001212,0.0021,43.1616,,0,CFG_MAIN,0.001212,0.0,0.0012364708097610394,1.698382188582233,False,False,False
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,11,124.08408212,0.537482635976,5.36452858207e-05,384.350705088,False,new-data,0.0002,0.0014,0.0012,0.0021,8.97539805031e-06,TI64,1d842653b1,0.001212,0.0021,55.08516,,0,CFG_MAIN,0.001212,0.0,0.0020294609108985374,1.0347575500088009,False,False,False
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,12,126.384227376,0.205870034079,4.55514058242e-05,348.956388187,False,new-data,0.0002,0.0014,0.0012,0.0021,2.34328450209e-05,TI64,1d842653b1,0.001212,0.0021,58.86335,,0,CFG_MAIN,0.001212,0.0,0.00529848846083845,0.39633944954702965,True,True,False
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,13,129.716882801,0.574107735504,5.55330779174e-05,369.509713723,False,new-data,0.0002,0.0014,0.0012,0.0021,8.40281414912e-06,TI64,0e4c2fc094,0.001212,0.0021,55.39056,,0,CFG_MAIN,0.001212,0.0,0.001899991817811694,1.1052679176369635,False,False,False
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,14,131.192514944,0.432823544687,6.72236683266e-05,324.578264519,False,new-data,0.0002,0.0014,0.0012,0.0021,1.11456982002e-05,TI64,dfd65b549a,0.001212,0.0021,58.50217,,0,CFG_MAIN,0.001212,0.0,0.0025201956164118133,0.8332686503875137,True,True,False
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,15,132.334528879,0.441351904611,8.05471929698e-05,380.80221881,False,new-data,0.0002,0.0014,0.0012,0.0021,1.09303269174e-05,TI64,2934a8b202,0.001212,0.0021,54.91077,,0,CFG_MAIN,0.001212,0.0,0.0024714972080191033,0.8496873851146863,True,True,False
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,16,132.644034819,0.797235702485,4.6520297442e-05,303.62522115,False,new-data,0.0002,0.0014,0.0012,0.0021,6.0510594144e-06,TI64,0e4c2fc094,0.001212,0.0021,47.18788,,0,CFG_MAIN,0.001212,0.0,0.001368227735662056,1.5348322105046752,False,False,False
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,17,140.236446589,0.550532928497,7.91865165046e-05,370.758962256,False,new-data,0.0002,0.0014,0.0012,0.0021,8.76263771576e-06,TI64,a88ac79600,0.001212,0.0021,51.045139999999996,,0,CFG_MAIN,0.001212,0.0,0.001981352873801706,1.0598818755442794,False,False,False
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,18,143.707582907,0.952433280409,8.80948922839e-05,329.530804101,False,new-data,0.0002,0.0014,0.0012,0.0021,5.06504833697e-06,TI64,1605f46060,0.001212,0.0021,34.96528,,0,CFG_MAIN,0.001212,0.0,0.0011452770734046397,1.8336174265299778,False,False,False
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,19,144.087720513,0.415546267467,5.02923295381e-05,327.07537462,False,new-data,0.0002,0.0014,0.0012,0.0021,1.16091058462e-05,TI64,0602c4a780,0.001212,0.0021,63.060739999999996,,0,CFG_MAIN,0.001212,0.0,0.002624978457029756,0.800006565530528,True,True,False
