run_id,repeat,fold,budget,C,coefficient,intercept,threshold_log_h,perfect_h_separation,diagnostic_only
w85__r01_f01,1,1,16,1.0,1.4227585286193059,-2.020629625029261,21.276322657531928,False,True
w85__r01_f01,1,1,16,10.0,2.797481995650918,-3.2308093414291768,21.06367626001246,False,True
w85__r01_f01,1,1,16,100.0,3.6749415611362624,-4.185374534431109,21.05084991624924,False,True
w85__r01_f01,1,1,16,1000.0,3.874948493945742,-4.414182906523125,21.05106116978389,False,True
w85__r01_f01,1,1,16,10000.0,3.898273604464237,-4.441055486589532,21.05112317092194,False,True
w85__r01_f01,1,1,16,1000000.0,3.9008841761403525,-4.444065357058342,21.05113052879818,False,True
w85__r01_f01,1,1,20,1.0,1.6898711783283706,-0.9914647342435083,20.754869054382926,False,True
w85__r01_f01,1,1,20,10.0,3.029391532724346,-1.6424999277690964,20.719965779733656,False,True
w85__r01_f01,1,1,20,100.0,3.6215072274378213,-1.9968068905778866,20.72716754279365,False,True
w85__r01_f01,1,1,20,1000.0,3.7203672234843297,-2.0601530332534916,20.729029721830592,False,True
w85__r01_f01,1,1,20,10000.0,3.730862863941506,-2.066808308674078,20.729206924589803,False,True
w85__r01_f01,1,1,20,1000000.0,3.7320264716165514,-2.0675466259546815,20.729226608675294,False,True
w85__r01_f01,1,1,24,1.0,1.7132388435437749,-0.8654762008184732,20.732470084206415,False,True
w85__r01_f01,1,1,24,10.0,3.072004353410159,-1.4783374022795932,20.714942383544937,False,True
w85__r01_f01,1,1,24,100.0,3.712038510384123,-1.8162274882610405,20.720837064839206,False,True
w85__r01_f01,1,1,24,1000.0,3.8186807965662553,-1.8739963847018337,20.721908975764578,False,True
w85__r01_f01,1,1,24,10000.0,3.83018134711998,-1.8802438721315584,20.72202436330865,False,True
w85__r01_f01,1,1,24,1000000.0,3.8314566501841596,-1.8809368560766238,20.722037153539052,False,True
w85__r01_f01,1,1,32,1.0,1.58559479814132,-0.4743973921108402,20.622852797921624,False,True
w85__r01_f01,1,1,32,10.0,2.422862442653185,-0.7299213110222083,20.624191467392553,False,True
w85__r01_f01,1,1,32,100.0,2.6454405827347665,-0.8068546935867175,20.626604086676522,False,True
w85__r01_f01,1,1,32,1000.0,2.6728443735544802,-0.8164979128323356,20.626914727702424,False,True
w85__r01_f01,1,1,32,10000.0,2.675651479917326,-0.8174877459056474,20.626946679160298,False,True
w85__r01_f01,1,1,32,1000000.0,2.6759610255799933,-0.8175969196608253,20.626950203900947,False,True
w85__r01_f01,1,1,40,1.0,1.5213595216513347,-0.648314208390191,20.68405653105829,False,True
w85__r01_f01,1,1,40,10.0,2.174000972692533,-0.840757589920937,20.661164125481275,False,True
w85__r01_f01,1,1,40,100.0,2.316904303367252,-0.8853716332436534,20.658493587325513,False,True
w85__r01_f01,1,1,40,1000.0,2.334214298977367,-0.89087416391271,20.65821679292698,False,True
w85__r01_f01,1,1,40,10000.0,2.333458868403764,-0.8904919990532798,20.65819343007569,False,True
w85__r01_f01,1,1,40,1000000.0,2.3336348543755325,-0.8905481204812039,20.65819068240533,False,True
w85__r01_f01,1,1,60,1.0,1.672663674694084,-0.5953928795804835,20.69960075793382,False,True
w85__r01_f01,1,1,60,10.0,2.2178138004514314,-0.7340758029829265,20.686894396396195,False,True
w85__r01_f01,1,1,60,100.0,2.3140160727740104,-0.7591238302144497,20.685400003486457,False,True
w85__r01_f01,1,1,60,1000.0,2.3244586988871667,-0.7618507617057853,20.685246983682408,False,True
w85__r01_f01,1,1,60,10000.0,2.3255130639552575,-0.762126107702828,20.685231613276947,False,True
w85__r01_f01,1,1,60,1000000.0,2.3256291569038203,-0.7621564254504168,20.685229921790775,False,True
w85__r01_f01,1,1,80,1.0,2.156739508633045,-0.8360842036230258,20.723709696636547,False,True
w85__r01_f01,1,1,80,10.0,2.8101879257313938,-0.9878823486918098,20.706471141424018,False,True
w85__r01_f01,1,1,80,100.0,2.920786832014743,-1.012996918346453,20.704222265527797,False,True
w85__r01_f01,1,1,80,1000.0,2.9329480099451106,-1.0157571537518675,20.70398512340581,False,True
w85__r01_f01,1,1,80,10000.0,2.9341754488173786,-1.0160355027124546,20.703961257943966,False,True
w85__r01_f01,1,1,80,1000000.0,2.9343105940213974,-1.0160661472310248,20.703958631064364,False,True
w85__r01_f02,1,2,16,1.0,1.8255225853678252,-0.7596791594051493,20.566220277152212,True,True
w85__r01_f02,1,2,16,10.0,4.354439474079328,-1.2667317952733106,20.45047813137815,True,True
w85__r01_f02,1,2,16,100.0,9.112835368459864,-2.3982460497710827,20.42484736603307,True,True
w85__r01_f02,1,2,16,1000.0,16.354974394197686,-4.163487498507887,20.416897359562835,True,True
w85__r01_f02,1,2,16,10000.0,24.410389033503577,-6.1078704321128665,20.412873402599057,True,True
w85__r01_f02,1,2,16,1000000.0,29.14965549670719,-6.988273153441336,20.403189596501548,True,True
w85__r01_f02,1,2,20,1.0,1.7678898110326364,-1.2894276994844542,20.860274266728666,True,True
w85__r01_f02,1,2,20,10.0,4.246301604480582,-2.3266376561013704,20.70821856130169,True,True
w85__r01_f02,1,2,20,100.0,10.173215563280383,-4.809681363787592,20.64524535353209,True,True
w85__r01_f02,1,2,20,1000.0,25.78629844265256,-11.192399244626206,20.6127837615143,True,True
w85__r01_f02,1,2,20,10000.0,78.67045027541879,-32.970701549869176,20.600258608928822,True,True
w85__r01_f02,1,2,20,1000000.0,339.5877828687627,-141.99810921962208,20.599462064495174,True,True
w85__r01_f02,1,2,24,1.0,1.7593897441246233,-1.6407944839700188,21.033970535740277,False,True
w85__r01_f02,1,2,24,10.0,4.310279083647326,-2.8356531327036816,20.820551638098653,False,True
w85__r01_f02,1,2,24,100.0,10.113654797846912,-5.281828474548135,20.71517951242803,False,True
w85__r01_f02,1,2,24,1000.0,21.3132248375476,-9.790237663617196,20.666315923334242,False,True
w85__r01_f02,1,2,24,10000.0,31.3706426345123,-13.732696948186348,20.649539849352806,False,True
w85__r01_f02,1,2,24,1000000.0,37.28023929076852,-16.02714391394911,20.64344409342404,False,True
w85__r01_f02,1,2,32,1.0,1.7693332746114048,-1.1905165896553849,20.84556552262688,False,True
w85__r01_f02,1,2,32,10.0,4.501949876640643,-2.1116950761768827,20.705841656911858,False,True
