simulation_id,population_row_index,configuration_group,VX_m_per_s,has_keyhole,observation_duration_s,domain_max_x_m,t_90pct_domain_s,observation_completion_ratio,observation_ends_before_90pct_domain,P_W,LS_m,ST_K
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,15,CFG_MAIN,0.441351904611,False,0.0021,0.001212,0.0024714972080191033,0.8496873851146863,True,132.334528879,8.05471929698e-05,380.80221881
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,16,CFG_MAIN,0.797235702485,False,0.0021,0.001212,0.001368227735662056,1.5348322105046752,False,132.644034819,4.6520297442e-05,303.62522115
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,17,CFG_MAIN,0.550532928497,False,0.0021,0.001212,0.001981352873801706,1.0598818755442794,False,140.236446589,7.91865165046e-05,370.758962256
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,18,CFG_MAIN,0.952433280409,False,0.0021,0.001212,0.0011452770734046397,1.8336174265299778,False,143.707582907,8.80948922839e-05,329.530804101
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,19,CFG_MAIN,0.415546267467,False,0.0021,0.001212,0.002624978457029756,0.800006565530528,True,144.087720513,5.02923295381e-05,327.07537462
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,20,CFG_MAIN,0.674162518859,False,0.0021,0.001212,0.0016180074825965505,1.2978926380673816,False,148.299467422,5.7557139752e-05,331.520012414
P-150p071418192_VX-0p423845414489_LS-8p67749479825e-05_ST-322p128190627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p1381792602e-05_H-2afbe2208b,21,CFG_MAIN,0.423845414489,False,0.0021,0.001212,0.002573579806956504,0.8159840212934543,True,150.071418192,8.67749479825e-05,322.128190627
P-155p252053768_VX-0p916931554055_LS-7p35634948929e-05_ST-366p816583574_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p26115671522e-06_H-1d842653b1,22,CFG_MAIN,0.916931554055,False,0.0021,0.001212,0.0011896198742164467,1.765269768532728,False,155.252053768,7.35634948929e-05,366.816583574
P-155p610380822_VX-0p863747905944_LS-4p82199969556e-05_ST-303p817651114_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p58510251639e-06_H-44aa3a8888,23,CFG_MAIN,0.863747905944,False,0.0021,0.001212,0.001262868474115549,1.662881007042904,False,155.610380822,4.82199969556e-05,303.817651114
P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,24,CFG_MAIN,0.714259673467,False,0.0021,0.001212,0.00152717567646691,1.3750873801619912,False,157.183722649,7.38607203139e-05,347.368293375
P-160p605564338_VX-0p585171267024_LS-4p89218084001e-05_ST-323p833105745_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p24394647322e-06_H-0602c4a780,25,CFG_MAIN,0.585171267024,False,0.0021,0.001212,0.0018640696518601662,1.1265673457557754,False,160.605564338,4.89218084001e-05,323.833105745
P-162p142815649_VX-0p926926325143_LS-6p49234891537e-05_ST-377p454931887_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p20442722594e-06_H-eed8ed7ef3,26,CFG_MAIN,0.926926325143,False,0.0021,0.001212,0.001176792556659472,1.784511627062981,False,162.142815649,6.49234891537e-05,377.454931887
P-163p562272254_VX-0p729793018519_LS-5p10150522361e-05_ST-318p261957537_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p6102586358e-06_H-eed8ed7ef3,27,CFG_MAIN,0.729793018519,False,0.0021,0.001212,0.0014946703686116467,1.4049920598550605,False,163.562272254,5.10150522361e-05,318.261957537
P-164p187091551_VX-0p507792014735_LS-6p92164167976e-05_ST-301p020288893_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p50018996564e-06_H-c15424829d,28,CFG_MAIN,0.507792014735,False,0.0021,0.001212,0.0021481235788421227,0.9775973881036852,True,164.187091551,6.92164167976e-05,301.020288893
P-164p607131174_VX-0p867199563125_LS-5p32762751968e-05_ST-314p058214573_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56287250149e-06_H-0e4c2fc094,29,CFG_MAIN,0.867199563125,False,0.0021,0.001212,0.0012578419620845333,1.6695261116267874,False,164.607131174,5.32762751968e-05,314.058214573
P-166p111836501_VX-0p454755470987_LS-7p13150844087e-05_ST-303p391516497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p06081639712e-05_H-0e4c2fc094,30,CFG_MAIN,0.454755470987,False,0.0021,0.001212,0.0023986517361353145,0.8754918308330581,True,166.111836501,7.13150844087e-05,303.391516497
P-167p350234557_VX-0p509305540745_LS-7p79284260895e-05_ST-367p465417979_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p47195782704e-06_H-0c5439e4b5,31,CFG_MAIN,0.509305540745,False,0.0021,0.001212,0.002141739904114147,0.9805112170558304,True,167.350234557,7.79284260895e-05,367.465417979
P-168p279672268_VX-0p662944494492_LS-8p51138696034e-05_ST-361p222757169_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p27680920966e-06_H-1d842653b1,32,CFG_MAIN,0.662944494492,False,0.0021,0.001212,0.0016453866184315423,1.2762957814752474,False,168.279672268,8.51138696034e-05,361.222757169
P-172p471893954_VX-0p300060565388_LS-5p45268436948e-05_ST-394p546009672_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60771562794e-05_H-0e4c2fc094,33,CFG_MAIN,0.300060565388,False,0.0021,0.001212,0.0036352660956614435,0.5776743558074807,True,172.471893954,5.45268436948e-05,394.546009672
P-173p043282634_VX-0p866796851528_LS-6p96390683614e-05_ST-349p021338305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56545699781e-06_H-27614c4053,34,CFG_MAIN,0.866796851528,False,0.0021,0.001212,0.001258426352238272,1.6687508142728271,False,173.043282634,6.96390683614e-05,349.021338305
P-173p906668607_VX-0p677544388934_LS-8p62016404031e-05_ST-334p396108383_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p12000672104e-06_H-89021150a8,35,CFG_MAIN,0.677544388934,False,0.0021,0.001212,0.0016099314197202442,1.3044033890368536,False,173.906668607,8.62016404031e-05,334.396108383
P-177p821134596_VX-0p63969291749_LS-8p76195222961e-05_ST-320p228793407_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5413068851e-06_H-0e4c2fc094,36,CFG_MAIN,0.63969291749,False,0.0021,0.001212,0.0017051931796900847,1.2315320193701869,False,177.821134596,8.76195222961e-05,320.228793407
P-185p872045369_VX-0p416268682161_LS-7p15564692144e-05_ST-371p982346013_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p15889587897e-05_H-bc28d74e69,37,CFG_MAIN,0.416268682161,False,0.0021,0.001212,0.002620422930539156,0.8013973528952144,True,185.872045369,7.15564692144e-05,371.982346013
P-187p255870651_VX-0p828194463092_LS-4p64611349328e-05_ST-375p783913497_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p82486459159e-06_H-bc28d74e69,38,CFG_MAIN,0.828194463092,False,0.0021,0.001212,0.0013170819760465226,1.5944337848305827,False,187.255870651,4.64611349328e-05,375.783913497
P-198p376734591_VX-0p636800402216_LS-8p40585875992e-05_ST-361p411435367_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p5755614887e-06_H-1605f46060,39,CFG_MAIN,0.636800402216,False,0.0021,0.001212,0.0017129386165651405,1.22596337060286,False,198.376734591,8.40585875992e-05,361.411435367
P-199p601335125_VX-0p449852506485_LS-5p7030843283e-05_ST-364p706449651_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p07237828699e-05_H-1d842653b1,40,CFG_MAIN,0.449852506485,False,0.0021,0.001212,0.0024247947588936507,0.86605268025165,True,199.601335125,5.7030843283e-05,364.706449651
P-203p030488295_VX-0p654564663741_LS-6p39602473907e-05_ST-333p568221635_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p36996796534e-06_H-0e4c2fc094,41,CFG_MAIN,0.654564663741,False,0.0021,0.001212,0.0016664510940230207,1.2601629940008248,False,203.030488295,6.39602473907e-05,333.568221635
P-203p317554156_VX-0p724937635215_LS-5p40301996917e-05_ST-325p306920736_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p65453187788e-06_H-dfd65b549a,42,CFG_MAIN,0.724937635215,False,0.0021,0.001212,0.0015046811574025863,1.3956445122400989,False,203.317554156,5.40301996917e-05,325.306920736
P-204p071587815_VX-0p957219619336_LS-8p8582220221e-05_ST-334p090301355_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p03972182096e-06_H-676863bc48,43,CFG_MAIN,0.957219619336,False,0.0021,0.001212,0.0011395503998932466,1.8428320504268425,False,204.071587815,8.8582220221e-05,334.090301355
P-207p432942583_VX-0p674802143379_LS-5p74396795379e-05_ST-382p34582068_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p14894084192e-06_H-676863bc48,44,CFG_MAIN,0.674802143379,False,0.0021,0.001212,0.0016164738222939467,1.2991240384084157,False,207.432942583,5.74396795379e-05,382.34582068
P-208p096600196_VX-0p256636148953_LS-4p52492384214e-05_ST-395p602757306_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p87975101041e-05_H-1980b1708d,45,CFG_MAIN,0.256636148953,True,0.0021,0.001212,0.004250375500295431,0.4940739941339383,True,208.096600196,4.52492384214e-05,395.602757306
P-209p47686991_VX-0p866693950214_LS-6p90699464413e-05_ST-369p570871734_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56611777644e-06_H-b021dd2b47,46,CFG_MAIN,0.866693950214,False,0.0021,0.001212,0.0012585757633714473,1.668552709432893,False,209.47686991,6.90699464413e-05,369.570871734
P-210p211145159_VX-0p921242046338_LS-8p23126060485e-05_ST-311p238003519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p23653975868e-06_H-0e4c2fc094,47,CFG_MAIN,0.921242046338,False,0.0021,0.001212,0.001184053641858841,1.7735682960302528,False,210.211145159,8.23126060485e-05,311.238003519
