run_id,path,query_count,budget_count_16_80,initial_design_match,unique_queries,all_in_training_pool,no_test_query
w85__r01_f01,A0,80,65,True,True,True,True
w85__r01_f01,A1,80,65,True,True,True,True
w85__r01_f02,A0,80,65,True,True,True,True
w85__r01_f02,A1,80,65,True,True,True,True
w85__r01_f03,A0,80,65,True,True,True,True
w85__r01_f03,A1,80,65,True,True,True,True
w85__r01_f04,A0,80,65,True,True,True,True
w85__r01_f04,A1,80,65,True,True,True,True
w85__r01_f05,A0,80,65,True,True,True,True
w85__r01_f05,A1,80,65,True,True,True,True
w85__r02_f01,A0,80,65,True,True,True,True
w85__r02_f01,A1,80,65,True,True,True,True
w85__r02_f02,A0,80,65,True,True,True,True
w85__r02_f02,A1,80,65,True,True,True,True
w85__r02_f03,A0,80,65,True,True,True,True
w85__r02_f03,A1,80,65,True,True,True,True
w85__r02_f04,A0,80,65,True,True,True,True
w85__r02_f04,A1,80,65,True,True,True,True
w85__r02_f05,A0,80,65,True,True,True,True
w85__r02_f05,A1,80,65,True,True,True,True
w85__r03_f01,A0,80,65,True,True,True,True
w85__r03_f01,A1,80,65,True,True,True,True
w85__r03_f02,A0,80,65,True,True,True,True
w85__r03_f02,A1,80,65,True,True,True,True
w85__r03_f03,A0,80,65,True,True,True,True
w85__r03_f03,A1,80,65,True,True,True,True
w85__r03_f04,A0,80,65,True,True,True,True
w85__r03_f04,A1,80,65,True,True,True,True
w85__r03_f05,A0,80,65,True,True,True,True
w85__r03_f05,A1,80,65,True,True,True,True
w85__r04_f01,A0,80,65,True,True,True,True
w85__r04_f01,A1,80,65,True,True,True,True
w85__r04_f02,A0,80,65,True,True,True,True
w85__r04_f02,A1,80,65,True,True,True,True
w85__r04_f03,A0,80,65,True,True,True,True
w85__r04_f03,A1,80,65,True,True,True,True
w85__r04_f04,A0,80,65,True,True,True,True
w85__r04_f04,A1,80,65,True,True,True,True
w85__r04_f05,A0,80,65,True,True,True,True
w85__r04_f05,A1,80,65,True,True,True,True
w85__r05_f01,A0,80,65,True,True,True,True
w85__r05_f01,A1,80,65,True,True,True,True
w85__r05_f02,A0,80,65,True,True,True,True
w85__r05_f02,A1,80,65,True,True,True,True
w85__r05_f03,A0,80,65,True,True,True,True
w85__r05_f03,A1,80,65,True,True,True,True
w85__r05_f04,A0,80,65,True,True,True,True
w85__r05_f04,A1,80,65,True,True,True,True
w85__r05_f05,A0,80,65,True,True,True,True
w85__r05_f05,A1,80,65,True,True,True,True
w85__r06_f01,A0,80,65,True,True,True,True
w85__r06_f01,A1,80,65,True,True,True,True
w85__r06_f02,A0,80,65,True,True,True,True
w85__r06_f02,A1,80,65,True,True,True,True
w85__r06_f03,A0,80,65,True,True,True,True
w85__r06_f03,A1,80,65,True,True,True,True
w85__r06_f04,A0,80,65,True,True,True,True
w85__r06_f04,A1,80,65,True,True,True,True
