contrast,challenger,incumbent,role,subset,metric,challenger_AULC,incumbent_AULC,mean_difference,ci_low,ci_high,positive_repeat_blocks,signflip_p,interval_excludes_zero,holm_p,supported
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q20,accuracy,0.7805652573529411,0.8424816176470588,-0.06191636029411762,-0.06960937499999999,-0.054397403492647066,0,9.999000099990002e-05,True,0.0029997000299970007,True
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q20,balanced_accuracy,0.7567321535885989,0.8219283088872931,-0.06519615529869437,-0.07305178200976542,-0.05725567546331706,0,9.999000099990002e-05,True,0.0029997000299970007,True
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q20,keyhole_recall,0.6552943948412697,0.7413077876984128,-0.08601339285714286,-0.09800900762648812,-0.07358027111235119,0,9.999000099990002e-05,True,0.0029997000299970007,True
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q20,roc_auc,0.8570476716209139,0.9139023630449412,-0.05685469142402736,-0.06306239115973003,-0.0515094012270282,0,9.999000099990002e-05,True,0.0029997000299970007,True
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q20,pr_auc,0.8001018016931777,0.8674035693492576,-0.06730176765607987,-0.07757106433625865,-0.05772515452161263,0,9.999000099990002e-05,True,0.0029997000299970007,True
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q30,accuracy,0.8328374999999999,0.8838468749999999,-0.05100937500000002,-0.05638437500000002,-0.045746796875000016,0,9.999000099990002e-05,True,0.0029997000299970007,True
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q30,balanced_accuracy,0.7977114526494908,0.8572302999050019,-0.059518847255511,-0.06520783493528563,-0.05334665333927022,0,9.999000099990002e-05,True,0.0029997000299970007,True
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q30,keyhole_recall,0.6985625648223304,0.7832226224296536,-0.08466005760732327,-0.09412430689427759,-0.07489844229121576,0,9.999000099990002e-05,True,0.0029997000299970007,True
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q30,roc_auc,0.9018290973680466,0.945653405140302,-0.043824307772255475,-0.04812221463112071,-0.03978192032475025,0,9.999000099990002e-05,True,0.0029997000299970007,True
M3_T2@A0 - M3@A0,M3_T2@A0,M3@A0,A_same_path_vs_M3,B1_q30,pr_auc,0.8221067847929678,0.8881522845992403,-0.06604549980627268,-0.07503580550120213,-0.05803723688842401,0,0.00019998000199980003,True,0.0029997000299970007,True
