cell,model,path,subset,metric,mean_AULC,ci_low,ci_high
H@A0,H,A0,B1_q20,accuracy,0.8308134191176471,0.8267048483455881,0.834862132352941
H@A0,H,A0,B1_q20,balanced_accuracy,0.8102735501260891,0.8040985021597327,0.8167712831195497
H@A0,H,A0,B1_q20,keyhole_recall,0.7271648065476192,0.7142710511222717,0.7397914798797123
H@A0,H,A0,B1_q20,roc_auc,0.9079543062189547,0.9043894227625671,0.911705388464617
H@A0,H,A0,B1_q20,pr_auc,0.8588179168053662,0.8508050929659174,0.8671635848204422
H@A0,H,A0,B1_q30,accuracy,0.871596875,0.8686531249999998,0.8743187499999998
H@A0,H,A0,B1_q30,balanced_accuracy,0.8437662961524495,0.8398858859794717,0.8476701864244284
H@A0,H,A0,B1_q30,keyhole_recall,0.766631792252886,0.7585049918831169,0.7745283492007125
H@A0,H,A0,B1_q30,roc_auc,0.9403432644576089,0.9380307109984101,0.9427589679857005
H@A0,H,A0,B1_q30,pr_auc,0.8783785090941325,0.874133586601554,0.8826839812012991
H@A0,H,A0,full81,accuracy,0.9596305941358025,0.9586631944444445,0.9605661651234566
H@A0,H,A0,full81,balanced_accuracy,0.924267589103993,0.9222985695129267,0.9261864425210595
H@A0,H,A0,full81,keyhole_recall,0.8691324404761905,0.8647881882440477,0.8735186662946428
H@A0,H,A0,full81,roc_auc,0.9901301682873511,0.9897532225048157,0.9905509156669473
H@A0,H,A0,full81,pr_auc,0.9582289388126366,0.9559793867164273,0.960293113713911
T2@A0,T2,A0,B1_q20,accuracy,0.7283731617647058,0.7212634420955882,0.7357308134191176
T2@A0,T2,A0,B1_q20,balanced_accuracy,0.7052761884382976,0.6971856993212948,0.7128502001714647
T2@A0,T2,A0,B1_q20,keyhole_recall,0.6047160218253969,0.591997426060268,0.6172386796254961
T2@A0,T2,A0,B1_q20,roc_auc,0.7784912885508588,0.7689594100533798,0.7873410654774913
T2@A0,T2,A0,B1_q20,pr_auc,0.7302113401635189,0.7180625200070601,0.7420174495976007
T2@A0,T2,A0,B1_q30,accuracy,0.7812375,0.7780559374999999,0.7844407031250001
T2@A0,T2,A0,B1_q30,balanced_accuracy,0.7434305558295723,0.7384819102221761,0.7484763823701509
T2@A0,T2,A0,B1_q30,keyhole_recall,0.633949686598124,0.6226312302010056,0.6447083770179474
T2@A0,T2,A0,B1_q30,roc_auc,0.832315760484188,0.8259918038389582,0.8382518369039235
T2@A0,T2,A0,B1_q30,pr_auc,0.7389507253715764,0.730249466265589,0.7477075074332414
T2@A0,T2,A0,full81,accuracy,0.9092939814814812,0.9069607687114198,0.9116262538580244
T2@A0,T2,A0,full81,balanced_accuracy,0.8633009523708568,0.8601208620616985,0.8660875562894235
T2@A0,T2,A0,full81,keyhole_recall,0.7915323660714285,0.7851498604910715,0.7974857421875
T2@A0,T2,A0,full81,roc_auc,0.9473484353799186,0.9459404252580444,0.9487598878662021
T2@A0,T2,A0,full81,pr_auc,0.8604855591589675,0.8559022418874949,0.865086321030622
T3@A0,T3,A0,B1_q20,accuracy,0.8105698529411764,0.8051011029411764,0.8159973575367647
T3@A0,T3,A0,B1_q20,balanced_accuracy,0.7903864858015248,0.7822482600570003,0.7982144092859181
T3@A0,T3,A0,B1_q20,keyhole_recall,0.709827380952381,0.6950532397073412,0.7247085007440476
T3@A0,T3,A0,B1_q20,roc_auc,0.8809056190120643,0.8729119303195718,0.8885648652562715
T3@A0,T3,A0,B1_q20,pr_auc,0.8266818369344628,0.8142549320811664,0.8375276676003593
T3@A0,T3,A0,B1_q30,accuracy,0.8545593749999998,0.8507592968749997,0.8583470312500002
T3@A0,T3,A0,B1_q30,balanced_accuracy,0.8264647238724507,0.8203837503613874,0.832434252968189
T3@A0,T3,A0,B1_q30,keyhole_recall,0.7486082758387446,0.737663588310561,0.7594400138381584
T3@A0,T3,A0,B1_q30,roc_auc,0.9217072520671007,0.9174465553691837,0.9257773363250881
T3@A0,T3,A0,B1_q30,pr_auc,0.8484514140453566,0.8417040336500009,0.8546844763579834
