cell,model,path,run_id,repeat,fold,subset,accuracy_AULC,balanced_accuracy_AULC,keyhole_recall_AULC,roc_auc_AULC,pr_auc_AULC
H@A0,H,A0,w85__r01_f01,1,1,B1_q20,0.8855698529411766,0.8610491071428573,0.7220982142857143,0.9857142857142858,0.9821428571428569
H@A0,H,A0,w85__r01_f01,1,1,B1_q30,0.9221875,0.87841796875,0.7568359375,0.9852941176470588,0.9749999999999999
H@A0,H,A0,w85__r01_f01,1,1,full81,0.9728973765432098,0.9268229166666668,0.8536458333333334,0.9969696969696971,0.9888888888888889
H@A0,H,A0,w85__r01_f02,1,2,B1_q20,0.7633272058823529,0.7393880208333334,0.6812499999999999,0.8335937499999999,0.5927232142857142
H@A0,H,A0,w85__r01_f02,1,2,B1_q30,0.8003125,0.7777549342105263,0.7343750000000001,0.8861019736842106,0.6233651620370371
H@A0,H,A0,w85__r01_f02,1,2,full81,0.9381751543209875,0.9176022787846482,0.8861607142857142,0.9849746801705757,0.9282671828200979
H@A0,H,A0,w85__r01_f03,1,3,B1_q20,0.8933823529411766,0.8889508928571427,0.8638392857142856,0.9857142857142858,0.9821428571428569
H@A0,H,A0,w85__r01_f03,1,3,B1_q30,0.9275,0.9080481150793649,0.8638392857142856,0.9920634920634921,0.9821428571428569
H@A0,H,A0,w85__r01_f03,1,3,full81,0.9776234567901234,0.9595465751599147,0.931919642857143,0.9989339019189762,0.9952380952380953
H@A0,H,A0,w85__r01_f04,1,4,B1_q20,0.8079044117647056,0.7758049242424243,0.6666666666666666,0.8475378787878789,0.8384259259259259
H@A0,H,A0,w85__r01_f04,1,4,B1_q30,0.868125,0.8368566176470589,0.75,0.9110753676470589,0.8862351190476191
H@A0,H,A0,w85__r01_f04,1,4,full81,0.9571759259259258,0.9222064393939394,0.8666666666666669,0.985653409090909,0.9548770703933747
H@A0,H,A0,w85__r01_f05,1,5,B1_q20,0.7840073529411764,0.758314732142857,0.6127232142857143,0.8236607142857142,0.7925735799127342
H@A0,H,A0,w85__r01_f05,1,5,B1_q30,0.8084374999999999,0.7916751217532467,0.6519886363636365,0.90234375,0.880917495749757
H@A0,H,A0,w85__r01_f05,1,5,full81,0.9408757716049381,0.8651160037878789,0.7447916666666665,0.9796796085858586,0.9317876360998298
H@A0,H,A0,w85__r02_f01,2,1,B1_q20,0.8621323529411765,0.8638950892857142,0.8738839285714284,0.9386160714285715,0.9245535714285711
H@A0,H,A0,w85__r02_f01,2,1,B1_q30,0.905625,0.8959263392857141,0.8738839285714284,0.9658978174603174,0.9245535714285711
H@A0,H,A0,w85__r02_f01,2,1,full81,0.9690393518518517,0.9582623106060606,0.9411458333333333,0.9950915404040406,0.9770138888888891
H@A0,H,A0,w85__r02_f02,2,2,B1_q20,0.8221507352941175,0.8161458333333332,0.8015625,0.9000000000000001,0.8909090909090908
H@A0,H,A0,w85__r02_f02,2,2,B1_q30,0.8790625,0.8499999999999999,0.8015625,0.9399999999999997,0.8909090909090908
H@A0,H,A0,w85__r02_f02,2,2,full81,0.9625771604938271,0.9514796401515151,0.9338541666666669,0.993939393939394,0.9809523809523809
H@A0,H,A0,w85__r02_f03,2,3,B1_q20,0.8800551470588237,0.8973772321428573,0.7992187499999999,0.9714285714285714,0.9833333333333333
H@A0,H,A0,w85__r02_f03,2,3,B1_q30,0.9184375,0.9076197240259741,0.817471590909091,0.987012987012987,0.9860139860139859
H@A0,H,A0,w85__r02_f03,2,3,full81,0.9748263888888888,0.928059201759062,0.8565848214285714,0.997867803837953,0.9910714285714286
H@A0,H,A0,w85__r02_f04,2,4,B1_q20,0.7601102941176471,0.7143229166666667,0.6031249999999999,0.8330729166666666,0.6091110819327732
H@A0,H,A0,w85__r02_f04,2,4,B1_q30,0.8312499999999998,0.8102596507352943,0.751953125,0.882467830882353,0.6966142646416084
H@A0,H,A0,w85__r02_f04,2,4,full81,0.9479166666666665,0.9169270833333333,0.8677083333333335,0.980279356060606,0.9040726210517879
H@A0,H,A0,w85__r02_f05,2,5,B1_q20,0.793658088235294,0.64921875,0.2984375000000001,0.8666666666666669,0.8242424242424242
H@A0,H,A0,w85__r02_f05,2,5,B1_q30,0.8074999999999999,0.7085248161764706,0.43359375,0.911764705882353,0.8654761904761905
H@A0,H,A0,w85__r02_f05,2,5,full81,0.9404899691358024,0.8357917444029851,0.6757812500000001,0.9818763326226012,0.9372749099639855
H@A0,H,A0,w85__r03_f01,3,1,B1_q20,0.8230698529411764,0.7498046874999998,0.571875,0.8333333333333333,0.7909090909090909
H@A0,H,A0,w85__r03_f01,3,1,B1_q30,0.8796875,0.7987938596491226,0.6432291666666666,0.8947368421052629,0.8269230769230768
H@A0,H,A0,w85__r03_f01,3,1,full81,0.9617091049382716,0.918951231060606,0.8510416666666667,0.9868686868686868,0.9592677345537758
H@A0,H,A0,w85__r03_f02,3,2,B1_q20,0.8304227941176471,0.8151041666666665,0.7630208333333335,0.9393939393939394,0.9166666666666667
H@A0,H,A0,w85__r03_f02,3,2,B1_q30,0.8821875,0.8561197916666669,0.796875,0.9682539682539683,0.9367346938775508
H@A0,H,A0,w85__r03_f02,3,2,full81,0.9622878086419753,0.9402343750000001,0.9052083333333334,0.9959595959595962,0.9844444444444446
H@A0,H,A0,w85__r03_f03,3,3,B1_q20,0.8235294117647058,0.7533203124999999,0.5828125,0.9500000000000001,0.8766666666666668
H@A0,H,A0,w85__r03_f03,3,3,B1_q30,0.8390624999999999,0.7986924913194443,0.6545138888888888,0.9722222222222222,0.9467813051146388
H@A0,H,A0,w85__r03_f03,3,3,full81,0.9502314814814814,0.8818505130597016,0.77734375,0.9957356076759061,0.9786891679748823
