run_id,repeat,fold,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,brier_score,log_loss,false_negative,false_positive,true_negative,true_positive,row_count
w85__r01_f01,1,1,gpc_1d_h,full81,0.9969696969696971,0.9888888888888889,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,0.017650194579634373,0.07020698517777314,2,0,66,13,81
w85__r01_f01,1,1,gpc_1d_h,B1_q30,0.9852941176470588,0.975,0.92,0.875,0.75,1.0,0.04768552188088729,0.16265643178638164,2,0,17,6,25
w85__r01_f01,1,1,gpc_1d_h,B1_q20,0.9857142857142858,0.982142857142857,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,0.06057965225023005,0.20125431541975244,2,0,10,5,17
w85__r01_f01,1,1,gpc_4d,full81,0.997979797979798,0.9913888888888889,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,0.018936606383677782,0.07149402638462321,2,1,65,13,81
w85__r01_f01,1,1,gpc_4d,B1_q30,0.9852941176470588,0.9704861111111112,0.88,0.8455882352941176,0.75,0.9411764705882353,0.05050222675085916,0.17780264245101413,2,1,16,6,25
w85__r01_f01,1,1,gpc_4d,B1_q20,0.9714285714285714,0.9617346938775511,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,0.07219068413315904,0.24193394275715926,2,1,9,5,17
w85__r01_f01,1,1,gpc_5d_h_augmented,full81,0.997979797979798,0.9913888888888889,0.9629629629629629,0.9257575757575758,0.8666666666666667,0.9848484848484849,0.019349212645915177,0.07482735101198461,2,1,65,13,81
w85__r01_f01,1,1,gpc_5d_h_augmented,B1_q30,0.9852941176470588,0.9704861111111112,0.88,0.8455882352941176,0.75,0.9411764705882353,0.051801312339064036,0.1814850703925358,2,1,16,6,25
w85__r01_f01,1,1,gpc_5d_h_augmented,B1_q20,0.9714285714285714,0.9617346938775511,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,0.07378301875618115,0.24572408602514262,2,1,9,5,17
w85__r01_f01,1,1,log_areal_energy,full81,0.9757575757575758,0.8989680964603566,0.9012345679012346,0.8106060606060606,0.6666666666666666,0.9545454545454546,0.050690380171901285,0.14868282014326456,5,3,63,10,81
w85__r01_f01,1,1,log_areal_energy,B1_q30,0.875,0.7362959956709957,0.72,0.6286764705882353,0.375,0.8823529411764706,0.1399791912657369,0.3914335965127208,5,2,15,3,25
w85__r01_f01,1,1,log_areal_energy,B1_q20,0.8571428571428572,0.7869614512471654,0.6470588235294118,0.5928571428571429,0.2857142857142857,0.9,0.1564896799202083,0.43161396508450817,5,1,9,2,17
w85__r01_f01,1,1,log_h_logistic,full81,0.9969696969696971,0.9888888888888889,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,0.01782375070684778,0.06221587945471467,2,0,66,13,81
w85__r01_f01,1,1,log_h_logistic,B1_q30,0.9852941176470588,0.975,0.92,0.875,0.75,1.0,0.04830503417512551,0.15769502884198278,2,0,17,6,25
w85__r01_f01,1,1,log_h_logistic,B1_q20,0.9857142857142858,0.982142857142857,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,0.06373977850745835,0.20101073745214204,2,0,10,5,17
w85__r01_f01,1,1,log_h_st_logistic,full81,0.995959595959596,0.9859649122807017,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,0.0183389360635961,0.06417171671004682,2,0,66,13,81
w85__r01_f01,1,1,log_h_st_logistic,B1_q30,0.9779411764705882,0.9659090909090909,0.92,0.875,0.75,1.0,0.04938099319803004,0.16314281264076022,2,0,17,6,25
w85__r01_f01,1,1,log_h_st_logistic,B1_q20,0.9714285714285715,0.9682539682539681,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,0.0651031061927751,0.20765166884172898,2,0,10,5,17
w85__r01_f01,1,1,log_irradiance,full81,0.9696969696969696,0.910271397447868,0.9259259259259259,0.8257575757575757,0.6666666666666666,0.9848484848484849,0.049960043439093375,0.1694150785031469,5,1,65,10,81
w85__r01_f01,1,1,log_irradiance,B1_q30,0.9338235294117646,0.9007936507936507,0.84,0.7830882352941176,0.625,0.9411764705882353,0.09118650222358575,0.2966277372106434,3,1,16,5,25
w85__r01_f01,1,1,log_irradiance,B1_q20,0.9,0.8885281385281385,0.7647058823529411,0.7357142857142858,0.5714285714285714,0.9,0.13334874835928867,0.42132605033380527,3,1,9,4,17
w85__r01_f01,1,1,log_king_style,full81,0.9939393939393939,0.9809523809523808,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,0.014792441515321188,0.06141341304730877,1,0,66,14,81
w85__r01_f01,1,1,log_king_style,B1_q30,0.9705882352941175,0.9583333333333333,0.96,0.9375,0.875,1.0,0.042552243828966475,0.16789313856664412,1,0,17,7,25
w85__r01_f01,1,1,log_king_style,B1_q20,0.9571428571428571,0.9571428571428571,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,0.06015523175608196,0.22595460638013823,1,0,10,6,17
w85__r01_f01,1,1,log_linear_energy,full81,0.9222222222222222,0.7626742023408689,0.8888888888888888,0.7515151515151515,0.5333333333333333,0.9696969696969697,0.08468624021539659,0.2648782736914735,7,2,64,8,81
w85__r01_f01,1,1,log_linear_energy,B1_q30,0.6985294117647058,0.5396051864801865,0.68,0.5330882352941176,0.125,0.9411764705882353,0.2172055722909095,0.6140921723414065,7,1,16,1,25
w85__r01_f01,1,1,log_linear_energy,B1_q20,0.7,0.626736755308184,0.5882352941176471,0.5214285714285715,0.14285714285714285,0.9,0.2578734481146741,0.7211303600847495,6,1,9,1,17
w85__r01_f01,1,1,log_volumetric_energy,full81,0.98989898989899,0.9437987393869746,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,0.031092195143418152,0.10510419705688369,1,2,64,14,81
w85__r01_f01,1,1,log_volumetric_energy,B1_q30,0.9411764705882353,0.7713789682539682,0.92,0.9080882352941176,0.875,0.9411764705882353,0.08181390067285248,0.2702239726215567,1,1,16,7,25
w85__r01_f01,1,1,log_volumetric_energy,B1_q20,1.0,1.0,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,0.07183411538842968,0.2497908461485391,1,0,10,6,17
w85__r01_f01,1,1,logistic_M1,full81,0.998989898989899,0.9958333333333333,0.9753086419753086,0.9333333333333333,0.8666666666666667,1.0,0.013786037715316534,0.052281609510274926,2,0,66,13,81
w85__r01_f01,1,1,logistic_M1,B1_q30,0.9926470588235294,0.9861111111111112,0.92,0.875,0.75,1.0,0.03810627112725105,0.13373241124797416,2,0,17,6,25
w85__r01_f01,1,1,logistic_M1,B1_q20,1.0,1.0,0.8823529411764706,0.8571428571428572,0.7142857142857143,1.0,0.044921194689300725,0.1579285316186685,2,0,10,5,17
w85__r01_f01,1,1,logistic_M3,full81,0.998989898989899,0.9958333333333333,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,0.010508525464669113,0.035704643926755646,1,0,66,14,81
w85__r01_f01,1,1,logistic_M3,B1_q30,0.9926470588235294,0.9861111111111112,0.96,0.9375,0.875,1.0,0.03375519526246484,0.1088640448521386,1,0,17,7,25
w85__r01_f01,1,1,logistic_M3,B1_q20,0.9857142857142858,0.982142857142857,0.9411764705882353,0.9285714285714286,0.8571428571428571,1.0,0.04891920575262489,0.15237626673187277,1,0,10,6,17
w85__r01_f02,1,2,gpc_1d_h,full81,0.9829424307036247,0.9104582742187783,0.9259259259259259,0.8987206823027718,0.8571428571428571,0.9402985074626866,0.04186817705569663,0.1475908266009386,2,4,63,12,81
w85__r01_f02,1,2,gpc_1d_h,B1_q30,0.8859649122807017,0.6231481481481481,0.76,0.7280701754385965,0.6666666666666666,0.7894736842105263,0.13249705491367325,0.42845831697558945,2,4,15,4,25
w85__r01_f02,1,2,gpc_1d_h,B1_q20,0.8333333333333334,0.5926190476190476,0.7058823529411765,0.675,0.6,0.75,0.17393207983999473,0.5705369180404868,2,3,9,3,17
w85__r01_f02,1,2,gpc_4d,full81,0.9904051172707888,0.9566780558377197,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,0.03499309102378383,0.12281315637501401,1,3,64,13,81
w85__r01_f02,1,2,gpc_4d,B1_q30,0.9210526315789473,0.7746031746031746,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,0.11298262748161045,0.3795443057935614,1,3,16,5,25
w85__r01_f02,1,2,gpc_4d,B1_q20,0.85,0.6783333333333332,0.7647058823529411,0.775,0.8,0.75,0.16258378012739902,0.5313909694706613,1,3,9,4,17
w85__r01_f02,1,2,gpc_5d_h_augmented,full81,0.9904051172707888,0.9566780558377197,0.9506172839506173,0.9418976545842217,0.9285714285714286,0.9552238805970149,0.036248669931477046,0.12867696330006592,1,3,64,13,81
w85__r01_f02,1,2,gpc_5d_h_augmented,B1_q30,0.9210526315789473,0.7746031746031746,0.84,0.8377192982456141,0.8333333333333334,0.8421052631578947,0.11679492629307266,0.38728001497491116,1,3,16,5,25
w85__r01_f02,1,2,gpc_5d_h_augmented,B1_q20,0.85,0.6783333333333332,0.7647058823529411,0.775,0.8,0.75,0.16665206294498133,0.5382983828072616,1,3,9,4,17
w85__r01_f02,1,2,log_areal_energy,full81,0.9445628997867803,0.8124716716981323,0.8765432098765432,0.8406183368869936,0.7857142857142857,0.8955223880597015,0.08250895285978647,0.24485870455894335,3,7,60,11,81
w85__r01_f02,1,2,log_areal_energy,B1_q30,0.6666666666666667,0.3510975135975136,0.64,0.5921052631578947,0.5,0.6842105263157895,0.2318381570404289,0.6471361672812523,3,6,13,3,25
w85__r01_f02,1,2,log_areal_energy,B1_q20,0.5333333333333333,0.3441558441558441,0.5294117647058824,0.4916666666666667,0.4,0.5833333333333334,0.2824027197618721,0.7749737818613481,3,5,7,2,17
w85__r01_f02,1,2,log_h_logistic,full81,0.9850746268656717,0.9295909272800029,0.9259259259259259,0.8987206823027718,0.8571428571428571,0.9402985074626866,0.04237322601581901,0.16622486411070672,2,4,63,12,81
w85__r01_f02,1,2,log_h_logistic,B1_q30,0.8859649122807017,0.6231481481481481,0.76,0.7280701754385965,0.6666666666666666,0.7894736842105263,0.13544601230073966,0.5204444214875634,2,4,15,4,25
w85__r01_f02,1,2,log_h_logistic,B1_q20,0.8333333333333334,0.5926190476190476,0.7058823529411765,0.675,0.6,0.75,0.17860705985278091,0.7100487795240731,2,3,9,3,17
w85__r01_f02,1,2,log_h_st_logistic,full81,0.9840085287846482,0.9266669506718157,0.9382716049382716,0.906183368869936,0.8571428571428571,0.9552238805970149,0.04339003632006641,0.1651734902951692,2,3,64,12,81
w85__r01_f02,1,2,log_h_st_logistic,B1_q30,0.8859649122807017,0.6231481481481481,0.8,0.7543859649122806,0.6666666666666666,0.8421052631578947,0.13803532950292002,0.5140509934078719,2,3,16,4,25
w85__r01_f02,1,2,log_h_st_logistic,B1_q20,0.8333333333333334,0.5926190476190476,0.7647058823529411,0.7166666666666667,0.6,0.8333333333333334,0.18085398127477592,0.6966556424271007,2,2,10,3,17
w85__r01_f02,1,2,log_irradiance,full81,0.9808102345415778,0.8516696440568621,0.9506172839506173,0.9136460554371002,0.8571428571428571,0.9701492537313433,0.03874382052197445,0.15768708128254036,2,2,65,12,81
