target,target_label,target_unit,model,model_label,n,target_median_abs_scale,relative_error_denominator_definition,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2
depth,T0 penetration depth,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",164,74.74146999999999,median(abs(y_observed)),12.635219460909015,16.905232745501284,21.064829220021977,28.18358967253652,0.9163162374270124
depth,T0 penetration depth,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",164,74.74146999999999,median(abs(y_observed)),11.863614113553,15.872866982082371,21.06806977530666,28.18792535831401,0.9162904880876608
depth,T0 penetration depth,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,164,74.74146999999999,median(abs(y_observed)),11.888521899325587,15.906192237489565,21.11876541366957,28.25575335040852,0.915887146636936
depth,T0 penetration depth,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,164,74.74146999999999,median(abs(y_observed)),11.937465947815776,15.971676698111208,21.80818528088596,29.17815943529872,0.9103057980484144
depth,T0 penetration depth,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,164,74.74146999999999,median(abs(y_observed)),12.28433412204074,16.435767348489055,21.90385755290873,29.30616370390993,0.9095170968430366
depth,T0 penetration depth,um,rbf_learned_nugget,RBF + learned nugget,164,74.74146999999999,median(abs(y_observed)),13.36996041181298,17.88827596221078,22.51632343966173,30.12560957078009,0.9043862678319512
depth,T0 penetration depth,um,rbf_no_nugget,"RBF, numerical jitter",164,74.74146999999999,median(abs(y_observed)),15.14588450098989,20.264365286085344,22.8289032718688,30.5438242944229,0.9017131515887457
depth,T0 penetration depth,um,polynomial_ridge_degree2,Polynomial Ridge degree 2,164,74.74146999999999,median(abs(y_observed)),22.58877248147068,30.222542427210325,33.603820277403464,44.96007407588246,0.7870377531031292
depth,T0 penetration depth,um,linear_ridge,Linear Ridge,164,74.74146999999999,median(abs(y_observed)),32.74164875539755,43.80653572293608,43.2580835080994,57.87695038390254,0.6470933329865559
depth,T0 penetration depth,um,training_mean,Training-fold mean,164,74.74146999999999,median(abs(y_observed)),55.84733734849618,74.72068364255638,73.26449945264024,98.02389416831144,-0.0123075764989271
kinetic_energy,T0 melt kinetic energy,nJ,matern32_learned_nugget,Matérn 3/2 + learned nugget,164,3.34997725,median(abs(y_observed)),0.3022419019973037,9.022207598493504,0.5638728839089049,16.83214069316157,0.8899646760968756
kinetic_energy,T0 melt kinetic energy,nJ,matern52_learned_nugget,Matérn 5/2 + learned nugget,164,3.34997725,median(abs(y_observed)),0.311086218601192,9.28621884226802,0.5691880356572605,16.990803016864085,0.8878804797307795
kinetic_energy,T0 melt kinetic energy,nJ,rbf_learned_nugget,RBF + learned nugget,164,3.34997725,median(abs(y_observed)),0.3264536948141442,9.7449525907719,0.5775769640891225,17.241220491545803,0.8845511974116662
kinetic_energy,T0 melt kinetic energy,nJ,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,164,3.34997725,median(abs(y_observed)),0.3446151248527348,10.287088512399146,0.6127335306436644,18.290677366351204,0.870068934650929
kinetic_energy,T0 melt kinetic energy,nJ,matern32_no_nugget,"Matérn 3/2, numerical jitter",164,3.34997725,median(abs(y_observed)),0.3446885973424161,10.289281735940628,0.6128345476557322,18.29369282002534,0.8700260895012092
kinetic_energy,T0 melt kinetic energy,nJ,matern52_no_nugget,"Matérn 5/2, numerical jitter",164,3.34997725,median(abs(y_observed)),0.3833653667921832,11.44382000779806,0.6594862482681527,19.686290355200256,0.8494845111115648
kinetic_energy,T0 melt kinetic energy,nJ,polynomial_ridge_degree2,Polynomial Ridge degree 2,164,3.34997725,median(abs(y_observed)),0.4373242179238373,13.054542920368707,0.6787167483898412,20.26033903334243,0.840578519482121
kinetic_energy,T0 melt kinetic energy,nJ,linear_ridge,Linear Ridge,164,3.34997725,median(abs(y_observed)),0.4490389727501093,13.404239469092191,0.7308322906347418,21.81603742636586,0.8151560838596784
kinetic_energy,T0 melt kinetic energy,nJ,rbf_no_nugget,"RBF, numerical jitter",164,3.34997725,median(abs(y_observed)),0.5060883280279385,15.107216863276864,0.7813113279457069,23.322884594088123,0.7887396730095558
kinetic_energy,T0 melt kinetic energy,nJ,training_mean,Training-fold mean,164,3.34997725,median(abs(y_observed)),1.386363829242107,41.38427594522044,1.7102964364925408,51.05397167973427,-0.0123075764989273
total_height,T0 total vertical melt-pool height,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",164,100.6287575,median(abs(y_observed)),12.634882083514585,12.555935696129987,21.82113441648541,21.684789675044343,0.9053372465213548
