target,model,model_label,n,coverage_95,coverage_error_from_0_95,median_interval_width,standardized_residual_mean,standardized_residual_std,standardized_residual_q025,standardized_residual_q975,interval_definition,retrospective_oracle,dataset_revision
depth,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,164,0.9146341463414634,0.0353658536585365,70.75310123438422,-0.0319296869501996,1.0656504999236034,-2.380067581238783,2.5279201227581587,retrospective oracle: latent variance plus held-out target-summary variance,True,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,matern32_learned_nugget,Matérn 3/2 + learned nugget,164,0.9207317073170732,0.0292682926829267,70.77279028284968,-0.0222403362666397,1.061574624604424,-2.4399012266252496,2.6210295577655662,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,matern32_no_nugget,"Matérn 3/2, numerical jitter",164,0.9146341463414634,0.0353658536585365,71.10099547561722,-0.0330151020626422,1.0635580392045956,-2.380238214807304,2.525607777315511,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,matern52_learned_nugget,Matérn 5/2 + learned nugget,164,0.9207317073170732,0.0292682926829267,68.37617263514339,-0.0216163209276902,1.083435552883271,-2.5870323688924497,2.602900697995872,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,matern52_no_nugget,"Matérn 5/2, numerical jitter",164,0.9085365853658536,0.0414634146341462,72.32592306582073,-0.0434969281099134,1.12245713687338,-2.504459365363303,2.3640842240353166,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,rbf_learned_nugget,RBF + learned nugget,164,0.9329268292682928,0.0170731707317072,68.49473905706155,-0.0277214570492983,1.1121318780078424,-2.7943533243763,2.5082406223550806,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
depth,rbf_no_nugget,"RBF, numerical jitter",164,0.902439024390244,0.047560975609756,80.141528605307,-0.060753587379406,1.1815524183587778,-2.767671032490185,2.729626444178197,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,164,0.9146341463414634,0.0353658536585365,2.0891877291501526,-0.0015683542245756,1.2014432793335652,-2.923247628091969,2.5120495014534003,retrospective oracle: latent variance plus held-out target-summary variance,True,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,matern32_learned_nugget,Matérn 3/2 + learned nugget,164,0.9329268292682928,0.0170731707317072,2.040523240932945,0.0038013738727844,1.0766035955068405,-1.8827736358475664,2.879113478936843,total predictive variance including learned WhiteKernel nugget,False,d69dac5bda8b622bc0de316b112815c6056c06ec
kinetic_energy,matern32_no_nugget,"Matérn 3/2, numerical jitter",164,0.9146341463414634,0.0353658536585365,2.093097551404057,-0.0015769694186637,1.200702816490481,-2.922020724363614,2.512652215015786,latent predictive variance; numerical jitter excluded,False,d69dac5bda8b622bc0de316b112815c6056c06ec
