target,target_label,target_unit,model,model_label,model_family,kernel,noise_method,probabilistic,probabilistic_deployable,eligible_n,n,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2,target_median_abs_scale,relative_error_denominator_definition,target_min,target_median,target_max,target_range,NLPD,coverage_95,calibration_absolute_error_from_0_95,median_predictive_interval_width,fit_failures,warnings,convergence_warning_folds,bound_hit_folds,bound_hit_fraction,aggregate_fold_runtime_seconds,metrics_recomputed_from_prediction_rows,dataset_revision,partition,rank_by_RMSE,probabilistic_calibration_rank
depth,T0 penetration depth,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,164,164,11.937465947815776,15.971676698111208,21.80818528088596,29.17815943529872,0.9103057980484144,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.409518022784884,0.9207317073170732,0.0292682926829267,70.77279028284968,0,0,0,0,0.0,538.7592589993146,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,2.0
depth,T0 penetration depth,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,164,164,12.28433412204074,16.435767348489055,21.90385755290873,29.30616370390993,0.9095170968430366,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.417572283893989,0.9207317073170732,0.0292682926829267,68.37617263514339,0,0,0,0,0.0,522.1449945999193,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,3.0
depth,T0 penetration depth,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,164,164,13.36996041181298,17.88827596221078,22.51632343966173,30.12560957078009,0.9043862678319512,74.74146999999999,median(abs(y_observed)),26.90932,74.74146999999999,300.5299,273.62058,4.467655386515749,0.9329268292682928,0.0170731707317072,68.49473905706155,0,0,0,0,0.0,333.69766129972413,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,1.0
kinetic_energy,T0 melt kinetic energy,nJ,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,164,164,0.3022419019973037,9.022207598493504,0.5638728839089049,16.83214069316157,0.8899646760968756,3.34997725,median(abs(y_observed)),0.7339642,3.34997725,8.876052,8.142087799999999,0.8764318858116772,0.9329268292682928,0.0170731707317072,2.040523240932945,0,0,0,0,0.0,546.8327673999593,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,1,1.0
kinetic_energy,T0 melt kinetic energy,nJ,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,164,164,0.311086218601192,9.28621884226802,0.5691880356572605,16.990803016864085,0.8878804797307795,3.34997725,median(abs(y_observed)),0.7339642,3.34997725,8.876052,8.142087799999999,0.8833012969420228,0.926829268292683,0.0231707317073169,2.06100117916366,0,0,0,0,0.0,572.515713499859,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,3.0
kinetic_energy,T0 melt kinetic energy,nJ,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,164,164,0.3264536948141442,9.7449525907719,0.5775769640891225,17.241220491545803,0.8845511974116662,3.34997725,median(abs(y_observed)),0.7339642,3.34997725,8.876052,8.142087799999999,0.8873883674002033,0.9329268292682928,0.0170731707317072,2.0706207377351227,0,0,0,0,0.0,399.90701589995297,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,2.0
total_height,T0 total vertical melt-pool height,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,164,164,12.93548512109958,12.854660479236845,22.365222632442173,22.225478270903,0.9005577516363639,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.463028838211167,0.902439024390244,0.047560975609756,72.19352674527556,0,0,0,0,0.0,517.0729458004935,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,3.0
total_height,T0 total vertical melt-pool height,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,164,164,12.60907849482216,12.53029333570193,22.40059116090844,22.260625806602487,0.9002429855323664,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.460493772375614,0.902439024390244,0.047560975609756,74.52849532745007,0,0,0,0,0.0,460.1397210995201,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,2.0
total_height,T0 total vertical melt-pool height,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,164,164,13.941672703824684,13.854561111742516,22.63673382693556,22.49529298514449,0.8981286615630804,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.484579988036109,0.902439024390244,0.047560975609756,71.85177289804126,0,0,0,0,0.0,347.8249409000855,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,4.0
width,T0 melt-pool width,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,164,164,2.349755500955552,1.4099368957318792,3.504704702797941,2.102947505436361,0.9907474426254076,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,2.6258846889685667,0.9329268292682928,0.0170731707317072,10.703647791817671,0,1,1,0,0.0,546.0822144999984,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,1,3.0
width,T0 melt-pool width,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,164,164,2.439091072813832,1.463541417058916,3.6627189259153856,2.1977616608381023,0.989894306801962,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,2.704421132925817,0.9390243902439024,0.0109756097560975,11.589787189878637,0,0,0,0,0.0,602.8022119997186,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,1.0
width,T0 melt-pool width,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,164,164,2.8297708388333387,1.6979631755366806,4.031865771729987,2.4192629011354003,0.9877546541785264,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,2.807918836156648,0.9390243902439024,0.0109756097560975,13.0973743521874,0,1,1,0,0.0,481.5045734994346,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,2.0
