target,target_label,target_unit,model,model_label,model_family,kernel,noise_method,probabilistic,probabilistic_deployable,eligible_n,n,MAE,relative_MAE_pct,RMSE,relative_RMSE_pct,R2,target_median_abs_scale,relative_error_denominator_definition,target_min,target_median,target_max,target_range,NLPD,coverage_95,calibration_absolute_error_from_0_95,median_predictive_interval_width,fit_failures,warnings,convergence_warning_folds,bound_hit_folds,bound_hit_fraction,aggregate_fold_runtime_seconds,metrics_recomputed_from_prediction_rows,dataset_revision,partition,rank_by_RMSE,probabilistic_calibration_rank
kinetic_energy,T0 melt kinetic energy,nJ,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,164,164,0.311086218601192,9.28621884226802,0.5691880356572605,16.990803016864085,0.8878804797307795,3.34997725,median(abs(y_observed)),0.7339642,3.34997725,8.876052,8.142087799999999,0.8833012969420228,0.926829268292683,0.0231707317073169,2.06100117916366,0,0,0,0,0.0,572.515713499859,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,3.0
kinetic_energy,T0 melt kinetic energy,nJ,rbf_no_nugget,"RBF, numerical jitter",Gaussian process,RBF,A_numerical_jitter,True,True,164,164,0.5060883280279385,15.107216863276864,0.7813113279457069,23.322884594088123,0.7887396730095558,3.34997725,median(abs(y_observed)),0.7339642,3.34997725,8.876052,8.142087799999999,1.3322439665438273,0.8902439024390244,0.0597560975609755,2.7473710715193715,0,0,0,0,0.0,332.4810652000597,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,9,6.0
kinetic_energy,T0 melt kinetic energy,nJ,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,164,164,0.3264536948141442,9.7449525907719,0.5775769640891225,17.241220491545803,0.8845511974116662,3.34997725,median(abs(y_observed)),0.7339642,3.34997725,8.876052,8.142087799999999,0.8873883674002033,0.9329268292682928,0.0170731707317072,2.0706207377351227,0,0,0,0,0.0,399.90701589995297,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,2.0
total_height,T0 total vertical melt-pool height,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",Gaussian process,Matérn 3/2,A_numerical_jitter,True,True,164,164,12.634882083514585,12.555935696129987,21.82113441648541,21.684789675044343,0.9053372465213548,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.444452191126486,0.902439024390244,0.047560975609756,74.59695175500954,0,0,0,0,0.0,399.8016899996437,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,1,1.0
total_height,T0 total vertical melt-pool height,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,164,164,12.60907849482216,12.53029333570193,22.40059116090844,22.260625806602487,0.9002429855323664,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.460493772375614,0.902439024390244,0.047560975609756,74.52849532745007,0,0,0,0,0.0,460.1397210995201,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,2.0
total_height,T0 total vertical melt-pool height,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,Gaussian process,Matérn 3/2,C_heteroskedastic_alpha,True,False,164,164,12.649467568591833,12.570430046889758,21.849947280434435,21.713422507909268,0.9050870940133658,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.444868472095084,0.902439024390244,0.047560975609756,74.30544314518289,0,0,0,0,0.0,344.08420070033753,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,
total_height,T0 total vertical melt-pool height,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",Gaussian process,Matérn 5/2,A_numerical_jitter,True,True,164,164,13.48916363613234,13.404879451216852,21.998568253265447,21.86111485403708,0.9037915282029394,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.509586914137864,0.8963414634146342,0.0536585365853657,76.11299016669257,0,0,0,0,0.0,441.4045840000617,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,5.0
total_height,T0 total vertical melt-pool height,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,164,164,12.93548512109958,12.854660479236845,22.365222632442173,22.225478270903,0.9005577516363639,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.463028838211167,0.902439024390244,0.047560975609756,72.19352674527556,0,0,0,0,0.0,517.0729458004935,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,3.0
total_height,T0 total vertical melt-pool height,um,rbf_no_nugget,"RBF, numerical jitter",Gaussian process,RBF,A_numerical_jitter,True,True,164,164,16.108987841613732,16.008334239458073,23.94045719711872,23.790870315693525,0.8860565503440518,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.649613355221649,0.8963414634146342,0.0536585365853657,84.62118425026189,0,0,0,0,0.0,322.4757935003727,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,7,6.0
total_height,T0 total vertical melt-pool height,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,164,164,13.941672703824684,13.854561111742516,22.63673382693556,22.49529298514449,0.8981286615630804,100.6287575,median(abs(y_observed)),51.44415,100.6287575,322.61455,271.17040000000003,4.484579988036109,0.902439024390244,0.047560975609756,71.85177289804126,0,0,0,0,0.0,347.8249409000855,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,4.0
width,T0 melt-pool width,um,matern32_no_nugget,"Matérn 3/2, numerical jitter",Gaussian process,Matérn 3/2,A_numerical_jitter,True,True,164,164,2.3939888759,1.4364784943499298,3.591417046655564,2.1549779966387588,0.9902839307048408,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,2.657544321324321,0.8963414634146342,0.0536585365853657,9.958848296596123,0,3,3,0,0.0,436.94703670055605,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,3,4.0
width,T0 melt-pool width,um,matern32_learned_nugget,Matérn 3/2 + learned nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,True,True,164,164,2.349755500955552,1.4099368957318792,3.504704702797941,2.102947505436361,0.9907474426254076,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,2.6258846889685667,0.9329268292682928,0.0170731707317072,10.703647791817671,0,1,1,0,0.0,546.0822144999984,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,1,3.0
width,T0 melt-pool width,um,matern32_heteroskedastic_alpha,Matérn 3/2 + heteroskedastic alpha,Gaussian process,Matérn 3/2,C_heteroskedastic_alpha,True,False,164,164,2.3839715305945988,1.4304677307885176,3.5386774929904754,2.12333238817158,0.99056719423452,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,2.623871504954339,0.8963414634146342,0.0536585365853657,9.704054845189964,0,0,0,0,0.0,410.7789436002495,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,2,
width,T0 melt-pool width,um,matern52_no_nugget,"Matérn 5/2, numerical jitter",Gaussian process,Matérn 5/2,A_numerical_jitter,True,True,164,164,2.7486776732050635,1.6493043911803908,4.148349250542879,2.4891571324521107,0.9870368797597506,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,2.811168631757219,0.8719512195121951,0.0780487804878048,9.89540308922659,0,6,6,0,0.0,498.0292819997994,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,6,5.0
width,T0 melt-pool width,um,matern52_learned_nugget,Matérn 5/2 + learned nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,True,True,164,164,2.439091072813832,1.463541417058916,3.6627189259153856,2.1977616608381023,0.989894306801962,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,2.704421132925817,0.9390243902439024,0.0109756097560975,11.589787189878637,0,0,0,0,0.0,602.8022119997186,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,4,1.0
width,T0 melt-pool width,um,rbf_no_nugget,"RBF, numerical jitter",Gaussian process,RBF,A_numerical_jitter,True,True,164,164,4.118665537594771,2.4713458486522293,6.847691209572967,4.108858339954756,0.964677839455437,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,3.422134702455558,0.8048780487804879,0.1451219512195121,11.589589279606544,0,2,2,0,0.0,365.33937590010464,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,8,6.0
width,T0 melt-pool width,um,rbf_learned_nugget,RBF + learned nugget,Gaussian process,RBF,B_shared_learned_nugget,True,True,164,164,2.8297708388333387,1.6979631755366806,4.031865771729987,2.4192629011354003,0.9877546541785264,166.656785,median(abs(y_observed)),111.529485,166.656785,300.26985,188.74036500000005,2.807918836156648,0.9390243902439024,0.0109756097560975,13.0973743521874,0,1,1,0,0.0,481.5045734994346,True,d69dac5bda8b622bc0de316b112815c6056c06ec,new-data,5,2.0
