simulation_id,numeric_simulation_id,P,VX,LS,ST,target_value_um,target_definition,target,target_label,target_unit,partition,dataset_revision,eligibility_source_fields,flag_primary_window_unstable_week6_rule
P-124p08408212_VX-0p537482635976_LS-5p36452858207e-05_ST-384p350705088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p97539805031e-06_H-1d842653b1,12,124.08408212,0.537482635976,53.6452858207,384.350705088,143.95735000000002,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-126p384227376_VX-0p205870034079_LS-4p55514058242e-05_ST-348p956388187_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-2p34328450209e-05_H-1d842653b1,13,126.384227376,0.205870034079,45.5514058242,348.956388187,172.34558500000003,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-129p716882801_VX-0p574107735504_LS-5p55330779174e-05_ST-369p509713723_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p40281414912e-06_H-0e4c2fc094,14,129.716882801,0.574107735504,55.5330779174,369.509713723,144.07869999999997,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-131p192514944_VX-0p432823544687_LS-6p72236683266e-05_ST-324p578264519_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p11456982002e-05_H-dfd65b549a,15,131.192514944,0.432823544687,67.22366832659999,324.578264519,175.76846999999998,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-132p334528879_VX-0p441351904611_LS-8p05471929698e-05_ST-380p80221881_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p09303269174e-05_H-2934a8b202,16,132.334528879,0.441351904611,80.5471929698,380.80221881,190.511185,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-132p644034819_VX-0p797235702485_LS-4p6520297442e-05_ST-303p62522115_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p0510594144e-06_H-0e4c2fc094,17,132.644034819,0.797235702485,46.520297442,303.62522115,114.61676,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-140p236446589_VX-0p550532928497_LS-7p91865165046e-05_ST-370p758962256_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-8p76263771576e-06_H-a88ac79600,18,140.236446589,0.550532928497,79.18651650460001,370.758962256,175.81744,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-143p707582907_VX-0p952433280409_LS-8p80948922839e-05_ST-329p530804101_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p06504833697e-06_H-1605f46060,19,143.707582907,0.952433280409,88.09489228390001,329.530804101,134.514885,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-144p087720513_VX-0p415546267467_LS-5p02923295381e-05_ST-327p07537462_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p16091058462e-05_H-0602c4a780,20,144.087720513,0.415546267467,50.2923295381,327.07537462,165.54502,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
P-148p299467422_VX-0p674162518859_LS-5p7557139752e-05_ST-331p520012414_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p15572353559e-06_H-e73b90164d,21,148.299467422,0.674162518859,57.557139752000005,331.520012414,140.90828,T0,width,T0 melt-pool width,um,new-data,d69dac5bda8b622bc0de316b112815c6056c06ec,"[""geometry_monitor_available"",""geometry_parse_ok"",""geometry_target_ready"",""time_monitor_available"",""time_parse_ok"",""time_target_ready"",""physical_target_extraction_success""]",False
