target,model,model_family,kernel,noise_method,n,MAE,RMSE,R2,NLPD,coverage_95,target_median_abs_scale,target_unit,relative_MAE_pct,relative_RMSE_pct,historical_population,historical_dataset_revision
depth,matern52_learned_nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,230,1.7882537124127875,2.7169661582388707,0.9691456471909612,2.439924636826189,0.9478260869565216,54.72232,um,3.267868965374252,4.965005427837984,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
depth,matern32_learned_nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,230,1.802270826592828,2.728942784700328,0.9688730302355166,2.440425217127002,0.9521739130434784,54.72232,um,3.2934839505942506,4.986891609676504,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
depth,rbf_learned_nugget,Gaussian process,RBF,B_shared_learned_nugget,230,1.8254897211652583,2.7698471525378965,0.9679329069760424,2.4629724811391496,0.9565217391304348,54.72232,um,3.3359143420185005,5.061640574701322,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
depth,matern32_no_nugget,Gaussian process,Matérn 3/2,A_numerical_jitter,230,2.0891811113664662,3.0368545797212265,0.9614525214426306,2.712521917043586,0.917391304347826,54.72232,um,3.817786072239748,5.549572057108007,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
depth,matern52_no_nugget,Gaussian process,Matérn 5/2,A_numerical_jitter,230,2.413462923073034,3.497484166759593,0.9488719184293624,2.952442068059568,0.9217391304347826,54.72232,um,4.410381217523369,6.391330204493509,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
depth,polynomial_ridge_degree2,Polynomial Ridge degree 2,,not applicable,230,2.5858952985162382,3.888507416188099,0.9368004703152256,,,54.72232,um,4.725485503020044,7.105889180480832,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
depth,linear_ridge,Linear Ridge,,not applicable,230,3.352296934925033,4.632403434121431,0.9103065492109312,,,54.72232,um,6.126013909726475,8.465290642139133,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
depth,rbf_no_nugget,Gaussian process,RBF,A_numerical_jitter,230,3.4025350769012945,4.858216085493961,0.9013489667247016,3.2566746766462185,0.9217391304347826,54.72232,um,6.217819487370591,8.877942465695828,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
depth,training_mean,Mean predictor,,not applicable,230,12.684469174102906,15.535254133897734,-0.0087526935031752,,,54.72232,um,23.17969920519252,28.389246168469707,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
kinetic_energy,matern32_learned_nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,241,0.0890104471357446,0.1739247480871515,0.9492169265111522,0.0102626916691991,0.970954356846473,1.529661,nJ,5.818965583599543,11.3701498624304,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
kinetic_energy,matern52_learned_nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,241,0.0943831726368481,0.1774597341050689,0.947131636349055,0.0177709848946891,0.970954356846473,1.529661,nJ,6.170201936039954,11.601245903835483,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
kinetic_energy,rbf_learned_nugget,Gaussian process,RBF,B_shared_learned_nugget,241,0.0963252568444659,0.1788272364678618,0.9463136910861796,-0.0078954474428518,0.970954356846473,1.529661,nJ,6.297163675119252,11.690644951257946,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
kinetic_energy,polynomial_ridge_degree2,Ridge,,not applicable,241,0.0966980445124962,0.1798331250393099,0.9457080302784068,,,1.529661,nJ,6.321534281941959,11.756403872446896,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
kinetic_energy,linear_ridge,Ridge,,not applicable,241,0.11538454387106,0.1875181567184448,0.9409686294810776,,,1.529661,nJ,7.543144779860373,12.25880484097096,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
kinetic_energy,matern32_no_nugget,Gaussian process,Matérn 3/2,A_numerical_jitter,241,0.1143587485494995,0.2026434245187223,0.9310615923400408,0.1309981948373098,0.9377593360995852,1.529661,nJ,7.476084475547164,13.247603522527038,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
kinetic_energy,training_mean,sanity baseline,,not applicable,241,0.6645205673132781,0.775010690179063,-0.0083506944444444,,,1.529661,nJ,43.44234227801312,50.66551936534063,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
total_height,matern32_learned_nugget,Gaussian process,Matérn 3/2,B_shared_learned_nugget,241,4.205879702083182,7.598208807352847,0.8268541938682765,3.49089810437668,0.9626556016597512,80.106185,um,5.250380731629128,9.485171222862316,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
total_height,matern52_learned_nugget,Gaussian process,Matérn 5/2,B_shared_learned_nugget,241,4.212679200847751,7.65473492212709,0.824268409342158,3.496283619345062,0.9626556016597512,80.106185,um,5.258868838714204,9.555735205873416,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
total_height,rbf_learned_nugget,Gaussian process,RBF,B_shared_learned_nugget,241,4.247128655348111,7.705994180447071,0.8219069869546,3.500490163377022,0.966804979253112,80.106185,um,5.301873576114144,9.619724345188915,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
total_height,matern32_no_nugget,Gaussian process,Matérn 3/2,A_numerical_jitter,241,5.205670692897094,8.119321962144777,0.8022898095282298,4.066697284314136,0.950207468879668,80.106185,um,6.49846287511644,10.135699212420086,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
total_height,polynomial_ridge_degree2,Ridge,,not applicable,241,5.293909360385799,8.522625324440268,0.7821606559739209,,,80.106185,um,6.608615003180838,10.639160165273466,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
total_height,linear_ridge,Ridge,,not applicable,241,6.091853146029506,9.956058471279828,0.7027208810508558,,,80.106185,um,7.604722589185226,12.428576484175132,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
total_height,training_mean,sanity baseline,,not applicable,241,14.55726435390332,18.336271752674243,-0.0083506944444442,,,80.106185,um,18.17245990918594,22.88995756404358,Week 6 old simulation design,ioandanielc/sph_dataset@0e859b748fdbc8454f66e58e101e333ac0479d42
