anisotropy_ratio,any_length_bound_hit,any_length_lower_bound_hit,any_length_upper_bound_hit,budget,extra_length,fallback_status,fold,interior_lml,l_LS,l_LS_lower_bound_hit,l_LS_upper_bound_hit,l_P,l_P_lower_bound_hit,l_P_upper_bound_hit,l_ST,l_ST_lower_bound_hit,l_ST_upper_bound_hit,l_VX,l_VX_lower_bound_hit,l_VX_upper_bound_hit,length_upper_bound,m0_lml,model,objective_value,optimizer_converged,optimizer_evaluations,optimizer_iterations,optimizer_message,path_family,posterior_iterations,repeat,residual_sd,residual_sd_any_bound_hit,residual_sd_lower_bound_hit,residual_sd_upper_bound_hit,rho,run_id,selected_boundary,selected_lml,selected_fit_optimizer_message,sigma2
190.49280652672218,True,False,True,16,,none,1,,0.5249542060055277,False,False,100.00000000000004,False,True,0.757279527612375,False,False,100.00000000000004,False,True,100.0,-3.5646269656864695,M0,3.5646269656864695,True,33,21,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-3.5646269656864695,,
,,,,16,1.0,none,1,-3.564627084567564,0.5249542060055277,,,100.00000000000004,,,0.757279527612375,,,100.00000000000004,,,,-3.5646269656864695,M1,3.5646269656864695,True,27,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-3.5646269656864695,optimizer_disabled,1.0
,,,,16,1.0,none,1,-3.5646271009784103,0.5249542060055277,,,100.00000000000004,,,0.757279527612375,,,100.00000000000004,,,,-3.5646269656864695,M2,3.5646269656864695,True,35,33,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-3.5646269656864695,optimizer_disabled,1.0
887.2817496196136,True,False,True,17,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,1.0170291335218582,False,False,0.11270377198998066,False,False,100.0,-3.9681391135245385,M0,3.9681391135245385,True,40,31,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-3.9681391135245385,,
,,,,17,1.0781508760025487,none,1,-3.944790677652582,100.00000000000004,,,100.00000000000004,,,1.0108278719994408,,,0.10789552132654663,,,,-3.9681391135245385,M1,3.944790677652582,True,33,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.999999,w85__r61_f01,False,-3.944790677652582,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0
,,,,17,1.0,none,1,-3.968139145687256,100.00000000000004,,,100.00000000000004,,,1.0170291335218582,,,0.11270377198998066,,,,-3.9681391135245385,M2,3.9681391135245385,True,25,22,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-3.9681391135245385,optimizer_disabled,1.0
2356.6387277680697,True,False,True,18,,none,1,,100.00000000000004,False,True,100.00000000000004,False,True,100.00000000000004,False,True,0.042433317768102816,False,False,100.0,-4.088739455053776,M0,4.088739455053776,True,32,23,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-4.088739455053776,,
,,,,18,1.0,none,1,-4.088739519610618,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.042433317768102816,,,,-4.088739455053776,M1,4.088739455053776,True,22,19,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-4.088739455053776,optimizer_disabled,1.0
,,,,18,1.0,none,1,-4.088739489237247,100.00000000000004,,,100.00000000000004,,,100.00000000000004,,,0.042433317768102816,,,,-4.088739455053776,M2,4.088739455053776,True,40,33,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,,61,,,,,0.0,w85__r61_f01,True,-4.088739455053776,optimizer_disabled,1.0
143.32655002317713,True,False,True,19,,none,1,,0.6977074379019741,False,False,100.00000000000004,False,True,0.6988945287164419,False,False,100.00000000000004,False,True,100.0,-5.764007687709938,M0,5.764007687709938,True,46,29,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,early8__coverage_then_margin_B40,5.0,61,1.0,True,False,True,0.0,w85__r61_f01,True,-5.764007687709938,,
