budget,fold,frobenius_norm,max_abs_cross_covariance,min_eigenvalue,model,path_family,repeat,run_id
16,1,3.906953742968547,0.9044584708791226,0.08433537724300443,M0,early8__coverage_then_margin_B40,61,w85__r61_f01
16,1,3.9069537429685472,0.9044584708791227,0.08433537724300354,M1,early8__coverage_then_margin_B40,61,w85__r61_f01
16,1,3.9069537429685472,0.9044584708791227,0.08433537724300354,M2,early8__coverage_then_margin_B40,61,w85__r61_f01
28,1,4.1833058195181145,0.998270413416977,0.0008979845378966913,M0,early8__coverage_then_margin_B40,61,w85__r61_f01
28,1,4.1833058195181145,0.9982704134169769,0.000897984537896608,M1,early8__coverage_then_margin_B40,61,w85__r61_f01
28,1,4.1833058195181145,0.9982704134169769,0.000897984537896608,M2,early8__coverage_then_margin_B40,61,w85__r61_f01
40,1,4.324361509230791,0.8982899055737857,0.0005215424643310709,M0,early8__coverage_then_margin_B40,61,w85__r61_f01
40,1,4.324361509230791,0.8982899055737857,0.0005215424643309113,M1,early8__coverage_then_margin_B40,61,w85__r61_f01
40,1,4.324361509230791,0.8982899055737857,0.0005215424643309113,M2,early8__coverage_then_margin_B40,61,w85__r61_f01
16,2,6.318160208535927,0.970927824276616,0.023676131265584963,M0,early8__coverage_then_margin_B40,61,w85__r61_f02
16,2,6.318160208535927,0.970927824276616,0.023676131265584693,M1,early8__coverage_then_margin_B40,61,w85__r61_f02
16,2,6.318160208535927,0.970927824276616,0.023676131265584693,M2,early8__coverage_then_margin_B40,61,w85__r61_f02
28,2,5.588990049599659,0.908984156372165,0.0013671282551654766,M0,early8__coverage_then_margin_B40,61,w85__r61_f02
28,2,5.588990049599659,0.9089841563721651,0.0013671282551655382,M1,early8__coverage_then_margin_B40,61,w85__r61_f02
28,2,5.588990049599659,0.9089841563721651,0.0013671282551655382,M2,early8__coverage_then_margin_B40,61,w85__r61_f02
40,2,5.55122397162425,0.915569165567379,0.0020683249311103003,M0,early8__coverage_then_margin_B40,61,w85__r61_f02
40,2,5.55122397162425,0.915569165567379,0.0020683249311102864,M1,early8__coverage_then_margin_B40,61,w85__r61_f02
