run_id,repeat,fold,model,subset,roc_auc,pr_auc,accuracy,balanced_accuracy,keyhole_recall,conduction_recall,false_negative,false_positive,true_negative,true_positive,row_count,fit_status,kernel,residual_sd,length_scale,residual_sd_lower_bound_hit,residual_sd_upper_bound_hit,length_scale_lower_bound_hit,length_scale_upper_bound_hit,convergence_warning,warning_text
w85__r01_f05,1,5,physics_ridge_residual_gp,full81,0.9868686868686869,0.9444461094461094,0.9506172839506173,0.8924242424242425,0.8,0.9848484848484849,3,1,65,12,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.079, physics_prior_sd=5)",1.0,1.0791008864031808,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r01_f05,1,5,physics_ridge_residual_gp,B1_q30,0.9155844155844155,0.894068839657075,0.84,0.827922077922078,0.7272727272727273,0.9285714285714286,3,1,13,8,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.079, physics_prior_sd=5)",1.0,1.0791008864031808,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r01_f05,1,5,physics_ridge_residual_gp,B1_q20,0.8428571428571429,0.8102564102564103,0.8235294117647058,0.8071428571428572,0.7142857142857143,0.9,2,1,9,5,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.079, physics_prior_sd=5)",1.0,1.0791008864031808,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f01,2,1,physics_ridge_residual_gp,full81,0.994949494949495,0.9796825396825397,0.9629629629629629,0.9515151515151515,0.9333333333333333,0.9696969696969697,1,2,64,14,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.47, physics_prior_sd=5)",1.0,1.4695725574296037,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f01,2,1,physics_ridge_residual_gp,B1_q30,0.9603174603174603,0.9129251700680272,0.88,0.873015873015873,0.8571428571428571,0.8888888888888888,1,2,16,6,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.47, physics_prior_sd=5)",1.0,1.4695725574296037,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f01,2,1,physics_ridge_residual_gp,B1_q20,0.9285714285714285,0.9129251700680272,0.8235294117647058,0.8285714285714285,0.8571428571428571,0.8,1,2,8,6,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.47, physics_prior_sd=5)",1.0,1.4695725574296037,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f02,2,2,physics_ridge_residual_gp,full81,0.995959595959596,0.9859649122807017,0.9876543209876543,0.9666666666666667,0.9333333333333333,1.0,1,0,66,14,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.447, physics_prior_sd=5)",1.0,1.4465201144898214,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f02,2,2,physics_ridge_residual_gp,B1_q30,0.9600000000000001,0.9111111111111112,0.96,0.9,0.8,1.0,1,0,20,4,25,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.447, physics_prior_sd=5)",1.0,1.4465201144898214,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f02,2,2,physics_ridge_residual_gp,B1_q20,0.9333333333333333,0.9111111111111112,0.9411764705882353,0.9,0.8,1.0,1,0,12,4,17,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.447, physics_prior_sd=5)",1.0,1.4465201144898214,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
w85__r02_f03,2,3,physics_ridge_residual_gp,full81,0.9978678038379531,0.9910714285714285,0.9753086419753086,0.9285714285714286,0.8571428571428571,1.0,2,0,67,12,81,optimized_additive_laplace,"PhysicsRidgeResidualKernel(residual_sd=1, length_scale=1.226, physics_prior_sd=5)",1.0,1.2258569819705858,False,True,False,False,True,The optimal value found for dimension 0 of parameter residual_variance is close to the specified upper bound 1.0. Increasing the bound and calling fit again may find a better value.
