experiment_name,population_row_index,has_keyhole,transition_count,max_positive_delta_W,diagnostic_argmax_delta_W_fraction,diagnostic_first_W_um,min_delta_W,median_positive_delta_W,fraction_positive_delta_W,total_positive_delta_W,max_positive_width_rate,median_positive_width_rate,fraction_positive_width_rate,resolution_points
P-115p281467344_VX-0p424433079834_LS-5p4086019252e-05_ST-352p652659088_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p13660334979e-05_H-d616b14147,175,0,50,54.22024889613253,0.0,4.0,-1.3889145285714335,0.7913958765140308,0.68,163.10514851543672,1599.9260442193845,23.352435665652955,0.68,51
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,4,0,50,62.03295409230772,0.0,4.0,-2.7106136285714797,0.5122960887166386,0.52,140.0705557818732,2126.7772501249237,17.563884918155708,0.52,51
P-116p440418649_VX-0p621036488786_LS-7p33150072515e-05_ST-327p034160515_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p76785372538e-06_H-3f4a2df486,176,0,50,71.75382309890111,0.0,4.0,-120.04115803630631,0.5142649576633431,0.56,275.3995624339961,2426.5192108839265,17.391042670082083,0.56,51
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,5,0,50,43.19439997790053,0.0,4.0,-2.114267091578853,1.772764940584807,0.78,201.26131900023427,1404.12259559643,57.62736167257386,0.78,51
P-118p139890353_VX-0p847347819728_LS-5p08934239386e-05_ST-372p913421628_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p69319999497e-06_H-d7a336064e,347,0,50,51.74230944198895,0.0,4.0,-2.7719423395604537,1.0913772029749396,0.42,128.29027419779717,2395.422504781092,50.52556682152459,0.42,51
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,6,0,50,59.24386166043961,0.0,4.0,-2.9176428642462895,0.36216301213001145,0.6,136.19631475716238,2355.24109395804,14.397798944456863,0.6,51
P-118p4900546_VX-0p535113778256_LS-4p79907961621e-05_ST-385p412174328_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p01513061154e-06_H-dd169576f0,178,0,50,44.215602504395655,0.0,4.0,-2.717164948888893,0.5112981950536408,0.56,141.52080977424603,1290.421919590362,14.922117102862366,0.56,51
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,7,0,50,63.80286983425418,0.0,4.0,-2.65695767777774,0.9658822737538912,0.48,147.25630337775294,2993.475166733486,45.316842455228425,0.48,51
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,8,0,50,66.77715513406598,0.0,4.0,-5.677488688385637,1.0251738466666893,0.6,176.01030552512057,2218.2062209837422,34.05426600909193,0.6,51
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,9,0,50,63.969553730769235,0.0,4.0,-2.403086107894751,0.7361590970994172,0.56,151.4637136266637,2255.3882270793465,25.954918613990117,0.56,51
