model,feature,is_width_feature,median_ard_length_scale,fraction_at_upper_bound,fraction_at_lower_bound,folds
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,LS,False,7.275207955071559,0.0,0.0,100
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,P,False,4.699524563643257,0.0,0.0,100
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,ST,False,100.00000000000004,1.0,0.0,100
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,VX,False,7.1088552746238935,0.0,0.0,100
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,robust_early_dWdt_20_um_per_ms,True,100.00000000000004,0.65,0.0,100
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,time_to_50pct_max_width_tau,True,12.653141494250178,0.08,0.0,100
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,width_gain_20_um,True,100.00000000000004,0.99,0.0,100
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,width_gain_40_um,True,100.00000000000004,1.0,0.0,100
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,LS,False,7.8172489982924525,0.0,0.0,100
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,P,False,5.146785628294717,0.0,0.0,100
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,ST,False,100.00000000000004,1.0,0.0,100
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,VX,False,8.08103673858925,0.0,0.0,100
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,robust_early_dWdt_40_um_per_ms,True,100.00000000000004,0.61,0.0,100
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,time_to_50pct_max_width_tau,True,14.011084589014192,0.16,0.0,100
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,width_gain_20_um,True,100.00000000000004,0.99,0.0,100
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,width_gain_40_um,True,100.00000000000004,0.99,0.0,100
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,LS,False,6.8569948044353595,0.0,0.0,100
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,P,False,4.548867575211204,0.0,0.0,100
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,ST,False,100.00000000000004,1.0,0.0,100
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,VX,False,6.488878906794818,0.0,0.0,100
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,robust_max_positive_dWdt_um_per_ms,True,100.00000000000004,0.58,0.0,100
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,time_to_50pct_max_width_tau,True,16.61549335841522,0.38,0.0,100
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,width_gain_20_um,True,100.00000000000004,0.98,0.0,100
abl_shape3_plus_robust_max_positive_dWdt_um_per_ms,width_gain_40_um,True,100.00000000000004,0.99,0.0,100
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,LS,False,7.344448557427263,0.0,0.0,100
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,P,False,4.835664460010772,0.0,0.0,100
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,ST,False,100.00000000000004,1.0,0.0,100
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,VX,False,7.540922430388986,0.0,0.0,100
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,robust_median_positive_dWdt_um_per_ms,True,100.00000000000004,1.0,0.0,100
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,time_to_50pct_max_width_tau,True,12.454843851497627,0.03,0.0,100
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,width_gain_20_um,True,100.00000000000004,0.99,0.0,100
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,width_gain_40_um,True,100.00000000000004,0.99,0.0,100
abl_shape3_plus_robust_time_of_max_dWdt_tau,LS,False,7.139229849699916,0.0,0.0,100
abl_shape3_plus_robust_time_of_max_dWdt_tau,P,False,4.736338255775625,0.0,0.0,100
abl_shape3_plus_robust_time_of_max_dWdt_tau,ST,False,100.00000000000004,1.0,0.0,100
abl_shape3_plus_robust_time_of_max_dWdt_tau,VX,False,7.390046492406585,0.0,0.0,100
abl_shape3_plus_robust_time_of_max_dWdt_tau,robust_time_of_max_dWdt_tau,True,100.00000000000004,0.82,0.0,100
abl_shape3_plus_robust_time_of_max_dWdt_tau,time_to_50pct_max_width_tau,True,12.22603319309989,0.04,0.0,100
abl_shape3_plus_robust_time_of_max_dWdt_tau,width_gain_20_um,True,100.00000000000004,0.99,0.0,100
abl_shape3_plus_robust_time_of_max_dWdt_tau,width_gain_40_um,True,100.00000000000004,0.97,0.0,100
gpc_4d,LS,False,7.203891668589851,0.0,0.0,100
gpc_4d,P,False,6.592532377316335,0.0,0.0,100
gpc_4d,ST,False,100.00000000000004,0.93,0.0,100
gpc_4d,VX,False,6.635824158007649,0.0,0.0,100
gpc_4d_plus_max_delta_W,LS,False,6.220253555544728,0.0,0.0,100
gpc_4d_plus_max_delta_W,P,False,4.840587630513676,0.0,0.0,100
gpc_4d_plus_max_delta_W,ST,False,100.00000000000004,0.99,0.0,100
gpc_4d_plus_max_delta_W,VX,False,5.046236221875564,0.0,0.0,100
gpc_4d_plus_max_delta_W,max_positive_delta_W,True,23.672038496366937,0.09,0.0,100
gpc_4d_plus_max_delta_W_res101,LS,False,6.755864825760252,0.0,0.0,100
gpc_4d_plus_max_delta_W_res101,P,False,5.125480774041626,0.0,0.0,100
gpc_4d_plus_max_delta_W_res101,ST,False,100.00000000000004,1.0,0.0,100
gpc_4d_plus_max_delta_W_res101,VX,False,6.31229163320252,0.0,0.0,100
gpc_4d_plus_max_delta_W_res101,max_positive_delta_W_res101,True,23.089963997151145,0.05,0.0,100
