feature,threshold,direction,balanced_accuracy,keyhole_recall,conduction_recall,predicted_keyhole_fraction
max_positive_delta_W,17.46217496424992,above,0.4982142857142857,0.9857142857142858,0.010714285714285714,0.9885714285714285
max_positive_delta_W,17.46217496424992,below,0.5017857142857143,0.014285714285714285,0.9892857142857143,0.011428571428571429
max_positive_delta_W,18.97976802956702,above,0.49464285714285716,0.9714285714285714,0.017857142857142856,0.98
max_positive_delta_W,18.97976802956702,below,0.5053571428571428,0.02857142857142857,0.9821428571428571,0.02
max_positive_delta_W,19.078057525848795,above,0.4928571428571429,0.9571428571428572,0.02857142857142857,0.9685714285714285
max_positive_delta_W,19.078057525848795,below,0.5071428571428571,0.04285714285714286,0.9714285714285714,0.03142857142857143
max_positive_delta_W,19.458309472852825,above,0.48035714285714287,0.9285714285714286,0.03214285714285714,0.96
max_positive_delta_W,19.458309472852825,below,0.5196428571428572,0.07142857142857142,0.9678571428571429,0.04
max_positive_delta_W,19.833198203239476,above,0.46964285714285714,0.9,0.039285714285714285,0.9485714285714286
max_positive_delta_W,19.833198203239476,below,0.5303571428571429,0.1,0.9607142857142857,0.05142857142857143
max_positive_delta_W,20.2863724726152,above,0.4660714285714286,0.8857142857142857,0.04642857142857143,0.94
max_positive_delta_W,20.2863724726152,below,0.5339285714285714,0.11428571428571428,0.9535714285714286,0.06
max_positive_delta_W,20.73144785625705,above,0.4642857142857143,0.8714285714285714,0.05714285714285714,0.9285714285714286
max_positive_delta_W,20.73144785625705,below,0.5357142857142857,0.12857142857142856,0.9428571428571428,0.07142857142857142
max_positive_delta_W,21.064219758989015,above,0.4607142857142857,0.8571428571428571,0.06428571428571428,0.92
max_positive_delta_W,21.064219758989015,below,0.5392857142857143,0.14285714285714285,0.9357142857142857,0.08
max_positive_delta_W,21.658493029895624,above,0.4589285714285714,0.8428571428571429,0.075,0.9085714285714286
max_positive_delta_W,21.658493029895624,below,0.5410714285714286,0.15714285714285714,0.925,0.09142857142857143
