subset,contrast,contrast_role,metric,lower_is_better,mean_difference,ci_low,ci_high,signflip_p,repeat_blocks,holm_p_metric_family,verdict,verdict_after_holm,metric_family
full,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,accuracy,False,-0.001000000000000012,-0.0022857142857142963,0.0001428571428571279,0.20023998800059997,20,0.20023998800059997,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
full,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,balanced_accuracy,False,-0.0030357142857142918,-0.005267857142857141,-0.0010714285714285676,0.011899405029748513,20,0.03569821508924554,DEGRADES,DEGRADES,hard_decision
full,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,keyhole_recall,False,-0.006428571428571428,-0.010714285714285721,-0.0028571428571428524,0.015499225038748062,20,0.03569821508924554,DEGRADES,DEGRADES,hard_decision
full,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,brier_score,True,0.0016935482378285893,0.0011856755522906875,0.002155119136254179,4.999750012499375e-05,20,0.0002999850007499625,DEGRADES,DEGRADES,ranking_or_probability
full,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,pr_auc,False,-0.0033916381555148256,-0.00482885924356677,-0.0020848797980987286,9.99950002499875e-05,20,0.0004999750012499375,DEGRADES,DEGRADES,ranking_or_probability
full,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,roc_auc,False,-0.0015841836734693914,-0.00226020408163265,-0.0009744260204081627,0.00024998750062496874,20,0.000999950002499875,DEGRADES,DEGRADES,ranking_or_probability
q20,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,accuracy,False,-0.0019491828702354996,-0.0072056203635150915,0.0032890464798359534,0.5416729163541822,20,0.5911704414779261,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,balanced_accuracy,False,-0.003104065885045787,-0.008896259703267871,0.002610565289617268,0.29558522073896304,20,0.5911704414779261,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,keyhole_recall,False,-0.008340748980348539,-0.018179551353355587,5.005561735260691e-05,0.12504374781260938,20,0.3751312434378281,NO DETECTABLE DIFFERENCE,NO DETECTABLE DIFFERENCE,hard_decision
q20,abl_shape3_plus_robust_early_dWdt_20_um_per_ms - gpc_4d_plus_old_shape3,ablation,brier_score,True,0.002605200185653446,0.0010799062455900232,0.0041686315432662895,0.0039998000099995,20,0.023998800059997,DEGRADES,DEGRADES,ranking_or_probability
