experiment_name,has_keyhole,transition_count,max_positive_delta_W,diagnostic_argmax_delta_W_fraction,diagnostic_first_W_um,min_delta_W,median_positive_delta_W,fraction_positive_delta_W,total_positive_delta_W,max_positive_width_rate,median_positive_width_rate,fraction_positive_width_rate,population_row_index,P,VX,LS,ST,log_h,width_gain_20_um,width_gain_40_um,time_to_50pct_max_width_tau,robust_max_positive_dWdt_um_per_ms,robust_median_positive_dWdt_um_per_ms,robust_early_dWdt_20_um_per_ms,robust_early_dWdt_40_um_per_ms,robust_time_of_max_dWdt_tau,max_positive_delta_W_res51,max_positive_delta_W_res101
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,0,200,19.01423589697795,0.0,4.0,-2.338241991758153,0.5031941375000031,0.51,159.5861882052009,2635.3547282163654,69.74222138908888,0.51,0,102.928146519,0.633805217924,5.29394366699e-05,318.223787128,19.63158094088341,122.5873535164835,121.08492109890108,0.025,2449.375901115041,17.685216005343335,213.89914505452285,10.707764261063392,0.0,51.24035064285712,35.344775931318686
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,0,200,30.103145314285698,0.0,4.0,-6.067397974585688,0.6806533945054838,0.505,221.65396542579487,6043.57288294997,136.6494548916473,0.505,1,109.741517589,0.915030812968,7.99759662409e-05,303.804431165,18.893203115557135,121.54873515384614,119.3730317679558,0.025,4783.81232003684,57.62690043512947,267.76242663914434,40.63756140519306,0.0,61.32595043516484,47.65651054945055
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,0,200,22.526125760439637,0.0,4.0,-11.384328542307607,0.398456438736261,0.56,177.31612933417188,2581.80186671733,45.668553406617704,0.56,2,111.098510779,0.492021331775,4.80108469254e-05,345.911753718,19.981159287767515,130.74465346961327,130.9189655111111,0.04,2263.1531963686675,12.88218383087602,208.2008565613908,15.610511003162904,0.0,54.35139511868134,39.49185580329673
P-113p729503671_VX-0p646987288946_LS-8p28088886776e-05_ST-328p878079062_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45628343159e-06_H-0e4c2fc094,0,200,28.288923042857093,0.0,4.0,-7.579988994505541,0.7423033216381612,0.495,228.92661259348495,3995.7087988966246,104.84767869127856,0.495,3,113.729503671,0.646987288946,8.28088886776e-05,328.878079062,19.04999989622992,146.93954885714285,150.48961886187834,0.025,3330.899740278273,29.889576093219045,283.68736746456625,62.02176306783668,0.0,69.47639706593408,47.16438116923073
P-115p973342836_VX-0p629021136955_LS-5p81694798744e-05_ST-308p264473639_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p66925039494e-06_H-27614c4053,0,200,31.88030155359118,0.0,4.0,-8.903627896703284,0.49524933626369716,0.495,174.2560643298875,4372.018135419263,67.91777286232494,0.495,4,115.973342836,0.629021136955,5.81694798744e-05,308.264473639,19.613380183286644,133.3888502430939,130.74497212154694,0.025,2665.047132196746,13.769340834258314,287.2531617125547,13.960069036826669,0.0,62.03295409230772,38.866493046153856
P-117p204089079_VX-0p299188895548_LS-6p61946140465e-05_ST-399p004242061_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p61239961603e-05_H-0e4c2fc094,0,200,21.032738517582303,0.0,4.0,-11.069011876922957,0.6336896141666983,0.62,268.63252304235084,2734.849278139606,82.39752433662514,0.62,5,117.204089079,0.299188895548,6.61946140465e-05,399.004242061,19.801624025695173,147.24980900000003,173.7673682105263,0.095,1492.4823086858748,89.75026416275817,362.3661779449653,214.28094762595023,0.005,43.19439997790053,22.337638226373507
P-118p239150472_VX-0p728951155133_LS-5p59862781201e-05_ST-395p421202378_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p61789280262e-06_H-44aa3a8888,0,200,30.842916165934085,0.0,4.0,-4.713518451098835,0.364149823572923,0.51,173.7643660795375,4904.643389242003,57.907138717746136,0.51,6,118.239150472,0.728951155133,5.59862781201e-05,395.421202378,19.6163894445236,124.96027512707184,122.98493062983424,0.03,2546.040349533782,16.44331573200313,289.2686602806971,18.731546693544846,0.005,59.24386166043961,29.769414606044002
P-119p523515535_VX-0p859779155666_LS-6p70931710444e-05_ST-392p874711106_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p61088341259e-06_H-2934a8b202,0,200,31.905579010989015,0.0,4.0,-9.967595568681247,0.6054134776880744,0.505,207.27289234402772,5987.728056606794,113.61809998659578,0.505,7,119.523515535,0.859779155666,6.70931710444e-05,392.874711106,19.27319543192164,129.69475571428572,122.95957659340658,0.025,4096.297967627071,37.0832972174096,317.5860399170924,11.50499642665035,0.0,63.80286983425418,43.654206478022026
P-120p079917874_VX-0p610410046914_LS-8p29242579558e-05_ST-398p6729924_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p90308191584e-06_H-a88ac79600,0,200,26.96564822692315,0.0,4.0,-13.606890823735625,0.7053605101919089,0.52,229.63660421754207,3582.9839429206645,93.7227750180543,0.52,8,120.079917874,0.610410046914,8.29242579558e-05,398.6729924,19.1313440555154,157.97954474725276,157.6521845303868,0.03,3025.1256156980185,34.83989005206905,306.20342576369137,75.6049248571784,0.0,66.77715513406598,45.53437832527474
P-120p906267006_VX-0p64748664338_LS-6p03748750968e-05_ST-359p518818343_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p45053299916e-06_H-c5f6eebf67,0,200,30.254920396978022,0.0,4.0,-2.4754629217033255,0.5706816018281131,0.54,188.62640437305717,4266.81677735359,80.48257279336428,0.54,9,120.906267006,0.64748664338,6.03748750968e-05,359.518818343,19.5847504215337,135.57137745856355,134.17141626373626,0.03,3313.6013991496,26.898110962707573,289.73465475199265,21.313366355466627,0.0,63.969553730769235,46.99182167403307
