run_id,repeat,fold,feature,subset,learned_threshold,learned_direction,direction_is_below,train_n,test_n,balanced_accuracy,accuracy,keyhole_recall,conduction_recall,true_negative,false_positive,false_negative,true_positive,feature_roc_auc,feature_pr_auc
w85__r01_f01,1,1,max_positive_delta_W,full,32.77712869230773,below,1,280,70,0.6484848484848484,0.4857142857142857,0.9333333333333333,0.36363636363636365,20,35,1,14,0.583030303030303,0.3215824725684485
w85__r01_f01,1,1,max_positive_delta_W,q30,32.77712869230773,below,1,280,20,0.5625,0.5,0.875,0.25,3,9,1,7,0.40625,0.38722041847041844
w85__r01_f01,1,1,max_positive_delta_W,q20,32.77712869230773,below,1,280,14,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.2857142857142857,2,5,1,6,0.5102040816326531,0.5280612244897959
w85__r01_f01,1,1,max_positive_width_rate,full,4579.913474253048,below,1,280,70,0.5454545454545454,0.5142857142857142,0.6,0.4909090909090909,27,28,6,9,0.5987878787878788,0.3949182953755667
w85__r01_f01,1,1,max_positive_width_rate,q30,4579.913474253048,below,1,280,20,0.29166666666666663,0.3,0.25,0.3333333333333333,4,8,6,2,0.19791666666666666,0.39144828984225266
w85__r01_f01,1,1,max_positive_width_rate,q20,4579.913474253048,below,1,280,14,0.3571428571428571,0.35714285714285715,0.2857142857142857,0.42857142857142855,3,4,5,2,0.24489795918367346,0.5059773559773559
w85__r01_f02,1,2,max_positive_delta_W,full,32.40799515411522,below,1,279,71,0.6120689655172413,0.36619718309859156,1.0,0.22413793103448276,13,45,0,13,0.572944297082228,0.24274425345813352
w85__r01_f02,1,2,max_positive_delta_W,q30,32.40799515411522,below,1,279,21,0.65625,0.47619047619047616,1.0,0.3125,5,11,0,5,0.4875,0.2526640026640027
w85__r01_f02,1,2,max_positive_delta_W,q20,32.40799515411522,below,1,279,14,0.7,0.5714285714285714,1.0,0.4,4,6,0,4,0.45,0.29583333333333334
w85__r01_f02,1,2,max_positive_width_rate,full,3264.9367185771075,below,1,279,71,0.5159151193633953,0.647887323943662,0.3076923076923077,0.7241379310344828,42,16,9,4,0.6180371352785146,0.3401962221820182
w85__r01_f02,1,2,max_positive_width_rate,q30,3264.9367185771075,below,1,279,21,0.34375,0.5238095238095238,0.0,0.6875,11,5,5,0,0.375,0.2196969696969697
w85__r01_f02,1,2,max_positive_width_rate,q20,3264.9367185771075,below,1,279,14,0.3,0.42857142857142855,0.0,0.6,6,4,4,0,0.35,0.2644230769230769
w85__r01_f03,1,3,max_positive_delta_W,full,31.935344241483524,below,1,283,67,0.6266846361185984,0.4925373134328358,0.8571428571428571,0.39622641509433965,21,32,2,12,0.6644204851752022,0.4729520971939678
w85__r01_f03,1,3,max_positive_delta_W,q30,31.935344241483524,below,1,283,24,0.5462184873949579,0.4166666666666667,0.8571428571428571,0.23529411764705882,4,13,1,6,0.6470588235294117,0.5172877846790891
w85__r01_f03,1,3,max_positive_delta_W,q20,31.935344241483524,below,1,283,17,0.5285714285714286,0.47058823529411764,0.8571428571428571,0.2,2,8,1,6,0.7,0.6742997198879552
w85__r01_f03,1,3,max_positive_width_rate,full,3569.2076807102126,below,1,283,67,0.5896226415094339,0.6417910447761194,0.5,0.6792452830188679,36,17,7,7,0.7008086253369272,0.4313090084518656
