feature,subset,repeat,balanced_accuracy,keyhole_recall,learned_threshold
max_positive_delta_W,full,1,0.6269753553412766,0.9273260073260072,32.38729167922738
max_positive_delta_W,full,2,0.6273934984824276,0.9292307692307693,32.389170487853754
max_positive_delta_W,full,3,0.6280805635042923,0.9285714285714286,32.31534378021526
max_positive_delta_W,full,4,0.6260443888550015,0.9273260073260075,32.38729167922738
max_positive_delta_W,full,5,0.6261135435946243,0.9274725274725274,32.38729167922738
max_positive_delta_W,full,6,0.6288936940252731,0.9292307692307693,32.38729167922738
max_positive_delta_W,full,7,0.6190859941631267,0.9139926739926739,32.38647523109551
max_positive_delta_W,full,8,0.6280363498942505,0.9304761904761906,32.38729167922738
max_positive_delta_W,full,9,0.6205825438928887,0.9139926739926739,32.38647523109551
max_positive_delta_W,full,10,0.6237868735418645,0.9274725274725274,32.52527315076584
max_positive_delta_W,full,11,0.6289961458404812,0.9292307692307693,32.38729167922738
max_positive_delta_W,full,12,0.6273495334955781,0.9293772893772893,32.389170487853754
max_positive_delta_W,full,13,0.6108757908757909,0.8975091575091575,32.382829094242865
max_positive_delta_W,full,14,0.5941209591673295,0.8605128205128205,32.153436947249354
max_positive_delta_W,full,15,0.6229904415004234,0.916996336996337,32.38647523109551
max_positive_delta_W,full,16,0.6277181405578955,0.9290476190476191,32.38729167922738
max_positive_delta_W,full,17,0.6276496375945236,0.9282783882783882,32.52339434213947
max_positive_delta_W,full,18,0.6290900600557998,0.9323809523809524,32.52339434213947
max_positive_delta_W,full,19,0.6274651129612092,0.9292307692307693,32.313464971588886
max_positive_delta_W,full,20,0.6269736842105263,0.9284249084249085,32.38729167922738
max_positive_delta_W,q20,1,0.5831818181818182,0.8928571428571429,32.38729167922738
max_positive_delta_W,q20,2,0.5355627705627706,0.8314285714285715,32.389170487853754
max_positive_delta_W,q20,3,0.5683910533910534,0.8814285714285713,32.31534378021526
max_positive_delta_W,q20,4,0.555966810966811,0.8595238095238095,32.38729167922738
max_positive_delta_W,q20,5,0.5649675324675324,0.8833333333333332,32.38729167922738
max_positive_delta_W,q20,6,0.5510714285714285,0.86,32.38729167922738
max_positive_delta_W,q20,7,0.5740223665223666,0.8873015873015874,32.38647523109551
max_positive_delta_W,q20,8,0.5804545454545454,0.8699999999999999,32.38729167922738
max_positive_delta_W,q20,9,0.6063888888888889,0.8933333333333333,32.38647523109551
max_positive_delta_W,q20,10,0.5727092352092352,0.8769841269841269,32.52527315076584
max_positive_delta_W,q20,11,0.593015873015873,0.8714285714285713,32.38729167922738
max_positive_delta_W,q20,12,0.5419191919191919,0.8466666666666667,32.389170487853754
max_positive_delta_W,q20,13,0.5924062049062049,0.8936507936507937,32.382829094242865
max_positive_delta_W,q20,14,0.5330230880230881,0.7972222222222222,32.153436947249354
max_positive_delta_W,q20,15,0.5422222222222223,0.8033333333333333,32.38647523109551
max_positive_delta_W,q20,16,0.5423484848484849,0.8683333333333334,32.38729167922738
max_positive_delta_W,q20,17,0.582889332889333,0.8984126984126984,32.52339434213947
max_positive_delta_W,q20,18,0.5959595959595959,0.9095238095238095,32.52339434213947
max_positive_delta_W,q20,19,0.554047619047619,0.8714285714285713,32.313464971588886
max_positive_delta_W,q20,20,0.5148484848484849,0.8266666666666665,32.38729167922738
max_positive_delta_W,q30,1,0.569403953889248,0.8797619047619047,32.38729167922738
max_positive_delta_W,q30,2,0.5674603174603174,0.8892857142857142,32.389170487853754
