model,subset,role,feature_count,features,metric,mean,sd_across_repeats,repeat_blocks
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,conduction_recall,0.911365123916581,0.02416746984150994,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,false_negative,4.7,1.3803127029389886,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,false_positive,4.1,1.0711528467275955,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,brier_score,0.10200729740080147,0.009276157603095721,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,roc_auc,0.9552481738435235,0.009557890009104274,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,pr_auc,0.9152299482233449,0.01693675271830642,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,accuracy,0.9138897958745021,0.018980344031865902,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,balanced_accuracy,0.8994866407087025,0.02361880332586276,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,keyhole_recall,0.8555405101457734,0.040192869294172505,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,conduction_recall,0.9434327712716323,0.01540802625133304,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,false_negative,5.4,1.465390194130093,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,false_positive,4.2,1.1964860832322377,20
abl_shape3_plus_robust_early_dWdt_20_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_20_um_per_ms,brier_score,0.0777633183299576,0.0063936325393151635,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,roc_auc,0.9925841836734695,0.002127024201505744,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,pr_auc,0.9745109349207013,0.004555346702653597,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,accuracy,0.9721428571428572,0.006140146280668955,20
abl_shape3_plus_robust_early_dWdt_40_um_per_ms,full,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_early_dWdt_40_um_per_ms,balanced_accuracy,0.9528571428571428,0.012803773946867856,20
