benchmark,method,mean_final_global_error,std_final_global_error,rank_final_global_error,mean_final_near_boundary_error_q10,std_final_near_boundary_error_q10,rank_final_near_boundary_error_q10,mean_final_near_boundary_error_q20,std_final_near_boundary_error_q20,rank_final_near_boundary_error_q20,mean_final_near_boundary_error_q30,std_final_near_boundary_error_q30,rank_final_near_boundary_error_q30,mean_final_latent_uncertainty_region_fraction,std_final_latent_uncertainty_region_fraction,rank_final_latent_uncertainty_region_fraction,mean_final_latent_uncertainty_region_fraction_q20,std_final_latent_uncertainty_region_fraction_q20,rank_final_latent_uncertainty_region_fraction_q20,mean_final_latent_uncertainty_region_fraction_q30,std_final_latent_uncertainty_region_fraction_q30,rank_final_latent_uncertainty_region_fraction_q30,mean_query_distance,median_query_distance,query_distance_q25,query_distance_q75,fraction_queries_in_pool_boundary_band_q10,fraction_queries_in_pool_boundary_band_q20,fraction_queries_in_pool_boundary_band_q30,rank_median_query_distance
ackley,random,0.282660,0.019293,6,0.478000,0.007376,6,0.459300,0.003881,6,0.434200,0.008090,6,0.919440,0.065801,5,0.949300,0.038796,5,0.947000,0.038351,5,1.337517,1.130254,0.508493,1.881220,0.111765,0.182353,0.305882,2
ackley,smallest_abs_mu,0.236240,0.022286,5,0.461800,0.021563,4,0.439600,0.016209,5,0.412600,0.019825,5,0.943340,0.018807,6,0.963800,0.008970,6,0.960933,0.009810,6,1.079449,0.839807,0.406172,1.612873,0.105882,0.238235,0.358824,1
ackley,straddle,0.168400,0.021478,1,0.460000,0.015007,3,0.415400,0.017080,2,0.369733,0.016774,2,0.696420,0.075812,2,0.878700,0.033780,3,0.868533,0.033719,3,1.435860,1.282224,0.694081,2.079673,0.070588,0.152941,0.223529,4
ackley,randomized_straddle,0.175380,0.008484,2,0.450800,0.012156,1,0.408400,0.012575,1,0.368200,0.010649,1,0.697440,0.069228,3,0.876500,0.045566,2,0.865600,0.044380,2,1.395886,1.250842,0.654597,1.952730,0.061765,0.144118,0.232353,3
ackley,expected_feasibility,0.189820,0.011489,4,0.469600,0.017188,5,0.429300,0.017628,4,0.389867,0.016386,4,0.683880,0.103941,1,0.856500,0.047147,1,0.841800,0.055545,1,1.624536,1.519027,0.797758,2.460125,0.061765,0.141176,0.197059,6
ackley,diversified_straddle,0.182420,0.018210,3,0.456200,0.013790,2,0.418500,0.015037,3,0.377600,0.016694,3,0.737920,0.071532,4,0.895800,0.036073,4,0.886333,0.038843,4,1.492771,1.415815,0.666464,2.184032,0.097059,0.158824,0.226471,5
