budget,method_label,mean_q20_accuracy,median_q20_accuracy,mean_q30_accuracy,median_q30_accuracy,mean_balanced_accuracy,mean_keyhole_discovered
20,Binary,0.776470588235,0.764705882353,0.832,0.84,0.891631453124,7.4
20,Max-Depth,0.752941176471,0.764705882353,0.808,0.82,0.926525812496,5.7
20,Random,0.729411764706,0.705882352941,0.794,0.8,0.789410900045,3.55
30,Binary,0.797058823529,0.794117647059,0.854,0.86,0.909656587194,12.2
30,Max-Depth,0.791176470588,0.823529411765,0.846,0.88,0.942923208632,8.3
30,Random,0.773529411765,0.764705882353,0.83,0.84,0.86434128061,5.45
40,Binary,0.811764705882,0.823529411765,0.862,0.88,0.914369063772,16.8
40,Max-Depth,0.779411764706,0.764705882353,0.84,0.84,0.930552594172,10.55
40,Random,0.767647058824,0.794117647059,0.832,0.84,0.892680752084,7.45
50,Binary,0.829411764706,0.852941176471,0.88,0.88,0.923540899399,20.9
50,Max-Depth,0.8,0.823529411765,0.854,0.86,0.940584092524,12.75
50,Random,0.773529411765,0.764705882353,0.832,0.84,0.892415842864,9.4
60,Binary,0.835294117647,0.823529411765,0.886,0.88,0.931354752213,24.65
60,Max-Depth,0.808823529412,0.823529411765,0.862,0.88,0.953636040576,15.55
60,Random,0.785294117647,0.794117647059,0.842,0.86,0.891478968792,10.85
70,Binary,0.829411764706,0.823529411765,0.88,0.88,0.927404535763,27.1
70,Max-Depth,0.817647058824,0.823529411765,0.868,0.88,0.95591959036,17.2
70,Random,0.797058823529,0.823529411765,0.852,0.88,0.896202752471,12.15
80,Binary,0.823529411765,0.823529411765,0.878,0.88,0.925624475027,29
80,Max-Depth,0.811764705882,0.823529411765,0.864,0.88,0.953874135814,18.3
80,Random,0.788235294118,0.764705882353,0.848,0.84,0.896874717322,13.95
