benchmark,display_name,alpha,diversified_global_error,best_original_global_method,improves_global_over_best_original,diversified_q20_error,best_original_q20_method,improves_q20_over_best_original,diversified_q30_error,best_original_q30_method,improves_q30_over_best_original,diversified_median_query_distance,best_original_query_distance_method,queries_closer_than_best_original,diversified_q20_uncertainty_fraction,best_original_q20_uncertainty_method,reduces_q20_uncertainty_vs_best_original,diversified_q30_uncertainty_fraction,best_original_q30_uncertainty_method,reduces_q30_uncertainty_vs_best_original
branin,Thresholded Branin,0.25,0.064450,randomized_straddle,False,0.259250,smallest_abs_mu,False,0.197333,randomized_straddle,False,21.850675,smallest_abs_mu,False,0.505500,expected_feasibility,False,0.446500,expected_feasibility,False
ackley,Thresholded 4D Ackley,0.25,0.182420,straddle,False,0.418500,randomized_straddle,False,0.377600,randomized_straddle,False,1.415815,smallest_abs_mu,False,0.895800,expected_feasibility,False,0.886333,expected_feasibility,False
