name,first_observed_conduction_timestep,first_observed_conduction_frame_index_0based,first_persistent_conduction_timestep,first_persistent_conduction_frame_index_0based,persistent_onset_exists,persistent_onset_differs_from_first_observed,persistent_minus_first_observed_timestep,intervening_reversion_count,intervening_reversion_frame_count,conduction_entry_count,return_to_forming_or_initial_after_conduction,screenshot_bug_before_first_conduction,keyhole_any,transition_pattern
P-101p127472137_VX-0p52394730996_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-3p56864695376e-06_H-b0e5aed98c,11779,60,11779,60,True,False,0,0,0,1,False,False,False,Initial Emptiness → Forming Phase → Conduction
P-104p101541641_VX-0p916529700054_LS-8p82882842693e-05_ST-394p968412652_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p2634634783e-06_H-6014a1f9c3,71553,243,71553,243,True,False,0,0,0,1,False,True,False,Screenshot Bug → Initial Emptiness → Forming Phase → Conduction → Screenshot Bug
P-105p276295276_VX-0p639039009111_LS-7p6636834293e-05_ST-367p44858305_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p00822530836e-05_H-bf889bf790,29945,50,29945,50,True,False,0,0,0,1,False,True,False,Screenshot Bug → Forming Phase → Conduction
P-107p176159755_VX-0p320752066655_LS-8p75302281584e-05_ST-393p859643937_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p50400296819e-05_H-8daf8adcd4,53796,65,53796,65,True,False,0,0,0,1,False,True,False,Screenshot Bug → Forming Phase → Conduction
P-109p759946449_VX-0p241926176876_LS-4p5e-05_ST-300_M-TI64_XI--0p0002_XF-0p0012_XL-0p0014_TE-0p00125_DT-7p72873359867e-06_H-fb250c7cf9,28904,68,28904,68,True,False,0,0,0,1,False,False,False,Initial Emptiness → Forming Phase → Conduction
P-110p234671953_VX-0p866589137882_LS-8p08580037422e-05_ST-348p980680204_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p56679098795e-06_H-6705b84f8a,61578,201,61578,201,True,False,0,0,0,1,False,True,False,Screenshot Bug → Initial Emptiness → Forming Phase → Conduction → Screenshot Bug
P-110p642328299_VX-0p274154737479_LS-7p4676600105e-05_ST-358p612942181_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p7596342297e-05_H-b40dbd8ddd,83293,86,83293,86,True,False,0,0,0,1,False,True,False,Screenshot Bug → Forming Phase → Conduction
P-112p428225508_VX-0p704865651228_LS-6p30987392704e-05_ST-309p241492678_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p84402849623e-06_H-30d8d23b36,38782,101,38782,101,True,False,0,0,0,1,False,True,False,Screenshot Bug → Forming Phase → Conduction → Screenshot Bug
P-112p904894498_VX-0p537693260466_LS-4p63068354409e-05_ST-322p169166627_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p19825809506e-05_H-bf889bf790,32956,47,32956,47,True,False,0,0,0,1,False,True,False,Screenshot Bug → Forming Phase → Conduction
P-113p286681534_VX-0p56768277259_LS-5p80401726566e-05_ST-302p148970527_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p00125_DT-1p13495658689e-05_H-bf889bf790,33713,52,33713,52,True,False,0,0,0,1,False,True,False,Screenshot Bug → Initial Emptiness → Forming Phase → Conduction
