benchmark,method,budget,mean_global_error,std_global_error,mean_near_boundary_error_q10,std_near_boundary_error_q10,mean_near_boundary_error_q20,std_near_boundary_error_q20,mean_near_boundary_error_q30,std_near_boundary_error_q30,mean_classifier_uncertainty_region_fraction_eps10,std_classifier_uncertainty_region_fraction_eps10,mean_classifier_uncertainty_region_fraction_q20_eps10,std_classifier_uncertainty_region_fraction_q20_eps10,mean_classifier_uncertainty_region_fraction_q30_eps10,std_classifier_uncertainty_region_fraction_q30_eps10
branin,random,6,0.375200,0.059166,0.491000,0.045321,0.485750,0.088146,0.467667,0.111366,0.795950,0.142540,0.736500,0.208985,0.727833,0.222144
branin,random,20,0.194500,0.045733,0.444000,0.018276,0.377250,0.015660,0.322167,0.016846,0.574400,0.085442,0.732000,0.158900,0.699667,0.159052
branin,random,50,0.129500,0.043560,0.426500,0.030274,0.341500,0.040738,0.274333,0.037373,0.317550,0.029462,0.613750,0.087482,0.552500,0.092385
branin,classifier_margin,6,0.375200,0.059166,0.491000,0.045321,0.485750,0.088146,0.467667,0.111366,0.795950,0.142540,0.736500,0.208985,0.727833,0.222144
branin,classifier_margin,20,0.232150,0.066809,0.444500,0.052378,0.382500,0.095013,0.336667,0.112073,0.582350,0.067188,0.766250,0.081025,0.735667,0.087358
branin,classifier_margin,50,0.150750,0.055601,0.378000,0.040137,0.283500,0.040762,0.224667,0.035113,0.416350,0.078803,0.685000,0.144406,0.642500,0.149312
branin,classifier_entropy,6,0.375200,0.059166,0.491000,0.045321,0.485750,0.088146,0.467667,0.111366,0.795950,0.142540,0.736500,0.208985,0.727833,0.222144
branin,classifier_entropy,20,0.232150,0.066809,0.444500,0.052378,0.382500,0.095013,0.336667,0.112073,0.582350,0.067188,0.766250,0.081025,0.735667,0.087358
branin,classifier_entropy,50,0.150750,0.055601,0.378000,0.040137,0.283500,0.040762,0.224667,0.035113,0.416350,0.078803,0.685000,0.144406,0.642500,0.149312
branin,classifier_gated_diversity,6,0.375200,0.059166,0.491000,0.045321,0.485750,0.088146,0.467667,0.111366,0.795950,0.142540,0.736500,0.208985,0.727833,0.222144
branin,classifier_gated_diversity,20,0.149950,0.030832,0.440000,0.061176,0.360250,0.042591,0.299833,0.029507,0.588650,0.072313,0.854750,0.072640,0.823167,0.075217
branin,classifier_gated_diversity,50,0.081350,0.021898,0.396500,0.031883,0.289750,0.013191,0.211833,0.015531,0.456550,0.014158,0.870000,0.045675,0.791500,0.023354
branin,classifier_uncertainty_repulsion,6,0.375200,0.059166,0.491000,0.045321,0.485750,0.088146,0.467667,0.111366,0.795950,0.142540,0.736500,0.208985,0.727833,0.222144
branin,classifier_uncertainty_repulsion,20,0.160500,0.047583,0.427000,0.075522,0.357500,0.073084,0.301500,0.065399,0.580550,0.051374,0.840000,0.070192,0.810833,0.074183
branin,classifier_uncertainty_repulsion,50,0.080400,0.024679,0.368500,0.043116,0.261000,0.030948,0.197833,0.023355,0.429200,0.048691,0.839500,0.046129,0.763833,0.041145
