benchmark,method,seed,budget,global_error,classifier_uncertainty_region_fraction_eps05,classifier_uncertainty_region_fraction_eps10,near_boundary_error_q10,near_boundary_test_size_q10,classifier_uncertainty_region_fraction_q10_eps05,classifier_uncertainty_region_fraction_q10_eps10,near_boundary_error_q20,near_boundary_test_size_q20,classifier_uncertainty_region_fraction_q20_eps05,classifier_uncertainty_region_fraction_q20_eps10,near_boundary_error_q30,near_boundary_test_size_q30,classifier_uncertainty_region_fraction_q30_eps05,classifier_uncertainty_region_fraction_q30_eps10
branin,random,0,6,0.276,0.85225,1.0,0.485,400,0.975,1.0,0.495,800,0.9675,1.0,0.4791666666666667,1200,0.9641666666666666,1.0
branin,random,0,7,0.30525,0.79275,0.987,0.5025,400,0.8625,1.0,0.52375,800,0.855,1.0,0.51,1200,0.8666666666666667,1.0
branin,random,0,8,0.29075,0.61175,0.9295,0.5175,400,0.6875,1.0,0.5325,800,0.735,1.0,0.5216666666666666,1200,0.7691666666666667,1.0
branin,random,0,9,0.3125,0.5405,0.849,0.5225,400,0.5575,1.0,0.5375,800,0.59625,1.0,0.5283333333333333,1200,0.6433333333333333,1.0
branin,random,0,10,0.30125,0.45975,0.78525,0.5175,400,0.495,0.92,0.53125,800,0.4975,0.93125,0.5233333333333333,1200,0.5166666666666667,0.9358333333333333
branin,random,0,11,0.255,0.39925,0.81425,0.5125,400,0.345,1.0,0.51125,800,0.39625,0.98625,0.49333333333333335,1200,0.4175,0.975
branin,random,0,12,0.245,0.35825,0.75775,0.515,400,0.355,1.0,0.5125,800,0.4125,0.98875,0.49,1200,0.42916666666666664,0.9766666666666667
branin,random,0,13,0.24975,0.296,0.6205,0.505,400,0.335,0.805,0.50875,800,0.385,0.79,0.4875,1200,0.3933333333333333,0.7591666666666667
branin,random,0,14,0.2575,0.2735,0.562,0.4825,400,0.3,0.785,0.49125,800,0.35375,0.7675,0.4483333333333333,1200,0.36833333333333335,0.7308333333333333
branin,random,0,15,0.25025,0.27,0.53975,0.48,400,0.305,0.79,0.485,800,0.3675,0.775,0.44083333333333335,1200,0.38083333333333336,0.7358333333333333
branin,random,0,16,0.27275,0.216,0.48725,0.485,400,0.2525,0.6375,0.49125,800,0.3075,0.65,0.4683333333333333,1200,0.31583333333333335,0.6341666666666667
branin,random,0,17,0.26425,0.21125,0.47275,0.4875,400,0.26,0.655,0.4875,800,0.315,0.6725,0.4575,1200,0.3233333333333333,0.6525
branin,random,0,18,0.256,0.20675,0.46075,0.47,400,0.275,0.64,0.4375,800,0.32375,0.645,0.39166666666666666,1200,0.32666666666666666,0.62
branin,random,0,19,0.25875,0.19425,0.438,0.4675,400,0.245,0.6,0.445,800,0.30625,0.6075,0.3983333333333333,1200,0.31,0.5866666666666667
branin,random,0,20,0.24,0.23175,0.45225,0.4175,400,0.38,0.6175,0.36125,800,0.35375,0.62625,0.32416666666666666,1200,0.31416666666666665,0.595
branin,random,0,21,0.2395,0.23425,0.45025,0.4175,400,0.3875,0.615,0.36,800,0.35625,0.62375,0.3233333333333333,1200,0.315,0.5916666666666667
branin,random,0,22,0.24175,0.2155,0.438,0.4225,400,0.3625,0.6,0.3675,800,0.34125,0.60625,0.3283333333333333,1200,0.30083333333333334,0.5708333333333333
branin,random,0,23,0.239,0.21675,0.4395,0.46,400,0.33,0.6325,0.39,800,0.35,0.63125,0.3408333333333333,1200,0.3175,0.6025
branin,random,0,24,0.25175,0.2145,0.3985,0.4475,400,0.355,0.5525,0.36875,800,0.33,0.5575,0.325,1200,0.28583333333333333,0.515
branin,random,0,25,0.24675,0.2175,0.393,0.4475,400,0.34,0.5675,0.365,800,0.3225,0.56375,0.32166666666666666,1200,0.2866666666666667,0.5141666666666667
branin,random,0,26,0.2475,0.216,0.38575,0.4475,400,0.3425,0.555,0.36875,800,0.3125,0.5525,0.32416666666666666,1200,0.2791666666666667,0.49916666666666665
branin,random,0,27,0.24825,0.2185,0.3865,0.4725,400,0.3375,0.565,0.385,800,0.32625,0.5525,0.33,1200,0.2916666666666667,0.5041666666666667
branin,random,0,28,0.24775,0.2195,0.384,0.47,400,0.335,0.5575,0.38375,800,0.325,0.54625,0.32916666666666666,1200,0.29083333333333333,0.49833333333333335
branin,random,0,29,0.25425,0.2165,0.361,0.4475,400,0.3425,0.54,0.36,800,0.305,0.5175,0.31583333333333335,1200,0.2683333333333333,0.4583333333333333
branin,random,0,30,0.2595,0.206,0.34625,0.435,400,0.3325,0.5325,0.35375,800,0.29625,0.49875,0.31166666666666665,1200,0.255,0.43916666666666665
branin,random,0,31,0.23425,0.2055,0.389,0.4575,400,0.32,0.565,0.38,800,0.31,0.56,0.33,1200,0.2825,0.505
branin,random,0,32,0.23625,0.222,0.4285,0.4625,400,0.39,0.635,0.39125,800,0.36375,0.595,0.3275,1200,0.31833333333333336,0.5491666666666667
branin,random,0,33,0.2365,0.22075,0.4255,0.465,400,0.39,0.6275,0.39125,800,0.3625,0.59125,0.3275,1200,0.315,0.545
branin,random,0,34,0.23775,0.219,0.42125,0.47,400,0.3675,0.605,0.39375,800,0.3525,0.58,0.33,1200,0.3125,0.5366666666666666
branin,random,0,35,0.23875,0.21175,0.40625,0.4675,400,0.3575,0.5875,0.39375,800,0.3425,0.5675,0.33,1200,0.30416666666666664,0.5216666666666666
branin,random,0,36,0.2325,0.20575,0.3705,0.475,400,0.33,0.5625,0.39125,800,0.33125,0.5525,0.3275,1200,0.29833333333333334,0.5108333333333334
branin,random,0,37,0.22125,0.16825,0.362,0.4825,400,0.29,0.58,0.39375,800,0.3075,0.56875,0.3283333333333333,1200,0.2816666666666667,0.53
branin,random,0,38,0.2275,0.169,0.37125,0.4775,400,0.29,0.5925,0.40375,800,0.30875,0.5775,0.3383333333333333,1200,0.2783333333333333,0.5391666666666667
branin,random,0,39,0.225,0.17525,0.36525,0.465,400,0.325,0.605,0.39,800,0.3175,0.5675,0.3258333333333333,1200,0.2783333333333333,0.5133333333333333
branin,random,0,40,0.21425,0.18175,0.35975,0.4275,400,0.395,0.6325,0.3575,800,0.33125,0.56,0.3,1200,0.28,0.49583333333333335
branin,random,0,41,0.20975,0.17925,0.352,0.435,400,0.3625,0.6175,0.3575,800,0.31875,0.56375,0.3016666666666667,1200,0.27666666666666667,0.49166666666666664
branin,random,0,42,0.20975,0.18025,0.35075,0.445,400,0.355,0.605,0.36,800,0.32125,0.55875,0.30333333333333334,1200,0.2783333333333333,0.49
branin,random,0,43,0.2105,0.18325,0.35225,0.4475,400,0.375,0.6075,0.36625,800,0.3425,0.5625,0.30416666666666664,1200,0.2925,0.49833333333333335
branin,random,0,44,0.211,0.1775,0.3435,0.45,400,0.3425,0.5775,0.36625,800,0.31875,0.53875,0.30583333333333335,1200,0.2783333333333333,0.4766666666666667
branin,random,0,45,0.21275,0.17675,0.3445,0.445,400,0.3675,0.58,0.3675,800,0.32875,0.53875,0.30583333333333335,1200,0.27416666666666667,0.4766666666666667
