q,E_V_proxy_yx_known,E_V_proxy_label_blind_yx,P_oracle_best_proxy_yx_known
0.5,0.008485294117647058,0.002334558823529412,0.2823125
0.55,0.014599264705882355,0.005180147058823529,0.323125
0.6,0.019966911764705882,0.007654411764705883,0.354625
0.65,0.02499632352941177,0.009849264705882354,0.396
0.7,0.031238970588235295,0.013533088235294118,0.4415
0.75,0.03576102941176471,0.015404411764705882,0.48175
0.8,0.040900735294117654,0.017922794117647058,0.5236875
0.9,0.051786764705882345,0.022992647058823527,0.6239375
1.0,0.061764705882352944,0.02720588235294118,0.725
