benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_p_plus,acquisition_selected_uncertainty_score,acquisition_selected_entropy,acquisition_binary_entropy_margin_note,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_beta,acquisition_selected_shortlist_position,acquisition_selected_normalized_uncertainty,acquisition_selected_raw_diversity,acquisition_selected_normalized_diversity,acquisition_selected_score,acquisition_repulsion_bandwidth,acquisition_selected_raw_distance_to_labelled,acquisition_selected_repulsion
branin,random,0,1,6,7,654,69.07642777259213,False,False,False,650,0.5053537229062446,0.9892925541875108,0.6930898547666077,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,2,7,8,41,58.876564322793456,False,False,False,40,0.5574580643681486,0.8850838712637028,0.6865297123459092,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,3,8,9,756,73.5912266725218,False,False,False,749,0.5838434055765163,0.8323131888469675,0.6790211055660629,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,4,9,10,1294,36.37009120366008,False,False,False,1286,0.626120239439075,0.74775952112185,0.6609883128807166,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,5,10,11,1029,4.951092290251662,True,True,True,1021,0.5154749321451604,0.9690501357096792,0.6926681570174126,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,6,11,12,45,127.34087586889194,False,False,False,43,0.5366059697657874,0.9267880604684251,0.6904647872444882,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,7,12,13,1240,9.116568120304677,False,False,True,1230,0.42069427462715225,0.8413885492543045,0.6805151043565596,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,8,13,14,1249,27.22638798807801,False,False,False,1238,0.42658265224349634,0.8531653044869927,0.6823278909946038,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,9,14,15,415,133.83434331375594,False,False,False,410,0.6477228845574814,0.7045542308850372,0.6488448779578884,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,10,15,16,546,6.748808010674622,False,True,True,540,0.5972368774586698,0.8055262450826604,0.6741161229698595,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,11,16,17,1302,59.55028180808482,False,False,False,1287,0.6231236763539698,0.7537526472920604,0.6625142067487768,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,12,17,18,241,20.224000251474465,False,False,False,236,0.43105496142680977,0.8621099228536195,0.6836099857351536,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,13,18,19,1277,49.38495650593693,False,False,False,1262,0.7193493161471451,0.5613013677057097,0.5935668137892476,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,14,19,20,1269,5.26274504520908,False,True,True,1254,0.5404641180161462,0.9190717639677075,0.689868906938059,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,15,20,21,1439,150.72928305420444,False,False,False,1420,0.733933578181734,0.532132843636532,0.5793070415358457,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,16,21,22,408,59.5222694333748,False,False,False,402,0.7392968708419971,0.5214062583160057,0.5737910840720775,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,17,22,23,1480,24.63706669182821,False,False,False,1459,0.5569957991073693,0.8860084017852614,0.6866359941622671,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,18,23,24,276,0.10517956912664062,True,True,True,270,0.4141845766013432,0.8283691532026864,0.6783454307595613,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,19,24,25,256,55.83491277052714,False,False,False,250,0.6853646825767328,0.6292706348465344,0.6227593830283457,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,20,25,26,785,39.48672200228195,False,False,False,770,0.6970540671779872,0.6058918656440255,0.6133397598881086,null,null,null,null,null,null,null,null,null,null,null,null,null
branin,random,0,21,26,27,639,38.558362379481835,False,False,False,627,0.6419864405295925,0.7160271189408149,0.6522666979625454,null,null,null,null,null,null,null,null,null,null,null,null,null
