benchmark,display_name,metric,surrogate_variant,acquisition_rule,method,value,field
branin,Thresholded Branin,global_error,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0.131667,mean_final_global_error
branin,Thresholded Branin,near_boundary_error_q20,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0.350000,mean_final_near_boundary_error_q20
branin,Thresholded Branin,near_boundary_error_q30,gpr_fixed_or_existing,boundary_gated_diversified_straddle,boundary_gated_diversified_straddle,0.277778,mean_final_near_boundary_error_q30
branin,Thresholded Branin,integrated_bernoulli_uncertainty,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0.024303,mean_final_integrated_bernoulli_uncertainty
ackley,Thresholded 4D Ackley,global_error,gpr_fixed_or_existing,smallest_abs_mu,smallest_abs_mu,0.413750,mean_final_global_error
ackley,Thresholded 4D Ackley,near_boundary_error_q20,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0.443750,mean_final_near_boundary_error_q20
ackley,Thresholded 4D Ackley,near_boundary_error_q30,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0.470833,mean_final_near_boundary_error_q30
ackley,Thresholded 4D Ackley,integrated_bernoulli_uncertainty,gpr_fixed_or_existing,random,random,0.112392,mean_final_integrated_bernoulli_uncertainty
hartmann4,Thresholded 4D Hartmann,global_error,gpr_fixed_or_existing,expected_feasibility,expected_feasibility,0.252500,mean_final_global_error
hartmann4,Thresholded 4D Hartmann,near_boundary_error_q20,gpc_fixed_iso,classifier_uncertainty_repulsion,classifier_uncertainty_repulsion,0.412500,mean_final_near_boundary_error_q20
hartmann4,Thresholded 4D Hartmann,near_boundary_error_q30,gpr_fixed_or_existing,randomized_straddle,randomized_straddle,0.429167,mean_final_near_boundary_error_q30
hartmann4,Thresholded 4D Hartmann,integrated_bernoulli_uncertainty,gpr_fixed_or_existing,gpr_bernoulli_sur_refit,gpr_bernoulli_sur_refit,0.179899,mean_final_integrated_bernoulli_uncertainty
